date,openTime,open,high,low,close,volume
2022-10-06 00:00,1665014400000,78.71,80.45,78.71,79.49,1176761.487532
2022-10-06 04:00,1665028800000,79.54,79.89,78.49,79.51,834439.518957
2022-10-06 08:00,1665043200000,79.49,79.72,78.25,79.2,568673.400981
2022-10-06 12:00,1665057600000,79.19,79.83,77.91,78.51,1277677.898633
2022-10-06 16:00,1665072000000,78.45,79.25,77.88,78.27,799876.718576
2022-10-06 20:00,1665086400000,78.27,78.42,77.19,77.49,583349.734584
2022-10-07 00:00,1665100800000,77.46,78.24,77.38,77.39,393687.473798
2022-10-07 04:00,1665115200000,77.41,77.67,76.89,77.35,410748.8985
2022-10-07 08:00,1665129600000,77.31,78.04,77.06,77.25,377568.590267
2022-10-07 12:00,1665144000000,77.18,77.35,75.75,76.25,978125.918866
2022-10-07 16:00,1665158400000,76.21,76.21,75,75.47,724286.008838
2022-10-07 20:00,1665172800000,75.42,76,75.22,75.79,323198.631477
2022-10-08 00:00,1665187200000,75.77,76.19,75.52,75.59,280766.394995
2022-10-08 04:00,1665201600000,75.59,76.19,75.28,75.82,337118.059546
2022-10-08 08:00,1665216000000,75.84,75.88,75.36,75.72,217862.976005
2022-10-08 12:00,1665230400000,75.67,75.73,74.68,75.17,324029.174537
2022-10-08 16:00,1665244800000,75.12,75.24,74.76,74.9,268467.773686
2022-10-08 20:00,1665259200000,74.89,75,73.92,74.69,427398.00331
2022-10-09 00:00,1665273600000,74.67,74.67,74.25,74.35,290883.446772
2022-10-09 04:00,1665288000000,74.42,75.05,74.32,74.74,270386.554102
2022-10-09 08:00,1665302400000,74.73,76.03,74.58,75.53,594920.766484
2022-10-09 12:00,1665316800000,75.55,75.79,75.29,75.65,315963.882188
2022-10-09 16:00,1665331200000,75.65,75.86,75.09,75.64,254044.39828
2022-10-09 20:00,1665345600000,75.63,75.66,75.03,75.5,319270.892169
2022-10-10 00:00,1665360000000,75.49,76.5,75.48,75.68,392080.546341
2022-10-10 04:00,1665374400000,75.64,75.92,74.81,75.18,343823.397896
2022-10-10 08:00,1665388800000,75.18,75.18,73.54,74.86,579962.322169
2022-10-10 12:00,1665403200000,74.87,75.12,73.91,74.37,500571.430392
2022-10-10 16:00,1665417600000,74.37,75.08,73.78,74.94,495514.284106
2022-10-10 20:00,1665432000000,74.91,75,73.35,73.6,662375.537427
2022-10-11 00:00,1665446400000,73.6,73.6,71.64,72.78,902537.546109
2022-10-11 04:00,1665460800000,72.79,73.25,72.49,72.94,604305.075214
2022-10-11 08:00,1665475200000,73,73.15,71.91,72.28,461389.106728
2022-10-11 12:00,1665489600000,72.34,72.84,71.12,72.57,1074272.968738
2022-10-11 16:00,1665504000000,72.52,73.12,71.44,71.72,482645.12379
2022-10-11 20:00,1665518400000,71.74,72,71.12,71.47,372400.957461
2022-10-12 00:00,1665532800000,71.45,72.21,71.12,71.67,599022.387694
2022-10-12 04:00,1665547200000,71.68,72.76,71.66,71.98,727998.807837
2022-10-12 08:00,1665561600000,71.97,72.7,71.88,72.09,366789.719496
2022-10-12 12:00,1665576000000,72.1,72.26,71.12,71.87,805007.05274
2022-10-12 16:00,1665590400000,71.86,72.02,71.1,71.82,252365.417402
2022-10-12 20:00,1665604800000,71.85,72.17,71.51,71.51,335981.44794
2022-10-13 00:00,1665619200000,71.49,71.69,68.28,68.96,1118145.962697
2022-10-13 04:00,1665633600000,68.96,69.38,66.15,67.51,1176037.931181
2022-10-13 08:00,1665648000000,67.52,67.94,64.85,67.1,1440482.877731
2022-10-13 12:00,1665662400000,67.13,70.52,65.37,70.23,3823867.922256
2022-10-13 16:00,1665676800000,70.24,71.95,69.73,71.43,1097691.675002
2022-10-13 20:00,1665691200000,71.51,72.08,70.92,70.94,465855.343119
