date,openTime,open,high,low,close,volume
2019-04-21,1555862400000,4.8,5.3,3.01,4.82,15399598.467066
2019-04-28,1556467200000,4.83,5.67,3.66,4.95,49039405.894215
2019-05-05,1557072000000,4.95,5.2,3.44,3.77,19628118.662464
2019-05-12,1557676800000,3.78,5.16,3.73,5,32690669.859
2019-05-19,1558281600000,5,5.08,4.11,4.31,16279514.641097
2019-05-26,1558886400000,4.31,6.6,4.29,5.94,54549141.051636
2019-06-02,1559491200000,5.93,7.27,5.63,5.89,45259682.507703
2019-06-09,1560096000000,5.89,6.52,5.7,6.33,20934481.927338
2019-06-16,1560700800000,6.33,7.23,6.3,7.1,24319437.85909
2019-06-23,1561305600000,7.1,7.12,5.36,5.63,20238927.764901
2019-06-30,1561910400000,5.63,5.76,5.13,5.24,13560833.929536
2019-07-07,1562515200000,5.24,5.43,3.87,3.87,11102977.274733
2019-07-14,1563120000000,3.88,4.46,3.55,4.13,13988984.99481
2019-07-21,1563724800000,4.13,4.34,3.55,3.6,6075949.2822
2019-07-28,1564329600000,3.6,3.9,3.43,3.64,6477729.84404
2019-08-04,1564934400000,3.64,3.87,3.07,3.36,7962348.610272
2019-08-11,1565539200000,3.36,3.65,2.71,2.93,9542733.470409
2019-08-18,1566144000000,2.94,2.98,2.58,2.65,4782082.08246
2019-08-25,1566748800000,2.65,2.7,1.99,2.09,5729096.777327
2019-09-01,1567353600000,2.1,2.77,1.9,2.54,12742235.6915
2019-09-08,1567958400000,2.54,3.54,2.4,3.4,32563462.702
2019-09-15,1568563200000,3.4,3.56,2.85,2.88,12999278.644128
2019-09-22,1569168000000,2.88,2.92,1.92,2.18,9236256.680598
2019-09-29,1569772800000,2.18,2.78,2.17,2.68,9301194.781972
2019-10-06,1570377600000,2.67,3.07,2.53,2.87,10977744.714895
2019-10-13,1570982400000,2.87,3.15,2.68,2.77,6163100.12361
2019-10-20,1571587200000,2.79,3.27,2.54,3.23,8697094.880143
2019-10-27,1572192000000,3.23,3.46,2.94,3.34,6944686.876786
2019-11-03,1572796800000,3.34,4.22,3.32,4.2,8134498.84338
2019-11-10,1573401600000,4.2,4.38,3.77,3.88,3570762.1858
2019-11-17,1574006400000,3.88,3.95,2.64,3.01,6874866.0079
2019-11-24,1574611200000,3.01,4.1,2.99,3.77,5350168.6726
2019-12-01,1575216000000,3.78,3.93,3.42,3.92,5501661.7917
2019-12-08,1575820800000,3.91,4.66,3.52,4.51,9004234.9027
2019-12-15,1576425600000,4.52,4.57,3.53,4.11,12743806.2374
2019-12-22,1577030400000,4.1,4.79,4.1,4.27,8837704.81
2019-12-29,1577635200000,4.27,4.49,4,4.2,5788520.7764
2020-01-05,1578240000000,4.19,4.43,3.95,4.27,7477102.4696
2020-01-12,1578844800000,4.27,5.4,4.11,4.46,14010138.0764
2020-01-19,1579449600000,4.46,4.74,4.35,4.47,4732085.3071
2020-01-26,1580054400000,4.47,4.66,4.25,4.46,7267490.9421
2020-02-02,1580659200000,4.46,4.93,4.01,4.69,11791467.7714
2020-02-09,1581264000000,4.69,5.33,4.31,4.36,21285591.5508
2020-02-16,1581868800000,4.36,5.1,3.9,4.82,26009261.9357
2020-02-23,1582473600000,4.81,4.93,3.35,3.41,15376094.2161
2020-03-01,1583078400000,3.42,3.93,3.18,3.23,12992780.7576
2020-03-08,1583683200000,3.23,3.28,1.069,1.913,18568341.8968
2020-03-15,1584288000000,1.915,2.48,1.503,2.029,21704568.6735
2020-03-22,1584892800000,2.021,2.227,1.87,1.929,19785247.406
2020-03-29,1585497600000,1.927,2.112,1.843,2.065,15526421.7426
2020-04-05,1586102400000,2.068,2.623,2.023,2.357,27084195.4322
2020-04-12,1586707200000,2.359,2.54,2.166,2.409,26891847.9605
2020-04-19,1587312000000,2.41,2.954,2.256,2.796,31373075.9469
2020-04-26,1587916800000,2.794,3.1,2.655,2.78,28944706.284
2020-05-03,1588521600000,2.781,2.857,2.3,2.488,28906600.3633
2020-05-10,1589126400000,2.486,2.629,2.285,2.596,27446354.7517
2020-05-17,1589731200000,2.595,2.761,2.452,2.575,35087024.8638
2020-05-24,1590336000000,2.572,2.887,2.46,2.793,28420472.0981
2020-05-31,1590940800000,2.793,3.2,2.638,2.962,14618565.2749
2020-06-07,1591545600000,2.964,3.184,2.729,2.8,8924071.4885
2020-06-14,1592150400000,2.797,2.825,2.539,2.616,7480833.7005
2020-06-21,1592755200000,2.618,2.88,2.286,2.537,9885880.1503
2020-06-28,1593360000000,2.538,2.867,2.47,2.829,9592538.5113
2020-07-05,1593964800000,2.829,4.463,2.82,3.98,41685579.3039
2020-07-12,1594569600000,3.969,4.521,3.734,4.069,57694294.8403
2020-07-19,1595174400000,4.073,4.258,3.688,3.748,45032822.7272
2020-07-26,1595779200000,3.749,4.234,3.299,3.851,51925007.5976
2020-08-02,1596384000000,3.847,5.096,3.793,4.982,50619305.3606
2020-08-09,1596988800000,4.982,6.605,4.68,6,90121863.8639
2020-08-16,1597593600000,6.003,7.765,5.3,7.42,80005332.3488
2020-08-23,1598198400000,7.413,8.868,6.894,7.62,302980996.238
2020-08-30,1598803200000,7.619,7.821,4.46,5.028,211580229.9514
2020-09-06,1599408000000,5.031,5.858,4.572,5.226,66285475.9654
2020-09-13,1600012800000,5.224,5.539,4.689,4.78,50439738.9376
2020-09-20,1600617600000,4.777,4.82,3.797,4.751,46563637.4462
2020-09-27,1601222400000,4.753,5.597,4.641,5.286,67513169.5856
2020-10-04,1601827200000,5.287,6.038,4.567,5.974,56992642.3912
2020-10-11,1602432000000,5.979,6.275,5.271,5.68,60687311.6109
2020-10-18,1603036800000,5.681,5.777,4.98,5.299,38163777.5919
2020-10-25,1603641600000,5.298,5.353,4.307,4.757,29837028.7487
