date,openTime,open,high,low,close,volume
2020-09-20,1600617600000,3.92,10,3.406,4.419,82168574.3435
2020-09-27,1601222400000,4.422,4.708,3.644,3.914,28353752.1282
2020-10-04,1601827200000,3.91,4.33,3.22,4.036,18310317.9234
2020-10-11,1602432000000,4.036,4.712,3.867,4.153,11063640.5737
2020-10-18,1603036800000,4.154,4.49,3.686,4.178,6017538.1492
2020-10-25,1603641600000,4.172,4.484,3.543,3.629,5605093.4181
2020-11-01,1604246400000,3.632,3.908,2.996,3.61,6171095.6239
2020-11-08,1604851200000,3.614,3.781,3.244,3.575,3353185.0635
2020-11-15,1605456000000,3.586,4.076,3.403,3.847,3032153.3254
2020-11-22,1606060800000,3.845,4.411,3.278,3.716,9073653.7387
2020-11-29,1606665600000,3.721,3.893,3.457,3.559,4862149.3213
2020-12-06,1607270400000,3.553,3.611,2.75,3.317,12856542.3323
2020-12-13,1607875200000,3.321,3.608,3.063,3.365,12584270.4945
2020-12-20,1608480000000,3.368,3.687,2.762,3.039,19486486.2745
2020-12-27,1609084800000,3.045,4.177,2.786,3.742,17177144.5783
2021-01-03,1609689600000,3.744,7.5,3.243,6.825,76965464.3093
2021-01-10,1610294400000,6.83,14.664,5.733,13.134,151406492.4815
2021-01-17,1610899200000,13.134,13.872,10.687,12.675,130226545.602
2021-01-24,1611504000000,12.675,15.35,10.775,13.281,107643821.2491
2021-01-31,1612108800000,13.284,24.24,12.521,20.69,172812386.1944
2021-02-07,1612713600000,20.69,60.304,20.401,38.587,740853312.238
2021-02-14,1613318400000,38.548,43.025,31.25,36.511,337323102.4507
2021-02-21,1613923200000,36.506,36.807,22.184,22.452,372544269.5003
2021-02-28,1614528000000,22.417,31.94,22.152,27.2,404449970.6991
2021-03-07,1615132800000,27.23,35.736,23.65,29.928,726855164.8116
2021-03-14,1615737600000,29.941,39.297,27,33.199,585645807.5877
2021-03-21,1616342400000,33.215,33.855,24.346,29.172,360194341.8598
2021-03-28,1616947200000,29.17,32.879,26.131,29.031,306126758.3141
2021-04-04,1617552000000,29.039,34.562,28.568,31.932,421476491.0987
2021-04-11,1618156800000,31.949,40.735,22,28.837,678633775.2352
2021-04-18,1618761600000,28.838,30.593,19.751,23.675,403860186.441366
2021-04-25,1619366400000,23.676,35.665,20.423,31.758,415978133.205251
2021-05-02,1619971200000,31.751,43.908,29.937,37.048,453913978.347185
2021-05-09,1620576000000,37.041,41.815,29.74,37.039,757044776.036401
2021-05-16,1621180800000,37.052,38.492,13.417,13.748,667677996.934644
2021-05-23,1621785600000,13.729,21.431,12.164,16.751,267136667.994378
2021-05-30,1622390400000,16.761,20.697,15.678,17.672,153627680.457067
2021-06-06,1622995200000,17.669,18.059,12.646,14.072,124096943.252204
2021-06-13,1623600000000,14.07,15.578,12.779,13.304,131420571.647127
2021-06-20,1624204800000,13.3,14.183,9.338,10.389,106590851.083858
2021-06-27,1624809600000,10.388,12.54,10.091,12.437,70311984.426003
2021-07-04,1625414400000,12.442,14.243,11.524,12.305,111436832.513083
2021-07-11,1626019200000,12.302,12.839,10.638,10.788,59650598.508014
2021-07-18,1626624000000,10.778,11.446,9.328,10.942,51442565.331192
2021-07-25,1627228800000,10.944,14.083,10.844,13.582,103591722.485587
2021-08-01,1627833600000,13.581,16.102,12.318,15.058,121616820.771938
2021-08-08,1628438400000,15.062,18.425,14.427,17.532,165828329.402928
2021-08-15,1629043200000,17.531,50.389,17.344,41.999,1196486012.266322
2021-08-22,1629648000000,42.012,58.97,40.296,47.149,1775219307.89825
2021-08-29,1630252800000,47.123,51.698,38.179,46.126,1119418611.868528
2021-09-05,1630857600000,46.134,65.22,32.013,60.338,1984409521.69011
2021-09-12,1631462400000,60.32,75.536,48,74.944,2330903000.434493
2021-09-19,1632067200000,75.015,79.582,52.544,70.004,2353086062.69751
2021-09-26,1632672000000,70.016,73.415,61.149,69.981,1325350389.578697
2021-10-03,1633276800000,69.953,70.846,57.376,59.598,798598219.760995
2021-10-10,1633881600000,59.634,62.02,51.022,56.302,622361993.507937
2021-10-17,1634486400000,56.297,69.158,53.166,62.967,609252723.114474
2021-10-24,1635091200000,62.975,73,57.001,61.744,604060196.021614
2021-10-31,1635696000000,61.764,85.772,61.759,84.132,619733308.106072
2021-11-07,1636300800000,84.132,99.936,78.331,93.986,876367355.118166
2021-11-14,1636905600000,94.024,147.047,83.276,133.595,1472903737.274638
2021-11-21,1637510400000,133.673,145,101.277,106.082,1539841544.536747
2021-11-28,1638115200000,106.119,127.459,73.776,84.515,1216466103.644102
2021-12-05,1638720000000,84.482,96.621,76.956,84.984,822481545.406195
