date,openTime,open,high,low,close,volume
2022-10-06 00:00,1665014400000,17.39,17.67,17.35,17.53,524576.647498
2022-10-06 04:00,1665028800000,17.54,17.61,17.32,17.44,560128.898012
2022-10-06 08:00,1665043200000,17.43,17.44,17.28,17.38,281141.098099
2022-10-06 12:00,1665057600000,17.37,17.47,17.16,17.26,646741.311688
2022-10-06 16:00,1665072000000,17.25,17.34,17.1,17.13,468944.073667
2022-10-06 20:00,1665086400000,17.11,17.15,16.98,17.05,359897.96649
2022-10-07 00:00,1665100800000,17.04,17.16,17.03,17.1,194750.77497
2022-10-07 04:00,1665115200000,17.1,17.14,16.99,17.07,141674.422653
2022-10-07 08:00,1665129600000,17.07,17.16,17.04,17.07,144214.769783
2022-10-07 12:00,1665144000000,17.08,17.09,16.75,16.87,1592726.234867
2022-10-07 16:00,1665158400000,16.85,16.87,16.71,16.82,485723.249769
2022-10-07 20:00,1665172800000,16.81,16.93,16.81,16.91,81616.026161
2022-10-08 00:00,1665187200000,16.9,17,16.89,16.93,84535.299942
2022-10-08 04:00,1665201600000,16.93,16.96,16.79,16.91,237764.608781
2022-10-08 08:00,1665216000000,16.9,16.91,16.85,16.9,81323.253837
2022-10-08 12:00,1665230400000,16.9,16.91,16.79,16.84,124784.96982
2022-10-08 16:00,1665244800000,16.83,16.9,16.78,16.8,130649.920703
2022-10-08 20:00,1665259200000,16.79,16.84,16.62,16.79,235914.063094
2022-10-09 00:00,1665273600000,16.78,16.81,16.71,16.74,81654.925283
2022-10-09 04:00,1665288000000,16.73,16.9,16.7,16.86,74988.812061
2022-10-09 08:00,1665302400000,16.85,16.98,16.82,16.93,117159.089611
2022-10-09 12:00,1665316800000,16.93,16.98,16.89,16.98,127356.510247
2022-10-09 16:00,1665331200000,16.98,17,16.86,16.95,117226.769614
2022-10-09 20:00,1665345600000,16.95,17,16.8,16.91,167553.776549
2022-10-10 00:00,1665360000000,16.9,17.24,16.87,16.99,276826.415228
2022-10-10 04:00,1665374400000,16.98,17.02,16.84,16.87,155250.489195
2022-10-10 08:00,1665388800000,16.87,16.88,16.53,16.71,428878.200706
2022-10-10 12:00,1665403200000,16.7,16.81,16.62,16.69,265578.57905
2022-10-10 16:00,1665417600000,16.7,16.7,16.53,16.59,349709.420355
2022-10-10 20:00,1665432000000,16.58,16.63,16.15,16.21,596589.137981
2022-10-11 00:00,1665446400000,16.21,16.21,15.59,15.9,1059838.486983
2022-10-11 04:00,1665460800000,15.9,16.08,15.87,16.03,182787.818058
2022-10-11 08:00,1665475200000,16.01,16.08,15.94,16.07,98991.139362
2022-10-11 12:00,1665489600000,16.07,16.32,15.85,16.21,499520.458562
2022-10-11 16:00,1665504000000,16.2,16.23,15.89,15.94,300203.957921
2022-10-11 20:00,1665518400000,15.95,16.02,15.85,15.96,145061.083793
2022-10-12 00:00,1665532800000,15.95,16.11,15.88,15.91,196772.337071
2022-10-12 04:00,1665547200000,15.91,16.1,15.91,16,171928.76797
2022-10-12 08:00,1665561600000,15.99,16.17,15.98,16.08,167848.398648
2022-10-12 12:00,1665576000000,16.08,16.11,15.86,16.04,358746.769817
2022-10-12 16:00,1665590400000,16.04,16.06,15.82,15.99,176158.118866
2022-10-12 20:00,1665604800000,16,16.06,15.94,15.95,57033.046978
2022-10-13 00:00,1665619200000,15.94,15.99,15.35,15.6,1104141.370142
2022-10-13 04:00,1665633600000,15.6,15.63,14.96,15.18,1179527.310547
2022-10-13 08:00,1665648000000,15.17,15.25,14.48,15.01,1138340.076613
2022-10-13 12:00,1665662400000,15.01,15.41,14.46,15.29,3136590.773975
2022-10-13 16:00,1665676800000,15.28,15.76,15.24,15.64,420408.870671
2022-10-13 20:00,1665691200000,15.64,15.81,15.63,15.66,148676.066482
2022-10-14 00:00,1665705600000,15.66,16.39,15.62,16.15,659398.000799
2022-10-14 04:00,1665720000000,16.15,16.36,16.08,16.15,780097.042642
2022-10-14 08:00,1665734400000,16.15,16.3,16.07,16.15,336544.262395
2022-10-14 12:00,1665748800000,16.15,16.41,15.91,15.92,841833.242961
2022-10-14 16:00,1665763200000,15.92,15.96,15.68,15.72,147433.652905
2022-10-14 20:00,1665777600000,15.73,15.79,15.54,15.67,247154.278454
2022-10-15 00:00,1665792000000,15.67,15.76,15.6,15.71,313445.587402
2022-10-15 04:00,1665806400000,15.71,15.79,15.63,15.73,122883.99336
2022-10-15 08:00,1665820800000,15.73,15.75,15.49,15.73,238802.573928
2022-10-15 12:00,1665835200000,15.73,15.75,15.59,15.7,241111.312632
2022-10-15 16:00,1665849600000,15.69,15.77,15.59,15.63,109681.930662
2022-10-15 20:00,1665864000000,15.62,15.64,15.36,15.43,359498.771961
2022-10-16 00:00,1665878400000,15.42,15.59,15.41,15.49,138195.697794
2022-10-16 04:00,1665892800000,15.5,15.61,15.49,15.6,186647.52784
2022-10-16 08:00,1665907200000,15.59,15.76,15.56,15.62,200590.081356
2022-10-16 12:00,1665921600000,15.61,15.67,15.54,15.61,153460.275543
2022-10-16 16:00,1665936000000,15.61,15.87,15.53,15.87,404043.230977
2022-10-16 20:00,1665950400000,15.87,15.88,15.61,15.75,328775.057404
2022-10-17 00:00,1665964800000,15.75,15.81,15.65,15.74,122903.430925
2022-10-17 04:00,1665979200000,15.74,15.98,15.68,15.91,201055.05202
2022-10-17 08:00,1665993600000,15.91,16.18,15.82,16.05,477140.046319
2022-10-17 12:00,1666008000000,16.05,16.28,15.97,16.09,601107.090912
2022-10-17 16:00,1666022400000,16.09,16.18,15.96,16.03,245279.242353
2022-10-17 20:00,1666036800000,16.02,16.28,16.02,16.19,206382.626577
2022-10-18 00:00,1666051200000,16.19,16.36,16.06,16.24,363712.00493
2022-10-18 04:00,1666065600000,16.23,16.34,16.18,16.3,260746.147644
2022-10-18 08:00,1666080000000,16.3,16.32,15.94,16.06,529090.244373
2022-10-18 12:00,1666094400000,16.06,16.17,15.78,15.89,333899.915835
2022-10-18 16:00,1666108800000,15.88,16.03,15.58,15.78,614557.367888
2022-10-18 20:00,1666123200000,15.77,15.95,15.75,15.88,193944.727063
2022-10-19 00:00,1666137600000,15.87,15.92,15.63,15.65,134346.045514
2022-10-19 04:00,1666152000000,15.65,15.76,15.47,15.57,552117.542299
2022-10-19 08:00,1666166400000,15.56,15.64,15.42,15.55,210327.232294
2022-10-19 12:00,1666180800000,15.54,15.67,15.42,15.63,331941.22989
2022-10-19 16:00,1666195200000,15.62,15.62,15.44,15.59,309301.23834
2022-10-19 20:00,1666209600000,15.58,15.64,15.01,15.07,1141284.292507
2022-10-20 00:00,1666224000000,15.05,15.19,14.86,15.16,514654.124903
2022-10-20 04:00,1666238400000,15.14,15.41,15.13,15.25,663987.70047
2022-10-20 08:00,1666252800000,15.24,15.34,15.14,15.31,241944.621261
2022-10-20 12:00,1666267200000,15.31,15.4,15.16,15.28,514686.312877
