date,openTime,open,high,low,close,volume
2020-08-14,1597420800000,12.72,13.87,5.7,7.45,24161306.3612
2020-08-15,1597507200000,7.45,7.69,5.93,6.23,15888823.9271
2020-08-16,1597593600000,6.23,6.23,3.91,4.32,11458885.2788
2020-08-17,1597680000000,4.32,5,3.16,3.39,11563054.9015
2020-08-18,1597766400000,3.39,4.88,3.27,4.45,18662534.5459
2020-08-19,1597852800000,4.45,5.04,3.82,4.09,13825586.9802
2020-08-20,1597939200000,4.09,4.26,3.45,3.56,10654310.2484
2020-08-21,1598025600000,3.57,3.57,2.7,2.92,6917155.473
2020-08-22,1598112000000,2.91,3.09,2.61,2.72,4795792.346
2020-08-23,1598198400000,2.72,3.06,2.59,2.9,6331645.0932
2020-08-24,1598284800000,2.9,3.4,2.76,2.97,10876746.1879
2020-08-25,1598371200000,2.97,3.84,2.67,3.84,30241528.0376
2020-08-26,1598457600000,3.83,4.43,3.51,3.64,30800850.9835
2020-08-27,1598544000000,3.64,3.98,3.16,3.65,13294008.7413
2020-08-28,1598630400000,3.65,3.66,3.23,3.37,7855746.6969
2020-08-29,1598716800000,3.37,3.76,3.06,3.39,10589050.3824
2020-08-30,1598803200000,3.4,3.8,3.32,3.44,8991658.9051
2020-08-31,1598889600000,3.44,5.3,3.42,5.15,34479101.8299
2020-09-01,1598976000000,5.14,5.8,3.81,4.27,40948633.4845
2020-09-02,1599062400000,4.27,4.69,3.15,3.45,19886893.8003
2020-09-03,1599148800000,3.45,3.6,2.68,2.96,15114295.2843
2020-09-04,1599235200000,2.97,3.18,2.05,2.3,11014720.425
2020-09-05,1599321600000,2.3,2.37,1.52,2.07,14052801.9432
2020-09-06,1599408000000,2.06,2.32,1.7,1.97,8283690.9994
2020-09-07,1599494400000,1.97,2.2,1.8,1.89,6058303.6929
2020-09-08,1599580800000,1.89,2.09,1.76,2.06,5223091.3807
2020-09-09,1599667200000,2.07,2.19,1.93,2.1,8042579.8956
2020-09-10,1599753600000,2.1,2.1,1.71,1.9,6410994.0099
