date,openTime,open,high,low,close,volume
2020-08-16,1597593600000,6.23,6.23,2.61,2.72,77877319.7741
2020-08-23,1598198400000,2.72,4.43,2.59,3.39,109989576.123
2020-08-30,1598803200000,3.4,5.8,1.52,2.07,144488105.6725
2020-09-06,1599408000000,2.06,2.32,1.7,1.84,49617531.8013
2020-09-13,1600012800000,1.84,1.98,1.2,1.39,31598382.5853
2020-09-20,1600617600000,1.39,1.41,0.86,1.029,33299128.7746
2020-09-27,1601222400000,1.027,1.098,0.682,0.683,34472470.5461
2020-10-04,1601827200000,0.683,0.72,0.455,0.573,35411843.894
2020-10-11,1602432000000,0.573,0.598,0.415,0.462,17002621.5981
2020-10-18,1603036800000,0.463,0.474,0.333,0.333,14603986.1371
2020-10-25,1603641600000,0.333,0.678,0.329,0.408,37940449.1797
2020-11-01,1604246400000,0.407,0.595,0.336,0.555,26353330.1935
2020-11-08,1604851200000,0.556,0.807,0.472,0.786,58812713.6913
2020-11-15,1605456000000,0.783,0.967,0.671,0.767,102665613.1099
2020-11-22,1606060800000,0.765,0.82,0.489,0.673,65696603.181
2020-11-29,1606665600000,0.673,0.858,0.628,0.705,68189000.03
2020-12-06,1607270400000,0.705,0.746,0.535,0.613,38966397.8003
2020-12-13,1607875200000,0.615,0.699,0.594,0.636,51724716.9527
2020-12-20,1608480000000,0.636,0.656,0.38,0.491,52277055.4944
2020-12-27,1609084800000,0.491,0.676,0.444,0.623,73398539.1737
2021-01-03,1609689600000,0.624,0.844,0.58,0.788,131156232.1615
2021-01-10,1610294400000,0.788,1.637,0.53,1.535,274274526.197
2021-01-17,1610899200000,1.537,2.352,1.255,2.23,522303275.3498
2021-01-24,1611504000000,2.232,2.838,1.72,2.373,422591956.6367
2021-01-31,1612108800000,2.37,3.661,2.302,2.82,373956647.223
2021-02-07,1612713600000,2.819,3.617,2.647,3.002,300997922.5727
2021-02-14,1613318400000,3.005,3.269,2.099,2.898,321905616.6833
2021-02-21,1613923200000,2.9,3.079,1.62,1.659,273414897.6206
2021-02-28,1614528000000,1.659,2.638,1.627,2.07,244844084.7304
2021-03-07,1615132800000,2.069,2.484,1.963,2.173,204005698.8035
2021-03-14,1615737600000,2.176,2.977,2.037,2.6017,241004569.9668
2021-03-21,1616342400000,2.6027,3.3684,2.2258,3.1331,406621305.3008
