date,openTime,open,high,low,close,volume
2022-10-06 00:00,1665014400000,0.907,0.938,0.906,0.914,1404033.057372
2022-10-06 08:00,1665043200000,0.914,0.932,0.907,0.913,1093593.498744
2022-10-06 16:00,1665072000000,0.913,0.928,0.887,0.892,555782.217687
2022-10-07 00:00,1665100800000,0.892,0.903,0.885,0.891,392593.924147
2022-10-07 08:00,1665129600000,0.891,0.895,0.868,0.885,885226.59742
2022-10-07 16:00,1665158400000,0.885,0.898,0.877,0.896,362500.521477
2022-10-08 00:00,1665187200000,0.898,0.912,0.896,0.903,361186.82796
2022-10-08 08:00,1665216000000,0.903,0.909,0.891,0.894,238056.62003
2022-10-08 16:00,1665244800000,0.894,0.898,0.875,0.884,241521.56974500002
2022-10-09 00:00,1665273600000,0.885,0.887,0.875,0.884,178060.525899
2022-10-09 08:00,1665302400000,0.884,0.891,0.879,0.89,188941.18531600002
2022-10-09 16:00,1665331200000,0.889,0.89,0.877,0.883,147676.93751
2022-10-10 00:00,1665360000000,0.884,0.892,0.874,0.876,384053.70088899997
2022-10-10 08:00,1665388800000,0.876,0.877,0.858,0.867,533674.439058
2022-10-10 16:00,1665417600000,0.866,0.872,0.848,0.852,445328.295318
2022-10-11 00:00,1665446400000,0.852,0.852,0.815,0.833,915390.163733
2022-10-11 08:00,1665475200000,0.832,0.837,0.808,0.832,379693.644974
2022-10-11 16:00,1665504000000,0.832,0.834,0.813,0.82,358576.66487
2022-10-12 00:00,1665532800000,0.82,0.833,0.816,0.828,267689.91448499996
2022-10-12 08:00,1665561600000,0.829,0.84,0.82,0.831,471451.054012
2022-10-12 16:00,1665590400000,0.833,0.84,0.817,0.821,343597.112842
2022-10-13 00:00,1665619200000,0.82,0.824,0.74,0.753,1282919.967234
2022-10-13 08:00,1665648000000,0.753,0.789,0.723,0.783,1898022.1712159999
2022-10-13 16:00,1665676800000,0.783,0.812,0.779,0.8,648603.907888
2022-10-14 00:00,1665705600000,0.8,0.843,0.796,0.833,777951.605548
2022-10-14 08:00,1665734400000,0.833,0.848,0.809,0.812,488591.26956300007
2022-10-14 16:00,1665763200000,0.811,0.816,0.796,0.814,327053.063359
2022-10-15 00:00,1665792000000,0.815,0.819,0.808,0.816,232177.59485499997
2022-10-15 08:00,1665820800000,0.816,0.825,0.801,0.825,386299.24716
2022-10-15 16:00,1665849600000,0.824,0.826,0.798,0.805,280412.84892799996
2022-10-16 00:00,1665878400000,0.805,0.813,0.804,0.81,216950.08866100002
2022-10-16 08:00,1665907200000,0.81,0.817,0.806,0.809,156174.842448
2022-10-16 16:00,1665936000000,0.809,0.824,0.801,0.817,226479.748054
2022-10-17 00:00,1665964800000,0.817,0.836,0.81,0.835,357967.742018
2022-10-17 08:00,1665993600000,0.835,0.904,0.827,0.891,1849394.7616
2022-10-17 16:00,1666022400000,0.889,0.904,0.876,0.889,630781.238752
2022-10-18 00:00,1666051200000,0.89,0.91,0.879,0.905,656117.29308
2022-10-18 08:00,1666080000000,0.905,0.905,0.867,0.879,840172.193123
2022-10-18 16:00,1666108800000,0.879,0.924,0.876,0.912,859718.050515
2022-10-19 00:00,1666137600000,0.912,0.915,0.879,0.9,634884.090599
2022-10-19 08:00,1666166400000,0.9,0.915,0.866,0.886,902614.5099780001
2022-10-19 16:00,1666195200000,0.886,0.887,0.846,0.85,538943.267062
2022-10-20 00:00,1666224000000,0.85,0.875,0.843,0.865,686310.5019040001
2022-10-20 08:00,1666252800000,0.866,0.885,0.861,0.869,648495.611043
2022-10-20 16:00,1666281600000,0.869,0.871,0.835,0.847,708680.1287819999
2022-10-21 00:00,1666310400000,0.847,0.872,0.837,0.863,644269.817485
2022-10-21 08:00,1666339200000,0.862,0.9,0.841,0.898,1504921.5016060001
2022-10-21 16:00,1666368000000,0.898,0.906,0.892,0.894,486136.132978
2022-10-22 00:00,1666396800000,0.895,0.897,0.872,0.879,1004429.784568
2022-10-22 08:00,1666425600000,0.879,0.888,0.869,0.881,570477.119115
2022-10-22 16:00,1666454400000,0.88,0.885,0.87,0.876,277569.75864899997
2022-10-23 00:00,1666483200000,0.877,0.878,0.862,0.864,388303.86244399997
2022-10-23 08:00,1666512000000,0.864,0.874,0.85,0.861,586109.065996
2022-10-23 16:00,1666540800000,0.863,0.924,0.859,0.917,628310.99045
2022-10-24 00:00,1666569600000,0.917,0.927,0.889,0.898,968990.422211
2022-10-24 08:00,1666598400000,0.899,0.908,0.887,0.9,716174.592057
2022-10-24 16:00,1666627200000,0.899,0.901,0.874,0.876,309357.775241
2022-10-25 00:00,1666656000000,0.877,0.885,0.868,0.87,345964.01144699997
2022-10-25 08:00,1666684800000,0.87,0.914,0.863,0.91,994800.782239
2022-10-25 16:00,1666713600000,0.91,0.952,0.906,0.906,1417493.057811
2022-10-26 00:00,1666742400000,0.906,0.945,0.906,0.938,814132.3116959999
2022-10-26 08:00,1666771200000,0.938,0.96,0.922,0.943,1292637.36849
2022-10-26 16:00,1666800000000,0.944,0.954,0.929,0.932,744802.090454
