date,openTime,open,high,low,close,volume
2019-07-14,1563120000000,0.002853,0.004,0.002559,0.003,339647.761259
2019-07-21,1563724800000,0.003,0.003119,0.002736,0.002809,125335.602686
2019-07-28,1564329600000,0.002809,0.003784,0.002728,0.002936,179747.320017
2019-08-04,1564934400000,0.002936,0.003197,0.00279,0.002858,273048.723124
2019-08-11,1565539200000,0.002858,0.0029,0.002528,0.002689,92868.613785
2019-08-18,1566144000000,0.002689,0.002828,0.002541,0.002612,78360.029684
2019-08-25,1566748800000,0.002612,0.002695,0.002341,0.002438,45693.830224
2019-09-01,1567353600000,0.002438,0.002612,0.0024,0.002467,33908.575411
2019-09-08,1567958400000,0.002467,0.002562,0.00233,0.002467,48381.034857
2019-09-15,1568563200000,0.002467,0.002804,0.002391,0.002551,109403.733179
2019-09-22,1569168000000,0.002551,0.002598,0.0019,0.002124,65073.714333
2019-09-29,1569772800000,0.002124,0.002487,0.0021,0.002279,60784.626765
2019-10-06,1570377600000,0.002277,0.002637,0.002227,0.002487,102373.183212
2019-10-13,1570982400000,0.002487,0.002969,0.0024,0.002701,272221.868022
2019-10-20,1571587200000,0.002701,0.0029,0.002348,0.00267,168783.448592
2019-10-27,1572192000000,0.00267,0.002752,0.002489,0.002584,62534.87669
2019-11-03,1572796800000,0.002584,0.002758,0.0025,0.002735,155276.039823
2019-11-10,1573401600000,0.002735,0.00278,0.002576,0.002632,156048.1296
2019-11-17,1574006400000,0.002613,0.002662,0.002178,0.002284,176741.5591
2019-11-24,1574611200000,0.002261,0.002387,0.002065,0.002269,104226.2293
2019-12-01,1575216000000,0.002262,0.002287,0.002111,0.002188,87748.5224
2019-12-08,1575820800000,0.002191,0.002229,0.002076,0.002131,154815.2572
2019-12-15,1576425600000,0.002133,0.00215,0.001896,0.002038,108915.0685
2019-12-22,1577030400000,0.002045,0.002114,0.001942,0.002038,131875.9035
2019-12-29,1577635200000,0.002051,0.002135,0.001947,0.002069,216184.618
2020-01-05,1578240000000,0.00208,0.002228,0.002066,0.002203,159261.3402
2020-01-12,1578844800000,0.002208,0.00258,0.002161,0.002373,434336.6006
2020-01-19,1579449600000,0.002383,0.002404,0.002202,0.002274,376104.5098
2020-01-26,1580054400000,0.002263,0.00249,0.00226,0.002483,298269.2188
