date,openTime,open,high,low,close,volume
2020-08-21,1598025600000,2.5,4.07,2.5,3.818,12778954.3064
2020-08-22,1598112000000,3.819,4.5,3.705,3.911,35358802.1706
2020-08-23,1598198400000,3.91,4.311,3.71,4.205,22105353.378
2020-08-24,1598284800000,4.202,4.99,4.161,4.8,40096693.6192
2020-08-25,1598371200000,4.802,6.383,4.775,6.34,75264562.0423
2020-08-26,1598457600000,6.34,6.8,5.6,5.886,140861993.8029
2020-08-27,1598544000000,5.884,6.303,5.226,6.246,94239046.2571
2020-08-28,1598630400000,6.245,6.566,5.943,6.282,64174458.1678
2020-08-29,1598716800000,6.286,6.5,5.7,5.807,55850853.413
2020-08-30,1598803200000,5.803,6.457,5.76,6.345,52088411.2064
2020-08-31,1598889600000,6.346,6.861,6.1,6.35,68847372.3597
2020-09-01,1598976000000,6.35,6.455,5.576,5.887,65130591.9885
2020-09-02,1599062400000,5.887,6.338,5.57,6.11,76323008.3905
2020-09-03,1599148800000,6.117,6.291,4.5,4.943,96525737.6274
2020-09-04,1599235200000,4.944,5.448,4.288,4.613,66758617.6259
2020-09-05,1599321600000,4.608,4.91,3.5,4.55,89165151.9448
2020-09-06,1599408000000,4.55,4.903,4,4.449,54623369.1498
2020-09-07,1599494400000,4.447,4.659,4.147,4.32,35992145.5874
2020-09-08,1599580800000,4.32,4.692,4.108,4.692,30918158.6385
2020-09-09,1599667200000,4.692,4.891,4.52,4.628,29949265.6671
2020-09-10,1599753600000,4.628,4.74,4.31,4.631,26073332.9849
2020-09-11,1599840000000,4.628,4.79,4.47,4.73,23309129.4232
2020-09-12,1599926400000,4.746,5.48,4.71,5.11,52871225.7078
2020-09-13,1600012800000,5.104,5.576,4.782,5.497,47487793.3058
2020-09-14,1600099200000,5.495,5.55,5.15,5.243,41557157.745
2020-09-15,1600185600000,5.24,5.303,4.968,5.133,34058762.0853
2020-09-16,1600272000000,5.135,5.393,4.991,5.359,33659446.9131
2020-09-17,1600358400000,5.358,5.45,5.121,5.137,31038118.6853
2020-09-18,1600444800000,5.135,5.279,5.1,5.114,18083560.797
2020-09-19,1600531200000,5.115,5.122,4.6,4.6,32839818.5346
2020-09-20,1600617600000,4.6,4.701,3.916,4.024,52057517.3276
2020-09-21,1600704000000,4.023,4.214,3.9,4.112,33429353.5858
2020-09-22,1600790400000,4.109,4.32,3.951,4.183,24261936.8937
2020-09-23,1600876800000,4.181,4.293,3.942,4.28,25080486.3267
2020-09-24,1600963200000,4.282,4.474,4.241,4.4,24146453.2345
2020-09-25,1601049600000,4.401,4.53,4.224,4.299,17330322.4384
2020-09-26,1601136000000,4.3,4.363,4.116,4.244,12972348.8123
2020-09-27,1601222400000,4.242,4.585,4.174,4.501,23184497.0762
2020-09-28,1601308800000,4.507,4.611,4.306,4.394,24635315.4232
2020-09-29,1601395200000,4.397,4.529,4.237,4.339,13577842.5987
2020-09-30,1601481600000,4.339,4.583,4.261,4.455,14816732.0676
2020-10-01,1601568000000,4.457,4.485,3.9,4.039,25599723.3089
2020-10-02,1601654400000,4.039,4.137,3.989,4.093,16899275.356
2020-10-03,1601740800000,4.096,4.13,4.013,4.069,7115817.7956
2020-10-04,1601827200000,4.069,4.25,4.045,4.196,14363587.7951
2020-10-05,1601913600000,4.196,4.211,3.785,4.015,17007879.7088
2020-10-06,1602000000000,4.017,4.029,3.6,3.777,35445631.4156
2020-10-07,1602086400000,3.778,4.092,3.632,4.024,25808225.7596
2020-10-08,1602172800000,4.026,4.287,4.007,4.269,20499133.5995
2020-10-09,1602259200000,4.27,4.482,4.215,4.334,19286390.3172
2020-10-10,1602345600000,4.329,4.353,4.17,4.243,11582473.864
2020-10-11,1602432000000,4.246,4.448,4.191,4.384,14448189.2574
2020-10-12,1602518400000,4.383,4.44,4.133,4.209,14406409.1973
2020-10-13,1602604800000,4.207,4.376,4.15,4.2,12786454.1086
2020-10-14,1602691200000,4.199,4.231,4.021,4.124,12862858.4837
2020-10-15,1602777600000,4.125,4.182,3.8,3.942,16282755.0008
2020-10-16,1602864000000,3.941,3.999,3.861,3.939,5903109.8663
2020-10-17,1602950400000,3.938,4.117,3.9,4.078,6165658.2921
2020-10-18,1603036800000,4.08,4.118,4.006,4.06,7364508.9293
2020-10-19,1603123200000,4.062,4.131,3.936,3.948,11370978.0218
2020-10-20,1603209600000,3.949,4.118,3.856,4.088,11695186.9869
2020-10-21,1603296000000,4.09,4.314,4.089,4.279,13211899.4009
2020-10-22,1603382400000,4.283,4.48,4.202,4.283,15682722.6023
2020-10-23,1603468800000,4.281,4.415,4.165,4.358,10803244.8532
2020-10-24,1603555200000,4.362,4.44,4.251,4.282,9595211.5539
2020-10-25,1603641600000,4.282,4.736,4.255,4.568,16051522.5364
2020-10-26,1603728000000,4.57,4.939,4.446,4.741,30490357.0804
2020-10-27,1603814400000,4.745,4.855,4.238,4.352,20606458.0614
2020-10-28,1603900800000,4.35,4.398,3.837,4.133,19181071.883
2020-10-29,1603987200000,4.134,4.187,3.919,4.09,18305107.8731
2020-10-30,1604073600000,4.089,4.258,4.048,4.215,9254239.2243
2020-10-31,1604160000000,4.216,4.222,4.054,4.14,5342706.2445
2020-11-01,1604246400000,4.141,4.225,3.92,4.042,9213860.0685
2020-11-02,1604332800000,4.04,4.049,3.85,3.924,10533903.0106
2020-11-03,1604419200000,3.923,4.018,3.865,3.922,9839930.6629
2020-11-04,1604505600000,3.921,4.208,3.909,4.175,14444822.1363
2020-11-05,1604592000000,4.175,4.555,4.15,4.467,19091882.9522
2020-11-06,1604678400000,4.465,4.845,4.233,4.383,22506425.081
2020-11-07,1604764800000,4.385,4.434,4.081,4.378,20249123.7452
2020-11-08,1604851200000,4.382,4.455,4.228,4.252,12710856.843
2020-11-09,1604937600000,4.248,4.5,4.227,4.335,11318526.6013
2020-11-10,1605024000000,4.335,4.6,4.317,4.449,12608333.5784
2020-11-11,1605110400000,4.45,4.531,4.295,4.353,11962002.7907
2020-11-12,1605196800000,4.352,4.499,4.292,4.429,10818296.4057
2020-11-13,1605283200000,4.428,4.56,4.32,4.374,11231268.9242
2020-11-14,1605369600000,4.37,4.49,4.34,4.416,10016502.0638
2020-11-15,1605456000000,4.416,4.511,4.272,4.484,14019518.5465
2020-11-16,1605542400000,4.484,4.9,4.399,4.78,26287729.1845
2020-11-17,1605628800000,4.792,4.906,4.465,4.546,28306433.7822
2020-11-18,1605715200000,4.547,4.746,4.501,4.692,16005387.7007
2020-11-19,1605801600000,4.69,5.473,4.663,5.317,38704146.7204
2020-11-20,1605888000000,5.317,5.6,5.114,5.574,31126294.0985
2020-11-21,1605974400000,5.576,5.824,5.173,5.429,35959518.724
2020-11-22,1606060800000,5.427,5.961,5.384,5.7,35464372.4707
2020-11-23,1606147200000,5.705,6.093,5.591,5.754,44333155.2255
2020-11-24,1606233600000,5.76,5.858,5.386,5.594,23506023.0106
2020-11-25,1606320000000,5.587,5.62,4.5,4.714,43386465.0424
2020-11-26,1606406400000,4.717,5.068,4.441,4.566,23856708.1151
2020-11-27,1606492800000,4.564,4.9,4.529,4.889,12253939.4244
2020-11-28,1606579200000,4.89,5.07,4.794,5.025,13403283.3948
2020-11-29,1606665600000,5.026,5.439,4.942,5.236,27063073.6337
2020-11-30,1606752000000,5.236,5.553,4.969,5.239,24859985.473
2020-12-01,1606838400000,5.245,5.426,5,5.383,15628152.6902
2020-12-02,1606924800000,5.384,5.569,5.283,5.502,13734584.2333
2020-12-03,1607011200000,5.504,5.53,5.103,5.169,13098502.2793
2020-12-04,1607097600000,5.165,5.236,4.879,5.103,11960579.3425
2020-12-05,1607184000000,5.102,5.205,5.001,5.076,6780969.7854
2020-12-06,1607270400000,5.074,5.151,5.03,5.083,7203691.0609
2020-12-07,1607356800000,5.083,5.157,4.8,4.844,10229734.1477
2020-12-08,1607443200000,4.841,4.935,4.62,4.87,12667331.6643
2020-12-09,1607529600000,4.874,4.936,4.745,4.821,8075729.9117
2020-12-10,1607616000000,4.821,4.863,4.541,4.669,9219277.7913
2020-12-11,1607702400000,4.668,4.796,4.603,4.674,6114843.4054
2020-12-12,1607788800000,4.675,4.961,4.656,4.909,9419821.9927
2020-12-13,1607875200000,4.913,5.002,4.828,4.889,7771487.3386
2020-12-14,1607961600000,4.887,5.185,4.839,5.114,16675073.3314
2020-12-15,1608048000000,5.116,5.36,5.1,5.321,25254536.2404
2020-12-16,1608134400000,5.328,5.755,5.21,5.667,34516891.8104
2020-12-17,1608220800000,5.668,5.733,5.239,5.313,30317190.7091
2020-12-18,1608307200000,5.315,5.574,5.254,5.449,17532568.0429
2020-12-19,1608393600000,5.452,5.488,5.216,5.272,19997192.7433
2020-12-20,1608480000000,5.274,5.448,4.783,4.934,33177145.0471
2020-12-21,1608566400000,4.932,5.11,4.795,5.048,26627047.0237
2020-12-22,1608652800000,5.049,5.19,4.823,4.87,24312698.3558
2020-12-23,1608739200000,4.869,5.157,4.578,5.064,28179193.6355
2020-12-24,1608825600000,5.07,5.284,5.022,5.103,22163022.4053
2020-12-25,1608912000000,5.1,5.292,5.06,5.152,14241062.1317
2020-12-26,1608998400000,5.152,5.417,4.93,5.331,34286548.5212
2020-12-27,1609084800000,5.339,6.443,5.108,6.304,71522461.7741
2020-12-28,1609171200000,6.305,6.837,6.065,6.408,124431210.5319
2020-12-29,1609257600000,6.404,7.702,6.288,7.358,136613201.3166
2020-12-30,1609344000000,7.366,8.35,7.13,8.234,125017939.6912
2020-12-31,1609430400000,8.234,9.512,8,8.505,183518119.7399
2021-01-01,1609516800000,8.504,9.309,7.883,9.298,185329073.4621
2021-01-02,1609603200000,9.298,9.839,8.437,9.17,187538424.7507
2021-01-03,1609689600000,9.177,10.515,8.723,9.522,244386864.8561
2021-01-04,1609776000000,9.523,9.955,9.021,9.683,115838672.1117
2021-01-05,1609862400000,9.683,10.43,9.456,9.902,149357490.4197
2021-01-06,1609948800000,9.909,10.7,9.7,9.976,132921381.9992
2021-01-07,1610035200000,9.98,10.35,9,9.23,157012613.8782
2021-01-08,1610121600000,9.237,9.562,9,9.391,79403884.4973
2021-01-09,1610208000000,9.393,9.99,9.09,9.383,87909077.1635
2021-01-10,1610294400000,9.383,9.443,7.158,7.806,169763041.7968
2021-01-11,1610380800000,7.792,8.715,7.273,8.162,119337244.792
2021-01-12,1610467200000,8.164,9.8,7.983,9.675,120711157.6612
2021-01-13,1610553600000,9.676,12.945,9.675,12.897,310096605.2364
2021-01-14,1610640000000,12.895,14.96,12.151,12.859,391999664.3548
2021-01-15,1610726400000,12.867,18.252,11.74,17.546,512393898.6395
2021-01-16,1610812800000,17.545,19.387,16.35,17.07,597174009.1348
2021-01-17,1610899200000,17.056,18.2,16.5,17.112,255292315.2864
2021-01-18,1610985600000,17.101,17.494,15.758,16.766,235656961.1698
2021-01-19,1611072000000,16.779,16.866,14.78,15.033,206359908.276
2021-01-20,1611158400000,15.013,18.2,14.796,16.17,305667146.619
2021-01-21,1611244800000,16.146,17.73,14.7,17.314,171784512.7997
2021-01-22,1611331200000,17.319,18.494,16.751,17.628,124914329.9729
2021-01-23,1611417600000,17.651,18.793,17.333,17.701,115241920.2376
2021-01-24,1611504000000,17.704,19.1,17.237,17.987,112138844.8219
2021-01-25,1611590400000,18.004,18.082,16,16.63,92925897.2393
2021-01-26,1611676800000,16.619,17.294,15.046,15.782,92513521.3485
2021-01-27,1611763200000,15.773,17.489,15.075,17.198,105483509.5572
2021-01-28,1611849600000,17.205,17.744,15.979,17.483,115016532.6057
