date,openTime,open,high,low,close,volume
2022-10-06 00:00,1665014400000,6.435,6.52,6.424,6.448,2517740.550156
2022-10-06 08:00,1665043200000,6.447,6.492,6.353,6.376,1820950.95459
2022-10-06 16:00,1665072000000,6.375,6.42,6.317,6.343,1442926.076261
2022-10-07 00:00,1665100800000,6.343,6.393,6.338,6.364,1122789.750888
2022-10-07 08:00,1665129600000,6.364,6.389,6.26,6.305,2536634.676643
2022-10-07 16:00,1665158400000,6.305,6.34,6.255,6.328,825435.9445130001
2022-10-08 00:00,1665187200000,6.329,6.393,6.326,6.358,960680.939267
2022-10-08 08:00,1665216000000,6.359,6.369,6.316,6.335,644867.5969789999
2022-10-08 16:00,1665244800000,6.335,6.358,6.269,6.309,531946.501895
2022-10-09 00:00,1665273600000,6.309,6.363,6.284,6.352,913882.684196
2022-10-09 08:00,1665302400000,6.353,6.464,6.338,6.462,1307455.450777
2022-10-09 16:00,1665331200000,6.463,6.492,6.432,6.476,1113904.517609
2022-10-10 00:00,1665360000000,6.478,6.544,6.392,6.413,1778519.238697
2022-10-10 08:00,1665388800000,6.413,6.417,6.28,6.345,1841885.5000109999
2022-10-10 16:00,1665417600000,6.346,6.38,6.241,6.253,1672068.024966
2022-10-11 00:00,1665446400000,6.253,6.253,6.123,6.201,1778652.5392399998
2022-10-11 08:00,1665475200000,6.201,6.244,6.139,6.227,1061851.6458629998
2022-10-11 16:00,1665504000000,6.228,6.248,6.155,6.18,833795.817541
2022-10-12 00:00,1665532800000,6.18,6.234,6.165,6.204,1063006.599903
2022-10-12 08:00,1665561600000,6.204,6.244,6.143,6.188,1270309.764079
2022-10-12 16:00,1665590400000,6.188,6.193,6.126,6.174,624679.909657
2022-10-13 00:00,1665619200000,6.172,6.179,5.821,5.885,3413326.7452649996
2022-10-13 08:00,1665648000000,5.884,6.021,5.617,6.007,7041685.541729
2022-10-13 16:00,1665676800000,6.007,6.157,5.989,6.111,1611012.948712
2022-10-14 00:00,1665705600000,6.11,6.272,6.087,6.203,2201360.669684
2022-10-14 08:00,1665734400000,6.204,6.263,6.106,6.11,2214066.763587
2022-10-14 16:00,1665763200000,6.11,6.12,6.012,6.043,1181048.553593
2022-10-15 00:00,1665792000000,6.043,6.096,6.037,6.081,734042.537504
2022-10-15 08:00,1665820800000,6.078,6.1,6.022,6.076,871048.706265
2022-10-15 16:00,1665849600000,6.077,6.097,6.031,6.052,779130.335797
2022-10-16 00:00,1665878400000,6.052,6.154,6.049,6.129,1209038.989986
2022-10-16 08:00,1665907200000,6.13,6.189,6.126,6.163,943277.536237
2022-10-16 16:00,1665936000000,6.164,6.247,6.126,6.185,1027217.371243
2022-10-17 00:00,1665964800000,6.184,6.216,6.126,6.188,1108347.58415
2022-10-17 08:00,1665993600000,6.187,6.27,6.158,6.226,1620940.846658
2022-10-17 16:00,1666022400000,6.228,6.293,6.182,6.252,1195734.6255
2022-10-18 00:00,1666051200000,6.253,6.299,6.2,6.262,1366781.3853210001
2022-10-18 08:00,1666080000000,6.261,6.261,6.089,6.14,1998584.176631
2022-10-18 16:00,1666108800000,6.139,6.197,6.067,6.155,1229595.7480290001
2022-10-19 00:00,1666137600000,6.155,6.175,6.065,6.108,1010009.964745
2022-10-19 08:00,1666166400000,6.107,6.241,6.073,6.236,1604146.789439
2022-10-19 16:00,1666195200000,6.236,6.254,6.068,6.105,2152258.253247
2022-10-20 00:00,1666224000000,6.103,6.153,5.992,6.113,1884543.830034
2022-10-20 08:00,1666252800000,6.114,6.147,6.085,6.113,1484182.2329660002
2022-10-20 16:00,1666281600000,6.113,6.113,5.824,5.882,2720071.02213
2022-10-21 00:00,1666310400000,5.883,5.89,5.783,5.835,1955499.9392010001
2022-10-21 08:00,1666339200000,5.836,5.898,5.727,5.856,5293155.297698
2022-10-21 16:00,1666368000000,5.857,5.891,5.788,5.836,1985176.823425
2022-10-22 00:00,1666396800000,5.837,5.851,5.77,5.814,1495584.09162
2022-10-22 08:00,1666425600000,5.813,5.875,5.805,5.837,2345310.430469
2022-10-22 16:00,1666454400000,5.837,5.86,5.8,5.844,1222367.507639
2022-10-23 00:00,1666483200000,5.845,5.881,5.806,5.839,1506786.525661
2022-10-23 08:00,1666512000000,5.839,5.856,5.754,5.824,1502658.8349589999
2022-10-23 16:00,1666540800000,5.823,5.977,5.812,5.96,1738018.9247670001
2022-10-24 00:00,1666569600000,5.962,5.99,5.806,5.837,1974673.898126
2022-10-24 08:00,1666598400000,5.837,5.91,5.807,5.867,2469487.831267
2022-10-24 16:00,1666627200000,5.866,5.949,5.85,5.914,1224298.753889
2022-10-25 00:00,1666656000000,5.916,5.965,5.896,5.947,1373275.987224
2022-10-25 08:00,1666684800000,5.947,6.181,5.916,6.152,2602608.300166
2022-10-25 16:00,1666713600000,6.151,6.625,6.151,6.436,8966733.19464
2022-10-26 00:00,1666742400000,6.436,6.549,6.429,6.517,2463748.888475
2022-10-26 08:00,1666771200000,6.517,6.613,6.412,6.476,3940022.381254
2022-10-26 16:00,1666800000000,6.476,6.504,6.428,6.466,2053214.01254
2022-10-27 00:00,1666828800000,6.465,6.642,6.451,6.52,3401854.890749
2022-10-27 08:00,1666857600000,6.52,6.543,6.401,6.43,3390421.6435709996
2022-10-27 16:00,1666886400000,6.428,6.472,6.28,6.33,2304063.551937
2022-10-28 00:00,1666915200000,6.33,6.419,6.263,6.365,3246237.8127269996
2022-10-28 08:00,1666944000000,6.366,6.492,6.33,6.445,3919757.643985
2022-10-28 16:00,1666972800000,6.446,6.585,6.441,6.515,2034135.0475440002
2022-10-29 00:00,1667001600000,6.516,6.688,6.496,6.599,2480747.929257
2022-10-29 08:00,1667030400000,6.598,6.697,6.491,6.531,3812000.38043
2022-10-29 16:00,1667059200000,6.531,6.775,6.513,6.636,4541802.58557
2022-10-30 00:00,1667088000000,6.635,6.74,6.575,6.737,2300267.765698
2022-10-30 08:00,1667116800000,6.736,6.743,6.526,6.541,3180233.316232
2022-10-30 16:00,1667145600000,6.54,6.661,6.518,6.654,1688358.903659
2022-10-31 00:00,1667174400000,6.653,6.794,6.573,6.734,3604648.656615
2022-10-31 08:00,1667203200000,6.734,6.833,6.587,6.647,4808875.696063
2022-10-31 16:00,1667232000000,6.647,6.703,6.57,6.622,2381763.531436
2022-11-01 00:00,1667260800000,6.622,6.713,6.596,6.688,1722858.6646429999
2022-11-01 08:00,1667289600000,6.688,6.714,6.477,6.516,2857368.628214
2022-11-01 16:00,1667318400000,6.515,6.529,6.453,6.457,939967.2954879999
2022-11-02 00:00,1667347200000,6.456,6.467,6.325,6.362,1728933.374158
2022-11-02 08:00,1667376000000,6.361,6.468,6.285,6.327,2519297.607523
2022-11-02 16:00,1667404800000,6.326,6.528,6.162,6.255,5464855.540382
2022-11-03 00:00,1667433600000,6.255,6.534,6.229,6.436,3023247.655997
2022-11-03 08:00,1667462400000,6.438,6.496,6.324,6.446,2896278.84572
2022-11-03 16:00,1667491200000,6.447,6.522,6.411,6.423,2589591.5127100004
2022-11-04 00:00,1667520000000,6.422,6.725,6.389,6.689,5090651.24873
2022-11-04 08:00,1667548800000,6.689,6.966,6.597,6.747,8142923.005205
2022-11-04 16:00,1667577600000,6.746,7.097,6.713,7.056,5135221.089579999
2022-11-05 00:00,1667606400000,7.057,7.239,7.016,7.066,5227815.933728
2022-11-05 08:00,1667635200000,7.065,7.137,6.961,7.114,2453346.588545
2022-11-05 16:00,1667664000000,7.113,7.248,6.939,7.027,2795897.183348
2022-11-06 00:00,1667692800000,7.025,7.073,6.949,7.006,1855254.274311
2022-11-06 08:00,1667721600000,7.006,7.147,6.987,7.096,1958915.7673590002
2022-11-06 16:00,1667750400000,7.096,7.141,6.79,6.813,2696697.7549710004
2022-11-07 00:00,1667779200000,6.812,6.939,6.663,6.666,2602507.864442
2022-11-07 08:00,1667808000000,6.668,7.139,6.656,7.136,3398095.713327
2022-11-07 16:00,1667836800000,7.136,7.415,7.037,7.117,5534126.616256
2022-11-08 00:00,1667865600000,7.118,7.2,6.362,6.643,9199477.21143
2022-11-08 08:00,1667894400000,6.64,6.673,6.411,6.583,3330410.449956
2022-11-08 16:00,1667923200000,6.582,6.969,5.81,6.311,22189317.405448
2022-11-09 00:00,1667952000000,6.312,6.384,6.07,6.275,9645781.74146
2022-11-09 08:00,1667980800000,6.276,6.322,5.893,5.993,10869913.196621
2022-11-09 16:00,1668009600000,5.992,6.082,5.346,5.415,8066343.514185
2022-11-10 00:00,1668038400000,5.415,5.824,5.33,5.758,7409448.393467
2022-11-10 08:00,1668067200000,5.758,6.163,5.587,6.058,9668039.479639
2022-11-10 16:00,1668096000000,6.057,6.172,5.842,5.973,3938593.504835
2022-11-11 00:00,1668124800000,5.973,6.002,5.672,5.826,3433438.805288
2022-11-11 08:00,1668153600000,5.825,5.921,5.531,5.633,4239161.991405
2022-11-11 16:00,1668182400000,5.634,5.784,5.51,5.749,3068791.630642
2022-11-12 00:00,1668211200000,5.749,5.834,5.563,5.696,2788339.858364
2022-11-12 08:00,1668240000000,5.696,5.809,5.641,5.777,2082975.07205
2022-11-12 16:00,1668268800000,5.778,5.875,5.731,5.78,1961845.2068039998
2022-11-13 00:00,1668297600000,5.78,5.968,5.757,5.883,2387460.506203
2022-11-13 08:00,1668326400000,5.883,5.895,5.673,5.837,2869799.684919
2022-11-13 16:00,1668355200000,5.838,5.845,5.626,5.75,1728246.122946
2022-11-14 00:00,1668384000000,5.751,5.808,5.448,5.795,3648998.715576
2022-11-14 08:00,1668412800000,5.792,5.894,5.672,5.823,3354149.90863
2022-11-14 16:00,1668441600000,5.824,5.883,5.692,5.864,1632627.068341
2022-11-15 00:00,1668470400000,5.864,5.915,5.8,5.909,1221520.729157
2022-11-15 08:00,1668499200000,5.906,6.047,5.879,6.008,1876957.7640530001
2022-11-15 16:00,1668528000000,6.007,6.033,5.888,5.923,1169085.107226
2022-11-16 00:00,1668556800000,5.923,5.992,5.874,5.937,992032.986539
2022-11-16 08:00,1668585600000,5.937,5.944,5.632,5.661,2188973.253584
2022-11-16 16:00,1668614400000,5.66,5.736,5.616,5.708,1200601.604945
2022-11-17 00:00,1668643200000,5.707,5.731,5.596,5.68,1229193.806377
2022-11-17 08:00,1668672000000,5.68,5.699,5.57,5.652,1200931.1867240001
2022-11-17 16:00,1668700800000,5.652,5.717,5.636,5.673,755794.733962
2022-11-18 00:00,1668729600000,5.672,5.775,5.67,5.713,1062834.208055
2022-11-18 08:00,1668758400000,5.713,5.75,5.677,5.705,816965.266844
2022-11-18 16:00,1668787200000,5.705,5.717,5.61,5.643,726357.004257
2022-11-19 00:00,1668816000000,5.643,5.658,5.529,5.555,945746.604753
2022-11-19 08:00,1668844800000,5.554,5.607,5.542,5.593,712063.370908
2022-11-19 16:00,1668873600000,5.594,5.639,5.56,5.603,545960.335368
2022-11-20 00:00,1668902400000,5.604,5.657,5.594,5.616,526326.289581
2022-11-20 08:00,1668931200000,5.616,5.622,5.426,5.469,2022249.0975139998
2022-11-20 16:00,1668960000000,5.469,5.471,5.252,5.294,1667901.4538540002
2022-11-21 00:00,1668988800000,5.294,5.298,5.142,5.214,2128283.097806
2022-11-21 08:00,1669017600000,5.215,5.276,5.172,5.236,1547835.080456
2022-11-21 16:00,1669046400000,5.238,5.246,5.066,5.187,1815956.7061740002
2022-11-22 00:00,1669075200000,5.187,5.258,4.981,5.058,2343608.64359
2022-11-22 08:00,1669104000000,5.059,5.313,4.995,5.297,2375465.306118
2022-11-22 16:00,1669132800000,5.296,5.318,5.214,5.284,1096656.8514470002
2022-11-23 00:00,1669161600000,5.285,5.447,5.253,5.445,1765322.134375
2022-11-23 08:00,1669190400000,5.446,5.483,5.315,5.377,2205633.097337
2022-11-23 16:00,1669219200000,5.376,5.455,5.316,5.437,1480277.526483
2022-11-24 00:00,1669248000000,5.437,5.518,5.392,5.479,2874650.0493
2022-11-24 08:00,1669276800000,5.479,5.483,5.35,5.379,2042696.700586
2022-11-24 16:00,1669305600000,5.379,5.423,5.333,5.389,1123631.376279
2022-11-25 00:00,1669334400000,5.388,5.39,5.248,5.298,1350787.910036
2022-11-25 08:00,1669363200000,5.3,5.385,5.26,5.286,1662060.180937
2022-11-25 16:00,1669392000000,5.285,5.315,5.252,5.266,711867.377461
2022-11-26 00:00,1669420800000,5.268,5.354,5.241,5.347,1312238.304421
2022-11-26 08:00,1669449600000,5.348,5.456,5.335,5.394,2081012.768961
