date,openTime,open,high,low,close,volume
2018-01-10,1515600000000,33.17,34.719,32.14,34.45,3910844.170427
2018-01-11,1515686400000,34.45,35.219,31.21,33.152,13567642.632257
2018-01-12,1515772800000,33.159,38.299,32.299,37.059,14378612.794758
2018-01-13,1515859200000,37.069,46.466,37,39.8,46924046.607507
2018-01-14,1515945600000,39.8,43.26,38,41.459,18732082.997685
2018-01-15,1516032000000,41.459,42,29.129,32.876,21883107.106555
2018-01-16,1516118400000,32.876,32.876,22.04,23.253,33343663.622675
2018-01-17,1516204800000,23.253,32.187,23.253,32.069,25353980.683337
2018-01-18,1516291200000,32.069,33.799,28,31.86,13953990.911376
2018-01-19,1516377600000,31.86,34.389,30.4,33.88,6841977.348828
2018-01-20,1516464000000,33.88,36.119,30.318,30.37,9191121.96904
2018-01-21,1516550400000,30.359,32.601,27.27,27.819,8194878.093621
2018-01-22,1516636800000,27.819,29.649,26.231,28.56,7647695.625075
2018-01-23,1516723200000,28.56,30.278,27.83,28.89,5315061.274851
2018-01-24,1516809600000,28.89,30.333,28.63,28.78,4681669.918689
2018-01-25,1516896000000,28.78,29.63,26.57,28.506,5390769.332549
2018-01-26,1516982400000,28.514,29.66,27.911,29.364,3643928.709522
2018-01-27,1517068800000,29.364,34.17,29.125,33.289,5881069.220149
2018-01-28,1517155200000,33.289,33.35,30.46,31.769,4757113.973851
2018-01-29,1517241600000,31.769,31.824,28.05,28.37,4035674.789206
2018-01-30,1517328000000,28.36,28.82,26,27.603,7672266.369956
2018-01-31,1517414400000,27.61,28.989,25.399,25.74,5940307.005753
2018-02-01,1517500800000,25.749,25.76,19,23.51,9426361.150368
2018-02-02,1517587200000,23.519,24.829,20.836,23.87,5405807.841942
2018-02-03,1517673600000,23.899,24.879,21.379,22.48,2872250.989151
2018-02-04,1517760000000,22.45,22.509,17.69,18.127,5588649.935527
2018-02-05,1517846400000,18.124,18.469,14,17.79,6601102.049625
2018-02-06,1517932800000,17.8,20.549,16.53,19.292,5406238.061883
2018-02-07,1518019200000,19.396,21.121,18.1,20.25,2537628.357164
2018-02-08,1518105600000,20.14,24.895,19.99,24.647,5782318.767007
