date,openTime,open,high,low,close,volume
2021-11-07,1636300800000,3.849,7.175,3.0465,5.3221,302976657.209732
2021-11-14,1636905600000,5.3217,8.949,5.0509,7.8841,329232758.789334
2021-11-21,1637510400000,7.8841,9.5,6.8769,7.2801,223745728.513695
2021-11-28,1638115200000,7.2795,8.6499,4.7,5.3928,149220244.799076
2021-12-05,1638720000000,5.393,6.6403,4.37,5.0634,152232413.959562
2021-12-12,1639324800000,5.0714,5.5497,4.4373,4.4388,91480992.578739
2021-12-19,1639929600000,4.4402,4.9411,3.9883,4.6191,67414758.950679
2021-12-26,1640534400000,4.6196,5.771,4.5373,4.9001,90987871.099445
2022-01-02,1641139200000,4.9002,5.0666,3.3561,3.6805,78294944.257457
2022-01-09,1641744000000,3.6801,4.3923,3.3105,4.2143,110358813.45387517
2022-01-16,1642348800000,4.2095,4.3899,2.01,2.4092,85015684.10857113
2022-01-23,1642953600000,2.4063,3.3333,2,2.711,80435758.28652157
2022-01-30,1643558400000,2.7113,4.26,2.4637,2.8297,126287727.77729313
2022-02-06,1644163200000,2.8308,3.59,2.2025,2.3999,75471394.8968533
2022-02-13,1644768000000,2.3992,2.5044,1.79,1.8442,38400911.717849486
2022-02-20,1645372800000,1.8446,1.9621,1.3155,1.5133,56806494.524284825
2022-02-27,1645977600000,1.5127,1.6464,1.1672,1.192,44968739.216459855
2022-03-06,1646582400000,1.1916,1.9789,1.1011,1.8476,185288482.30152833
2022-03-13,1647187200000,1.8482,2.3619,1.4481,1.9732,130239246.95415072
2022-03-20,1647792000000,1.9732,2.44,1.9275,2.2255,127921745.41430219
2022-03-27,1648396800000,2.2259,2.848,2.205,2.6027,132563920.72056541
2022-04-03,1649001600000,2.6027,2.6754,1.9634,2.1203,89036323.49525097
2022-04-10,1649606400000,2.1203,2.1856,1.7061,1.8311,52121627.715281434
2022-04-17,1650211200000,1.8317,2.1294,1.573,1.7767,66353319.05867764
2022-04-24,1650816000000,1.7773,1.8651,1.288,1.5165,56316392.69292705
2022-05-01,1651420800000,1.5172,1.8621,1.364,1.3781,72847062.92000818
2022-05-08,1652025600000,1.3786,1.407,0.6786,0.8741,72432935.36102802
2022-05-15,1652630400000,0.8752,1.0755,0.7818,0.9865,29445470.578810737
2022-05-22,1653235200000,0.988,1.0562,0.7886,0.942,25205244.045193296
2022-05-29,1653840000000,0.943,1.2,0.9057,0.9982,27229688.294288952
2022-06-05,1654444800000,0.9986,1.0745,0.7288,0.8096,19512448.37645696
2022-06-12,1655049600000,0.8092,0.811,0.6339,0.7432,32233780.565241624
2022-06-19,1655654400000,0.742,0.9108,0.725,0.8692,18365025.204786964
2022-06-26,1656259200000,0.8691,1.0482,0.8019,0.8833,36469405.88428395
2022-07-03,1656864000000,0.8825,1.0389,0.8801,0.9004,21841792.93776569
2022-07-10,1657468800000,0.9004,0.9507,0.8086,0.9238,18101742.946851686
2022-07-17,1658073600000,0.9245,1.13,0.8954,0.9279,34420089.34099682
2022-07-24,1658678400000,0.928,1.295,0.7836,1.149,40292232.10375201
2022-07-31,1659283200000,1.149,1.232,0.98,1.141,24442250.173055757
2022-08-07,1659888000000,1.141,1.278,1.062,1.13,19137657.948869918
2022-08-14,1660492800000,1.13,1.131,0.815,0.875,12599286.873631908
2022-08-21,1661097600000,0.876,0.899,0.764,0.802,7712185.030224851
2022-08-28,1661702400000,0.803,0.878,0.759,0.832,8672981.358558698
2022-09-04,1662307200000,0.833,0.892,0.756,0.87,12212458.056206146
2022-09-11,1662912000000,0.869,0.932,0.774,0.809,10913853.302448155
2022-09-18,1663516800000,0.809,0.832,0.712,0.746,7361605.873254441
2022-09-25,1664121600000,0.745,0.781,0.712,0.757,4990099.982491816
2022-10-02,1664726400000,0.756,0.802,0.721,0.742,4436552.771369576
2022-10-09,1665331200000,0.741,0.741,0.598,0.629,5689357.19738442
2022-10-16,1665936000000,0.63,0.651,0.528,0.541,4140822.374390347
2022-10-23,1666540800000,0.541,0.677,0.529,0.62,11568208.775938036
2022-10-30,1667145600000,0.62,0.725,0.562,0.638,16720750.948466
2022-11-06,1667750400000,0.637,0.637,0.385,0.415,13574159.699074
2022-11-13,1668355200000,0.415,0.44,0.388,0.412,3144004.95527
2022-11-20,1668960000000,0.413,0.471,0.375,0.442,3043341.24157
2022-11-27,1669564800000,0.444,0.506,0.406,0.506,2309922.4759
2022-12-04,1670169600000,0.506,0.518,0.429,0.442,1973423.527936
2022-12-11,1670774400000,0.442,0.442,0.442,0.442,0
2022-12-18,1671379200000,0.42,0.473,0.41,0.421,2336058.475233
2022-12-25,1671984000000,0.421,0.431,0.375,0.382,1115481.776424
2023-01-01,1672588800000,0.382,0.432,0.38,0.43,1264075.685461
2023-01-08,1673193600000,0.43,0.593,0.424,0.568,5466478.267266
2023-01-15,1673798400000,0.569,0.697,0.554,0.678,6809094.226964
2023-01-22,1674403200000,0.678,0.75,0.632,0.668,9864714.492624
2023-01-29,1675008000000,0.668,1.016,0.629,0.885,20400013.089763
2023-02-05,1675612800000,0.886,1.209,0.837,1.071,38108330.25493
2023-02-12,1676217600000,1.072,1.288,0.926,1.087,32633096.836262
2023-02-19,1676822400000,1.087,1.101,0.914,0.963,19888247.735622
2023-02-26,1677427200000,0.962,1.123,0.885,1.077,24789806.845660537
2023-03-05,1678032000000,1.077,1.16,0.757,0.779,26389951.038503714
2023-03-12,1678636800000,0.78,1.588,0.775,1.463,69952566.36734797
2023-03-19,1679241600000,1.462,1.577,1.025,1.101,48703018.457376175
2023-03-26,1679846400000,1.099,1.184,0.99,1.06,19141792.049622554
2023-04-02,1680451200000,1.059,1.128,1.006,1.016,10060318.440505479
2023-04-09,1681056000000,1.017,1.247,1.014,1.182,21733205.07291504
2023-04-16,1681660800000,1.182,1.223,0.903,0.954,15966756.048055682
