date,openTime,open,high,low,close,volume
2022-10-06 00:00,1665014400000,0.787,0.798,0.778,0.784,477622.327642953
2022-10-06 08:00,1665043200000,0.785,0.786,0.764,0.769,750274.042082938
2022-10-06 16:00,1665072000000,0.769,0.774,0.752,0.76,339800.739041226
2022-10-07 00:00,1665100800000,0.76,0.764,0.756,0.758,100541.962696629
2022-10-07 08:00,1665129600000,0.758,0.761,0.732,0.741,500416.020882992
2022-10-07 16:00,1665158400000,0.742,0.743,0.731,0.739,162136.405066469
2022-10-08 00:00,1665187200000,0.739,0.746,0.739,0.744,55197.521206457
2022-10-08 08:00,1665216000000,0.744,0.747,0.738,0.741,93167.818830746
2022-10-08 16:00,1665244800000,0.74,0.743,0.721,0.728,77978.268880908
2022-10-09 00:00,1665273600000,0.728,0.733,0.723,0.733,93388.240375148
2022-10-09 08:00,1665302400000,0.732,0.743,0.731,0.742,126705.37886876799
2022-10-09 16:00,1665331200000,0.741,0.741,0.729,0.734,62159.766805782
2022-10-10 00:00,1665360000000,0.734,0.741,0.723,0.725,196686.44949849302
2022-10-10 08:00,1665388800000,0.725,0.726,0.703,0.714,417519.34841151594
2022-10-10 16:00,1665417600000,0.714,0.714,0.685,0.69,408667.91431619995
2022-10-11 00:00,1665446400000,0.69,0.695,0.663,0.69,578025.719065371
2022-10-11 08:00,1665475200000,0.69,0.695,0.678,0.693,132308.694318477
2022-10-11 16:00,1665504000000,0.692,0.697,0.681,0.686,86547.435966943
2022-10-12 00:00,1665532800000,0.686,0.694,0.682,0.69,99471.38932240299
2022-10-12 08:00,1665561600000,0.689,0.692,0.67,0.676,202914.212054131
2022-10-12 16:00,1665590400000,0.677,0.677,0.663,0.666,102402.90173211
2022-10-13 00:00,1665619200000,0.667,0.67,0.611,0.626,686279.1916620571
2022-10-13 08:00,1665648000000,0.625,0.652,0.598,0.65,1167098.985127108
2022-10-13 16:00,1665676800000,0.649,0.666,0.648,0.65,205558.797748757
2022-10-14 00:00,1665705600000,0.65,0.678,0.65,0.656,246813.946840377
2022-10-14 08:00,1665734400000,0.656,0.661,0.634,0.634,186210.378480758
2022-10-14 16:00,1665763200000,0.634,0.639,0.622,0.63,231643.115167582
2022-10-15 00:00,1665792000000,0.63,0.637,0.624,0.63,99509.656355515
2022-10-15 08:00,1665820800000,0.63,0.633,0.618,0.629,195103.226392938
2022-10-15 16:00,1665849600000,0.63,0.634,0.61,0.614,157954.304485075
2022-10-16 00:00,1665878400000,0.613,0.627,0.613,0.627,88024.203982646
2022-10-16 08:00,1665907200000,0.627,0.633,0.62,0.629,138457.55965018098
2022-10-16 16:00,1665936000000,0.63,0.644,0.625,0.633,176556.79248432798
2022-10-17 00:00,1665964800000,0.632,0.64,0.625,0.638,82037.66904711901
2022-10-17 08:00,1665993600000,0.638,0.651,0.632,0.643,187253.203175332
2022-10-17 16:00,1666022400000,0.643,0.649,0.636,0.646,197419.643609241
2022-10-18 00:00,1666051200000,0.647,0.651,0.634,0.637,141987.35711068398
2022-10-18 08:00,1666080000000,0.637,0.638,0.615,0.622,376911.78150407295
2022-10-18 16:00,1666108800000,0.621,0.623,0.606,0.617,158553.534769777
2022-10-19 00:00,1666137600000,0.617,0.619,0.59,0.596,172047.169610692
2022-10-19 08:00,1666166400000,0.595,0.6,0.588,0.598,173553.47062415798
2022-10-19 16:00,1666195200000,0.598,0.598,0.56,0.578,511205.479363063
2022-10-20 00:00,1666224000000,0.577,0.599,0.568,0.594,223088.425743945
2022-10-20 08:00,1666252800000,0.594,0.598,0.584,0.593,156078.278605954
2022-10-20 16:00,1666281600000,0.592,0.592,0.565,0.569,159689.486087382
2022-10-21 00:00,1666310400000,0.568,0.569,0.547,0.548,188029.936335676
2022-10-21 08:00,1666339200000,0.548,0.556,0.528,0.556,326977.453773657
2022-10-21 16:00,1666368000000,0.557,0.562,0.551,0.56,97321.70434629
2022-10-22 00:00,1666396800000,0.56,0.562,0.548,0.553,106193.30966203299
2022-10-22 08:00,1666425600000,0.553,0.558,0.551,0.553,170590.459020824
2022-10-22 16:00,1666454400000,0.553,0.553,0.543,0.55,105254.248472436
2022-10-23 00:00,1666483200000,0.551,0.558,0.546,0.551,127052.932122725
2022-10-23 08:00,1666512000000,0.551,0.555,0.54,0.541,303020.038920958
2022-10-23 16:00,1666540800000,0.541,0.568,0.535,0.564,474632.974758496
2022-10-24 00:00,1666569600000,0.565,0.574,0.555,0.56,585340.508180659
2022-10-24 08:00,1666598400000,0.56,0.568,0.548,0.549,410459.69857498
2022-10-24 16:00,1666627200000,0.55,0.55,0.537,0.539,112281.712465143
2022-10-25 00:00,1666656000000,0.539,0.548,0.537,0.541,142820.370956618
2022-10-25 08:00,1666684800000,0.541,0.554,0.529,0.548,304589.051677271
2022-10-25 16:00,1666713600000,0.549,0.578,0.548,0.564,669870.13530816
2022-10-26 00:00,1666742400000,0.564,0.578,0.563,0.57,248547.645933708
2022-10-26 08:00,1666771200000,0.57,0.582,0.562,0.572,634729.907861
2022-10-26 16:00,1666800000000,0.572,0.577,0.56,0.564,226883.545867
2022-10-27 00:00,1666828800000,0.563,0.62,0.563,0.601,778679.059567
2022-10-27 08:00,1666857600000,0.601,0.636,0.59,0.617,1057208.113318
2022-10-27 16:00,1666886400000,0.616,0.62,0.585,0.591,652322.525739
2022-10-28 00:00,1666915200000,0.591,0.595,0.57,0.573,406538.746542
