date,openTime,open,high,low,close,volume
2024-02-04,1707062400000,0.5597,0.6047,0.4879,0.5118,72251046.6241484
2024-02-11,1707667200000,0.5115,0.5621,0.431,0.5372,78509564.5664692
2024-02-18,1708272000000,0.5374,0.5567,0.4511,0.4934,71059451.2348415
2024-02-25,1708876800000,0.4935,0.6498,0.4418,0.625,116740635.1475035
2024-03-03,1709481600000,0.6251,0.8239,0.4582,0.7717,195727956.2764033
2024-03-10,1710086400000,0.7712,1.5582,0.7353,1.2851,478237641.1035689
2024-03-17,1710691200000,1.2851,1.6041,1.0527,1.1938,294211035.6155076
2024-03-24,1711296000000,1.1932,1.5769,1.1605,1.4965,122307520.7534606
2024-03-31,1711900800000,1.4967,1.85,1.2862,1.401,221652540.8127636
2024-04-07,1712505600000,1.4013,1.4929,0.7505,0.9911,163590170.034565
2024-04-14,1713110400000,0.9914,1.2168,0.8982,1.1731,109040340.9700789
2024-04-21,1713715200000,1.1744,1.231,0.9242,1.0234,62626082.5059356
2024-04-28,1714320000000,1.0237,1.1037,0.8505,1.0708,59559862.4399941
2024-05-05,1714924800000,1.0715,1.1884,1.009,1.073,52163134.6669145
2024-05-12,1715529600000,1.0729,1.321,1,1.1767,63061956.0674062
2024-05-19,1716134400000,1.1752,1.2893,1.0787,1.1212,54866928.0394019
2024-05-26,1716739200000,1.1204,1.2176,1.0733,1.0912,31516330.129831
2024-06-02,1717344000000,1.0906,1.184,0.91,1.0096,29835622.0346532
2024-06-09,1717948800000,1.0084,1.0204,0.822,0.9032,31767032.3683948
2024-06-16,1718553600000,0.9025,0.9366,0.7029,0.7581,47791191.2091925
2024-06-23,1719158400000,0.7581,0.8907,0.6783,0.8143,39936650.410795
2024-06-30,1719763200000,0.815,0.9699,0.6317,0.723,71724648.3573165
2024-07-07,1720368000000,0.723,0.8277,0.658,0.8172,29535118.7304178
2024-07-14,1720972800000,0.8165,1.0561,0.8005,1.0337,47009949.5502648
2024-07-21,1721577600000,1.0337,1.179,0.9213,1.1246,44304936.1222368
2024-07-28,1722182400000,1.1246,1.2237,0.8027,0.8036,43531375.0592268
