date,openTime,open,high,low,close,volume
2022-10-06 00:00,1665014400000,54.62,55.06,54.19,54.43,1769500.8322465802
2022-10-06 08:00,1665043200000,54.42,54.95,53.89,54.36,1659552.3827044899
2022-10-06 16:00,1665072000000,54.35,54.6,53.32,53.53,1399659.9856763198
2022-10-07 00:00,1665100800000,53.53,53.83,52.92,53.5,2427841.27975437
2022-10-07 08:00,1665129600000,53.51,53.71,52.3,52.71,3807097.3258705
2022-10-07 16:00,1665158400000,52.71,53.02,52.3,52.86,1025905.2371392001
2022-10-08 00:00,1665187200000,52.86,53.55,52.73,53.28,1208398.8639698
2022-10-08 08:00,1665216000000,53.29,53.53,53.06,53.18,1132291.24577474
2022-10-08 16:00,1665244800000,53.19,53.33,52.42,52.8,944960.98987469
2022-10-09 00:00,1665273600000,52.79,53.48,52.71,53.37,1075643.8609886
2022-10-09 08:00,1665302400000,53.37,53.81,53.24,53.65,1846362.37758596
2022-10-09 16:00,1665331200000,53.64,54,53.33,53.92,862244.96623311
2022-10-10 00:00,1665360000000,53.91,54.49,53.63,53.98,1672708.77512143
2022-10-10 08:00,1665388800000,53.99,54,52.66,53.38,1775672.80790124
2022-10-10 16:00,1665417600000,53.38,53.55,52.5,52.62,1785188.05091814
2022-10-11 00:00,1665446400000,52.62,52.63,51.28,51.94,2718995.4225670598
2022-10-11 08:00,1665475200000,51.94,52.5,51.37,52.44,2753430.0831747903
2022-10-11 16:00,1665504000000,52.46,52.6,51.51,52.03,778339.63081969
2022-10-12 00:00,1665532800000,52.02,52.84,51.86,52.49,1287011.25613363
2022-10-12 08:00,1665561600000,52.49,52.98,51.64,52.27,2175517.43629046
2022-10-12 16:00,1665590400000,52.27,52.42,51.83,52.21,870964.19510562
2022-10-13 00:00,1665619200000,52.22,52.5,50.41,50.85,2408405.0790394302
2022-10-13 08:00,1665648000000,50.87,51.18,48.33,50.32,9294642.74370943
2022-10-13 16:00,1665676800000,50.32,51.59,50.23,51.08,2209723.4810814997
2022-10-14 00:00,1665705600000,51.07,52.56,50.9,51.89,2921574.72774083
2022-10-14 08:00,1665734400000,51.89,52.44,51.15,51.25,2859987.0631533097
2022-10-14 16:00,1665763200000,51.25,51.44,50.94,51.32,1493617.04775788
2022-10-15 00:00,1665792000000,51.33,51.64,51.15,51.45,855390.81635054
2022-10-15 08:00,1665820800000,51.46,51.66,51.07,51.45,1312678.55787843
2022-10-15 16:00,1665849600000,51.45,51.53,50.3,50.39,1499763.48103023
2022-10-16 00:00,1665878400000,50.39,50.96,50.32,50.69,1037996.46072298
2022-10-16 08:00,1665907200000,50.69,51.08,50.65,50.98,1025728.89619201
2022-10-16 16:00,1665936000000,50.98,51.8,50.77,51.43,1457737.6464166301
2022-10-17 00:00,1665964800000,51.44,51.63,51.04,51.46,1255945.61341907
2022-10-17 08:00,1665993600000,51.45,52.15,51.14,51.84,1891457.16619848
2022-10-17 16:00,1666022400000,51.85,52,51.47,51.83,757080.9135491899
2022-10-18 00:00,1666051200000,51.84,52.19,51.46,52.15,1414243.74084466
2022-10-18 08:00,1666080000000,52.16,52.18,51.1,51.38,2444141.9244638802
2022-10-18 16:00,1666108800000,51.39,52,50.76,51.87,1377485.9129945
2022-10-19 00:00,1666137600000,51.87,52,51.16,51.5,1685866.03696939
2022-10-19 08:00,1666166400000,51.49,51.65,51.06,51.59,1495366.59614235
2022-10-19 16:00,1666195200000,51.57,51.62,50.76,50.96,915939.13573143
2022-10-20 00:00,1666224000000,50.95,51.79,50.59,51.54,1953147.7507268097
2022-10-20 08:00,1666252800000,51.55,52.09,51.38,51.81,1838032.69894807
2022-10-20 16:00,1666281600000,51.81,51.83,50.69,51.23,1147437.4828329901
2022-10-21 00:00,1666310400000,51.23,51.3,50.76,50.88,1120243.53146099
2022-10-21 08:00,1666339200000,50.87,51.5,49.52,51.49,3135885.9896773202
2022-10-21 16:00,1666368000000,51.5,51.82,51.29,51.63,1404102.22888831
2022-10-22 00:00,1666396800000,51.64,51.85,51.37,51.77,660847.9007141
2022-10-22 08:00,1666425600000,51.77,52.48,51.76,52.26,1777716.4518313901
2022-10-22 16:00,1666454400000,52.25,52.49,52.04,52.19,836504.12442873
2022-10-23 00:00,1666483200000,52.19,52.33,51.85,52.06,1087258.60139199
2022-10-23 08:00,1666512000000,52.06,52.41,51.84,52.33,1331677.68986055
2022-10-23 16:00,1666540800000,52.32,54.03,52.25,54.02,2635425.7603562297
2022-10-24 00:00,1666569600000,54.02,54.21,52.73,52.98,2125239.43289083
2022-10-24 08:00,1666598400000,52.99,53.43,52.28,52.58,2090318.2561145802
2022-10-24 16:00,1666627200000,52.59,52.85,52.12,52.54,746358.13087886
2022-10-25 00:00,1666656000000,52.53,53.09,52.38,52.69,1264511.56184133
2022-10-25 08:00,1666684800000,52.7,53.96,52.29,53.78,1708136.94749225
2022-10-25 16:00,1666713600000,53.79,56.81,53.71,55.93,10853476.616957389
2022-10-26 00:00,1666742400000,55.93,56.66,55.68,56.41,3660859.8230429003
2022-10-26 08:00,1666771200000,56.42,57.64,56.14,56.75,11512099.295233998
2022-10-26 16:00,1666800000000,56.75,56.86,55.73,56.39,3916430.059668
2022-10-27 00:00,1666828800000,56.38,56.68,55.62,56.18,3022798.435118
