date,openTime,open,high,low,close,volume
2020-11-29,1606665600000,0.85,1.2227,0.85,1.0451,12072800.53856275
2020-12-06,1607270400000,1.0454,1.0543,0.8673,0.9527,16032342.78421715
2020-12-13,1607875200000,0.9528,1.1216,0.9413,1.0515,17389959.15549613
2020-12-20,1608480000000,1.0505,1.66,0.908,1.1003,68927113.89535247
2020-12-27,1609084800000,1.1032,1.5923,1.0568,1.4813,48201998.08973885
2021-01-03,1609689600000,1.4813,1.95,1.3,1.6865,69169614.15056694
2021-01-10,1610294400000,1.6866,2.772,1.3537,2.6972,77768493.82459645
2021-01-17,1610899200000,2.6968,2.7434,2,2.5545,92979740.75107867
2021-01-24,1611504000000,2.5655,2.68,2.0067,2.1298,68221125.683421
2021-01-31,1612108800000,2.126,3.27,2.05,3.0413,108441262.16746506
2021-02-07,1612713600000,3.042,5.5826,2.8549,4.3614,198210872.34426644
2021-02-14,1613318400000,4.362,4.754,3.5,4.095,130309798.06430213
2021-02-21,1613923200000,4.0918,4.8896,2.6546,3.5363,184825577.87707046
2021-02-28,1614528000000,3.5383,4.6634,3.476,4.1534,102374426.7308517
2021-03-07,1615132800000,4.1564,7.5912,4.119,6.7911,275805128.310987
2021-03-14,1615737600000,6.8049,7.0659,5.5861,6.0003,151707656.5444149
2021-03-21,1616342400000,5.9979,6.0992,4.4685,5.7913,123065413.48718059
2021-03-28,1616947200000,5.7915,6.693,5.4327,5.9171,146938607.82626307
2021-04-04,1617552000000,5.9216,7.4283,5.7035,7.0189,215988203.69892943
2021-04-11,1618156800000,7.0208,7.3499,4.0275,5.1297,205192949.37267986
2021-04-18,1618761600000,5.1462,5.4814,4.0167,4.7582,180513573.77506235
2021-04-25,1619366400000,4.7589,5.7829,4.3602,5.3369,187047196.40633747
2021-05-02,1619971200000,5.3351,5.585,4.7601,5.1937,160054711.94086123
2021-05-09,1620576000000,5.1916,7.3737,4.3536,6.0334,308825261.92221195
2021-05-16,1621180800000,6.0347,6.286,2.3309,2.4657,281772866.91054904
2021-05-23,1621785600000,2.47,3.6475,2.2065,3.1274,171937790.65022758
2021-05-30,1622390400000,3.1234,3.649,2.8804,3.1837,137409079.78083628
2021-06-06,1622995200000,3.1832,3.3333,2.69,2.8964,92080960.05377252
2021-06-13,1623600000000,2.8977,3.3672,2.6548,2.7653,84534501.99938647
2021-06-20,1624204800000,2.7657,2.9358,1.7471,1.861,87867025.67024194
2021-06-27,1624809600000,1.8606,2.3476,1.8106,2.2841,73518055.103585
2021-07-04,1625414400000,2.2858,2.4036,2.01,2.1993,55814996.9177168
2021-07-11,1626019200000,2.1994,2.2324,1.8005,1.8714,63132744.6161284
2021-07-18,1626624000000,1.8704,2.3123,1.5467,2.0832,68880602.73827615
2021-07-25,1627228800000,2.0832,2.5594,2.0553,2.4691,81896794.41698366
2021-08-01,1627833600000,2.4683,2.79,2.2261,2.6018,78953368.81197147
2021-08-08,1628438400000,2.6022,3.4845,2.4646,3.1476,122076855.07319549
2021-08-15,1629043200000,3.1475,6.5897,3.1022,5.5499,332182055.05652875
2021-08-22,1629648000000,5.5536,6.2279,4.608,5.6747,300901350.55254596
2021-08-29,1630252800000,5.6685,6.8871,5.119,5.9793,247052860.9975587
2021-09-05,1630857600000,5.9783,11.898,5.1092,9.5275,989018449.2668417
2021-09-12,1631462400000,9.5279,9.933,7.715,9.8828,426302461.36651415
2021-09-19,1632067200000,9.8876,10.4285,6.346,7.5612,643870474.9523665
2021-09-26,1632672000000,7.5674,8.49,6.3745,8.0346,345838964.96781236
2021-10-03,1633276800000,8.0376,8.7457,7.1415,7.7461,343079936.9436509
2021-10-10,1633881600000,7.7457,8.2766,6.7734,7.7967,248490870.4862406
2021-10-17,1634486400000,7.7982,9.9582,7.5866,9.2916,333568363.1895938
2021-10-24,1635091200000,9.2844,13.2167,9.1389,9.7901,692661418.8268144
2021-10-31,1635696000000,9.7816,11.5092,9.657,10.1802,356443927.46602714
2021-11-07,1636300800000,10.1714,12.6577,9.9,11.5818,457027748.8456653
2021-11-14,1636905600000,11.5795,11.976,8.4043,9.6774,326569662.52924246
2021-11-21,1637510400000,9.6802,10.32,7.8,8.0979,216422964.59902024
2021-11-28,1638115200000,8.0953,9.5826,6.0589,7.3847,295432844.61426765
2021-12-05,1638720000000,7.3793,11.7964,6.6358,10.6556,593151232.2006633
