date,openTime,open,high,low,close,volume
2023-05-14,1684080000000,10,17.11,10,11.048,40748766.7250621
2023-05-21,1684684800000,11.036,11.5,6.679,9.242,186506488.9497841
2023-05-28,1685289600000,9.24,10.5,7.68,8.862,121577129.2108628
2023-06-04,1685894400000,8.86,9.382,4.405,5.09,97831124.769727
2023-06-11,1686499200000,5.094,6.7,4.56,6.373,80143882.1375784
2023-06-18,1687104000000,6.37,8.585,5.619,8.008,102191587.4816986
2023-06-25,1687708800000,8.017,8.493,5.887,6.89,77104203.1148014
2023-07-02,1688313600000,6.88,7.685,6.04,6.742,67151718.0170444
2023-07-09,1688918400000,6.736,8.083,6.617,7.503,71763621.8446535
2023-07-16,1689523200000,7.501,7.898,6.55,6.707,47953037.1128455
2023-07-23,1690128000000,6.71,7.056,6.001,6.407,30992452.929284
2023-07-30,1690732800000,6.416,6.501,5.112,5.581,23506435.882134
2023-08-06,1691337600000,5.586,5.917,5.222,5.392,19493967.3816952
2023-08-13,1691942400000,5.393,5.84,3.115,3.812,41501754.4808567
2023-08-20,1692547200000,3.814,4.259,3.534,3.682,17293474.1037893
2023-08-27,1693152000000,3.685,4.38,3.306,3.375,42674361.1809204
2023-09-03,1693756800000,3.374,3.662,2.9,3.092,24638598.6717653
2023-09-10,1694361600000,3.095,3.58,2.823,3.539,22265736.6861634
2023-09-17,1694966400000,3.538,4.2,3.461,3.55,33589306.5757337
2023-09-24,1695571200000,3.559,3.85,3.14,3.703,21082675.4137573
2023-10-01,1696176000000,3.702,3.859,3.215,3.426,14414166.9892082
2023-10-08,1696780800000,3.424,3.487,3.017,3.126,10334995.2774489
2023-10-15,1697385600000,3.126,4.487,3.03,4.099,40690399.8114357
2023-10-22,1697990400000,4.095,5.888,3.833,5.292,88632638.8302422
2023-10-29,1698595200000,5.29,7.57,4.734,7.466,89517416.1414093
2023-11-05,1699200000000,7.48,23.702,6.95,21.399,820024288.7644911
2023-11-12,1699804800000,21.39,27.816,17.916,21.786,591735445.9542054
2023-11-19,1700409600000,21.782,23.95,18.4,20.57,359050731.6854093
2023-11-26,1701014400000,20.562,34.7,18.428,32.497,499031008.3189192
2023-12-03,1701619200000,32.499,69.765,32.238,51.539,2237751664.188808
2023-12-10,1702224000000,51.549,68,42,51.21,1412199434.8079984
2023-12-17,1702828800000,51.225,59.327,45.08,53.761,771959098.3592657
2023-12-24,1703433600000,53.788,84.436,50,79.73,1539647170.3211813
2023-12-31,1704038400000,79.737,91.927,62.6,69.018,1123508735.5338109
2024-01-07,1704643200000,69.018,79.559,62.511,73.362,916734562.3175195
2024-01-14,1705248000000,73.384,78.085,62.8,66.69,376833899.8256371
2024-01-21,1705852800000,66.682,67.584,48.8,55.488,501459513.6856911
2024-01-28,1706457600000,55.488,64.888,51.538,53.492,409364193.9879279
2024-02-04,1707062400000,53.47,65.426,51.2,61.539,275802700.4109918
2024-02-11,1707667200000,61.524,73.6,60.461,68.353,371452244.0841553
2024-02-18,1708272000000,68.363,73.333,57.601,63.703,321112576.0869063
2024-02-25,1708876800000,63.707,87.259,61.925,81.022,718742230.189295
2024-03-03,1709481600000,81.069,96.465,61.737,74.259,714789589.2843877
2024-03-10,1710086400000,74.245,85,60.715,65.758,581302827.5281564
2024-03-17,1710691200000,65.734,71.2,55.022,62.939,308419657.7643321
2024-03-24,1711296000000,62.923,74.838,60.938,71.903,316963789.288379
2024-03-31,1711900800000,71.933,74.888,55.483,74.054,473391633.5531774
2024-04-07,1712505600000,74.062,79.466,36.9,44.911,601193158.8376052
2024-04-14,1713110400000,44.913,51.979,38.2,49.217,338005265.0782131
2024-04-21,1713715200000,49.228,51.113,40.101,43.261,151790860.9808852
2024-04-28,1714320000000,43.275,44.107,31.082,40.468,220168901.807596
2024-05-05,1714924800000,40.478,42.32,35.118,36.763,131631190.000917
2024-05-12,1715529600000,36.748,44,33.593,40.839,181142259.1801365
2024-05-19,1716134400000,40.833,44.98,35.6,38.912,156053286.1603276
2024-05-26,1716739200000,38.886,51.757,38.293,45.739,326557492.1878889
2024-06-02,1717344000000,45.742,65.53,44,59.748,409727227.5329819
2024-06-09,1717948800000,59.759,61.475,43.77,46.101,234962712.3636101
2024-06-16,1718553600000,46.118,46.232,33.863,40.337,230241592.395277
2024-06-23,1719158400000,40.322,40.747,33.538,38.246,147233045.2669852
2024-06-30,1719763200000,38.241,40.25,25.8,30.078,158848593.6175589
2024-07-07,1720368000000,30.088,34.867,26.825,32.597,119192852.6295219
2024-07-14,1720972800000,32.597,42.758,32.483,40.959,163902862.6681173
2024-07-21,1721577600000,40.954,43.35,33.541,38.505,162850034.8086105
2024-07-28,1722182400000,38.514,40.364,27.388,27.776,118668995.3629784
2024-08-04,1722787200000,27.81,30.085,20.704,27.533,186534528.6614087
2024-08-11,1723392000000,27.533,31.671,26.3,28.625,103889926.1124156
2024-08-18,1723996800000,28.639,36.961,27.647,35.319,93639584.7147527
2024-08-25,1724601600000,35.344,35.937,25.66,27.428,92006925.6340301
2024-09-01,1725206400000,27.383,32.8,25.78,28.148,157266414.976639
2024-09-08,1725811200000,28.168,33.724,27.5,32.439,111487407.7539875
2024-09-15,1726416000000,32.453,36.745,28.854,33.461,122465907.4538834
2024-09-22,1727020800000,33.459,42.4,32,39.378,140933506.9118732
2024-09-29,1727625600000,39.372,40.622,30.7,36.621,125534907.9459798
2024-10-06,1728230400000,36.629,37.941,31.632,34.01,84867321.6730124
2024-10-13,1728835200000,34.011,39.909,33.782,37.406,122346804.5634289
2024-10-20,1729440000000,37.43,38.631,29.01,32.705,86820801.147814
2024-10-27,1730044800000,32.706,37,30.179,30.857,107549763.3051315
2024-11-03,1730649600000,30.838,41.899,29.24,40.861,169666628.7084994
2024-11-10,1731254400000,40.874,47.673,36.18,38.38,353882440.0565267
2024-11-17,1731859200000,38.379,43.911,33.813,37.644,238915706.0001884
2024-11-24,1732464000000,37.641,45.52,36.052,42.052,285410106.3512443
2024-12-01,1733068800000,42.076,52.88,37.155,48.227,473385651.1274501
2024-12-08,1733673600000,48.241,48.767,31,35.649,290591274.3254916
2024-12-15,1734278400000,35.657,36.843,23.207,26.7,178466589.2337122
2024-12-22,1734883200000,26.698,28.559,25.08,26.788,62443084.4259361
2024-12-29,1735488000000,26.784,30.403,25.7,28.868,65319296.1684088
2025-01-05,1736092800000,28.868,30.176,22.389,25.936,81414905.1803006
2025-01-12,1736697600000,25.947,27.704,21.706,23.06,66437145.1205931
2025-01-19,1737302400000,23.06,24.53,18,20.364,86296240.4565725
2025-01-26,1737907200000,20.375,21.34,16.863,17.375,42488216.9758252
2025-02-02,1738512000000,17.378,17.385,9.674,12.15,94453849.8009566
2025-02-09,1739116800000,12.152,13.328,10.544,12.35,41267289.8213211
2025-02-16,1739721600000,12.362,14.581,10.709,12.699,74224572.2151171
2025-02-23,1740326400000,12.686,13.109,9.809,11.808,99949994.987538
2025-03-02,1740931200000,11.801,13.74,8.308,8.403,94536588.1415605
2025-03-09,1741536000000,8.404,9.579,7.7,9.06,80501252.0439414
2025-03-16,1742140800000,9.059,10.426,8.776,9.875,47697689.4200588
2025-03-23,1742745600000,9.875,10.804,8.031,8.284,46410510.3334821
2025-03-30,1743350400000,8.29,8.636,6.422,6.604,38889249.05867
2025-04-06,1743955200000,6.601,7.242,5.609,6.474,42749370.2255287
2025-04-13,1744560000000,6.474,6.877,5.724,6.51,30215411.7941564
2025-04-20,1745164800000,6.515,9.339,6.486,8.139,49837908.2160622
2025-04-27,1745769600000,8.139,8.56,7.333,7.423,33573011.8059227
2025-05-04,1746374400000,7.423,11.255,6.641,10.342,60604185.8444874
2025-05-11,1746979200000,10.346,13.657,9.124,10.506,128646145.0979862
2025-05-18,1747584000000,10.514,11.97,9.172,9.718,106747898.7647764
2025-05-25,1748188800000,9.721,11.344,7.865,8.518,73085315.225375
2025-06-01,1748793600000,8.517,9.285,7.756,8.388,31414664.5477367
2025-06-08,1749398400000,8.39,9.755,7.34,7.902,32562622.1543909
2025-06-15,1750003200000,7.904,8.451,6.248,6.395,26678362.0125641
2025-06-22,1750608000000,6.397,7.622,6.175,7.242,21586748.2412809
