date,openTime,open,high,low,close,volume
2021-03-14,1615737600000,0.45,0.798,0.45,0.5479,58490420.124384
2021-03-21,1616342400000,0.5479,0.8857,0.5116,0.8794,198788883.964263
2021-03-28,1616947200000,0.8795,0.907,0.6691,0.7284,160407821.946947
2021-04-04,1617552000000,0.7293,0.7498,0.529,0.6473,135819279.976649
2021-04-11,1618156800000,0.6472,0.7099,0.4132,0.55,89184592.485252
2021-04-18,1618761600000,0.5513,0.5786,0.3346,0.4417,75528724.153967
2021-04-25,1619366400000,0.4411,0.6313,0.3917,0.5971,73928379.884228
2021-05-02,1619971200000,0.5967,0.7251,0.5013,0.5274,102179571.171016
2021-05-09,1620576000000,0.5271,0.5488,0.3883,0.4309,61344276.467667
2021-05-16,1621180800000,0.43,0.4808,0.1752,0.2641,127258086.20565
2021-05-23,1621785600000,0.264,0.3926,0.2363,0.3095,74614269.825252
2021-05-30,1622390400000,0.3101,0.371,0.2939,0.3231,34694134.140367
2021-06-06,1622995200000,0.3232,0.3424,0.25,0.2578,42298121.189078
2021-06-13,1623600000000,0.2576,0.3001,0.2205,0.2306,24390124.468023
2021-06-20,1624204800000,0.2305,0.2417,0.147,0.1813,26287744.682845
2021-06-27,1624809600000,0.1816,0.3028,0.1763,0.2827,39581171.749486
2021-07-04,1625414400000,0.2832,0.5464,0.257,0.4758,124916486.736429
2021-07-11,1626019200000,0.4756,0.6935,0.3831,0.4521,76802202.541824
2021-07-18,1626624000000,0.4511,0.8444,0.3629,0.7116,109202584.133968
2021-07-25,1627228800000,0.7116,0.7695,0.576,0.6053,105369754.730867
2021-08-01,1627833600000,0.6053,0.67,0.5732,0.623,59226030.976026
2021-08-08,1628438400000,0.62298,0.73885,0.59902,0.6364,62008887.144983
2021-08-15,1629043200000,0.63681,0.71658,0.55321,0.64087,79979044.000144
2021-08-22,1629648000000,0.64133,1.02893,0.58792,0.98456,164177159.196087
2021-08-29,1630252800000,0.98481,1.20638,0.89444,0.95554,187647195.479629
2021-09-05,1630857600000,0.95546,1.00251,0.61326,0.80725,104604608.219753
2021-09-12,1631462400000,0.80725,0.83951,0.70936,0.75401,36870770.686325
2021-09-19,1632067200000,0.7539,0.75615,0.57989,0.66662,48118233.917648
2021-09-26,1632672000000,0.66668,0.83705,0.58511,0.79827,42175074.03956
2021-10-03,1633276800000,0.7983,0.87263,0.74104,0.77868,53165355.286526
2021-10-10,1633881600000,0.77882,0.79795,0.68264,0.73489,27071040.443887
2021-10-17,1634486400000,0.73484,0.80251,0.70599,0.76533,25015933.797093
2021-10-24,1635091200000,0.76579,2.4452,0.70382,1.56452,377789760.253889
2021-10-31,1635696000000,1.56497,3.44999,1.44156,2.645,899600134.772929
2021-11-07,1636300800000,2.64551,3.19986,2.03237,2.76163,378629185.923112
2021-11-14,1636905600000,2.76163,4.68701,2.30001,3.96459,709593934.591734
2021-11-21,1637510400000,3.96437,8.49,3.75,7.1149,1337404636.517253
2021-11-28,1638115200000,7.1147,7.93767,4.1,5.31974,896850835.838348
2021-12-05,1638720000000,5.31979,5.73554,4.72224,5.28,488192247.539522
2021-12-12,1639324800000,5.28043,5.6234,4.42419,5.0842,379288160.999662
2021-12-19,1639929600000,5.08419,6.96609,4.72441,6.64697,520819098.875957
2021-12-26,1640534400000,6.647,6.77981,5.575,5.88964,418482782.876939
2022-01-02,1641139200000,5.88892,5.9922,4.45225,4.66184,372773479.288317
2022-01-09,1641744000000,4.66211,5.21236,4.2,4.80142,316762275.69314355
2022-01-16,1642348800000,4.80246,5.06799,2.55793,3.03756,328876674.51456887
2022-01-23,1642953600000,3.03756,4.0886,2.6235,3.82506,304973422.0033518
2022-01-30,1643558400000,3.82532,4.68852,3.49087,4.54613,326619305.63078505
2022-02-06,1644163200000,4.5454,4.87,4.0462,4.1895,324482674.0901801
2022-02-13,1644768000000,4.1896,4.4564,3.1538,3.2131,261070601.9519152
