date,openTime,open,high,low,close,volume
2021-02-28,1614528000000,0.8,3.5,0.8,1.178,82759833.220875
2021-03-07,1615132800000,1.178,1.2847,1.0753,1.1805,28836456.861824
2021-03-14,1615737600000,1.1801,1.4535,1.068,1.2559,23777184.43523
2021-03-21,1616342400000,1.2561,1.3622,1.0668,1.2782,21742711.915508
2021-03-28,1616947200000,1.2793,1.297,1.1087,1.1487,13872137.55617
2021-04-04,1617552000000,1.1492,2.8826,1.1288,1.9046,120052043.794793
2021-04-11,1618156800000,1.9048,2.737,1.7866,1.9379,68766682.650879
2021-04-18,1618761600000,1.9392,2.6795,1.6865,1.8974,63033416.340332
2021-04-25,1619366400000,1.8961,2.32,1.6381,2.0781,34168739.186709
2021-05-02,1619971200000,2.0779,2.2144,1.85,1.9109,38734376.729044
2021-05-09,1620576000000,1.9096,2.0096,1.5083,1.587,30004817.804185
2021-05-16,1621180800000,1.5844,1.5853,0.7664,0.821,31187487.278933
2021-05-23,1621785600000,0.8204,1.5343,0.753,0.9704,32688490.352808
2021-05-30,1622390400000,0.9676,1.0923,0.921,1.0057,21509191.876369
2021-06-06,1622995200000,1.0058,1.06,0.8114,0.8369,16878129.686786
2021-06-13,1623600000000,0.8366,1.0397,0.743,0.7701,14126939.155867
2021-06-20,1624204800000,0.77,0.8034,0.5026,0.6514,18050471.795489
2021-06-27,1624809600000,0.6516,0.8936,0.6432,0.8537,13636590.263506
2021-07-04,1625414400000,0.8537,1.4692,0.7861,1.3386,54192797.799486
2021-07-11,1626019200000,1.339,1.3797,0.977,0.9958,45489608.685435
2021-07-18,1626624000000,0.9955,1.2926,0.7703,1.1435,37092747.756533
2021-07-25,1627228800000,1.1442,1.3466,1.0518,1.2291,38650082.860888
2021-08-01,1627833600000,1.2286,1.5472,1.1984,1.3231,48331376.67476
2021-08-08,1628438400000,1.3231,1.4788,1.2758,1.3855,28112151.997692
2021-08-15,1629043200000,1.3849,1.5569,1.2896,1.4178,33857387.073154
2021-08-22,1629648000000,1.4157,1.59,1.317,1.4787,42663768.150542
2021-08-29,1630252800000,1.4891,1.7827,1.3841,1.6382,53018649.542082
2021-09-05,1630857600000,1.6383,1.7302,1.1954,1.4308,37472955.087241
2021-09-12,1631462400000,1.4305,1.5798,1.3742,1.4294,30551640.427934
2021-09-19,1632067200000,1.4274,1.4553,1.107,1.2599,35102818.037737
2021-09-26,1632672000000,1.2603,1.3745,1.1103,1.3276,20270607.904144
2021-10-03,1633276800000,1.3273,2.9695,1.2774,2.6725,58509947.3279
2021-10-10,1633881600000,2.6718,3.65,1.9001,2.0998,91341111.479802
2021-10-17,1634486400000,2.0996,2.8187,2.0408,2.1671,86611530.965438
2021-10-24,1635091200000,2.1677,2.2488,1.7679,1.8018,47740355.015427
2021-10-31,1635696000000,1.8018,2.2043,1.7897,2.1102,58657257.22589
2021-11-07,1636300800000,2.1103,2.439,2.019,2.2409,71127167.74092
2021-11-14,1636905600000,2.2395,2.497,1.8502,2.2076,51622675.511619
2021-11-21,1637510400000,2.2041,2.2671,1.7749,1.8143,50871060.592614
2021-11-28,1638115200000,1.812,3.2549,1.7348,1.956,133514663.373459
2021-12-05,1638720000000,1.9545,2.4287,1.9472,2.0878,61069224.792793
2021-12-12,1639324800000,2.0899,2.2877,1.7749,2.0809,50976570.88257
2021-12-19,1639929600000,2.0817,2.4061,1.9327,2.2728,40356102.748441
2021-12-26,1640534400000,2.2731,2.6787,2.08,2.3647,58022783.329821
2022-01-02,1641139200000,2.3652,2.4716,1.9572,2.0339,63999454.527119
2022-01-09,1641744000000,2.0365,2.1908,1.8447,2.1354,40169871.625785075
2022-01-16,1642348800000,2.135,2.6473,1.2693,1.3991,97853973.25554612
2022-01-23,1642953600000,1.3993,1.5672,1.1923,1.4873,61032528.42264694
2022-01-30,1643558400000,1.4876,1.6971,1.3478,1.625,29767182.023190793
2022-02-06,1644163200000,1.6256,1.7801,1.4275,1.5208,36617814.092615634
2022-02-13,1644768000000,1.521,1.6271,1.2072,1.2269,23283179.272213005
2022-02-20,1645372800000,1.2267,1.2809,0.9734,1.1794,25966901.143205952
2022-02-27,1645977600000,1.1787,1.2935,1.0702,1.0881,21206333.630712505
2022-03-06,1646582400000,1.088,1.95,1.0339,1.2623,64331926.24249737
2022-03-13,1647187200000,1.2611,1.3593,1.2034,1.2659,32528327.45104806
2022-03-20,1647792000000,1.266,1.4766,1.2515,1.4396,32554703.709290113
2022-03-27,1648396800000,1.4383,1.5801,1.3858,1.5168,37302911.80301245
2022-04-03,1649001600000,1.5167,1.5405,1.2193,1.246,21372259.18347536
2022-04-10,1649606400000,1.2462,1.2808,1.1093,1.1686,16568276.005872287
2022-04-17,1650211200000,1.1684,1.2962,1.0763,1.1328,26159202.50040599
2022-04-24,1650816000000,1.1326,1.1344,0.8934,0.9479,17990876.16902536
2022-05-01,1651420800000,0.9474,1.0113,0.7726,0.779,17525593.95999342
2022-05-08,1652025600000,0.78,0.7971,0.4592,0.572,25021686.231762666
2022-05-15,1652630400000,0.5717,0.6125,0.4834,0.555,8556243.475818174
2022-05-22,1653235200000,0.5537,0.6392,0.4947,0.5145,6586449.019153067
2022-05-29,1653840000000,0.5145,0.5869,0.5134,0.5437,4391141.925173178
2022-06-05,1654444800000,0.5424,0.579,0.4141,0.4493,4983842.006404988
2022-06-12,1655049600000,0.4489,0.4507,0.3032,0.3446,5488064.5678366395
2022-06-19,1655654400000,0.3435,0.4414,0.3382,0.4244,3981543.9548882744
2022-06-26,1656259200000,0.4235,0.5521,0.3758,0.3781,8051208.60862674
2022-07-03,1656864000000,0.3783,0.4331,0.3683,0.4036,5403152.181011101
2022-07-10,1657468800000,0.4037,0.4093,0.3456,0.3886,7020743.191260523
2022-07-17,1658073600000,0.3885,0.483,0.3843,0.4425,15789598.740139179
2022-07-24,1658678400000,0.4422,0.472,0.3826,0.4512,9155945.289874788
