date,openTime,open,high,low,close,volume
2023-10-29,1698595200000,1,2.87,1,2.312,54972771.658943
2023-11-05,1699200000000,2.315,4.572,2.217,4.251,138765346.0892456
2023-11-12,1699804800000,4.25,7.445,4.173,6.825,289411682.7376091
2023-11-19,1700409600000,6.831,7.131,5.006,5.517,130071149.9708873
2023-11-26,1701014400000,5.52,9.315,5.13,8.5,122525995.785893
2023-12-03,1701619200000,8.506,11.549,7.948,9.417,216241112.2965597
2023-12-10,1702224000000,9.41,14.92,8.674,13.285,293228362.1870423
2023-12-17,1702828800000,13.317,14.025,10.933,13.949,177577033.5808765
2023-12-24,1703433600000,13.952,15.316,11.394,12.329,103156077.4353542
2023-12-31,1704038400000,12.335,17.309,9.3,15.316,220879376.3105106
2024-01-07,1704643200000,15.309,19.9,12.507,18.794,259016617.1095355
2024-01-14,1705248000000,18.796,20.368,16.355,17.28,125625431.7530068
2024-01-21,1705852800000,17.284,17.632,13.87,17.097,81066116.168285
2024-01-28,1706457600000,17.088,18.539,15.6,17.218,54411571.2915701
2024-02-04,1707062400000,17.221,21.192,17.055,19.314,62401813.2784897
2024-02-11,1707667200000,19.32,20.042,17.606,19.064,61268994.0544591
2024-02-18,1708272000000,19.067,19.289,15.763,16.943,52447882.0651434
2024-02-25,1708876800000,16.944,18.244,14.957,16.315,83286605.9618428
2024-03-03,1709481600000,16.322,17.72,13.754,16.069,107532208.5729153
2024-03-10,1710086400000,16.086,18.5,13.021,14.325,126013177.4027067
2024-03-17,1710691200000,14.311,15.398,11.531,13.476,88052482.1061257
2024-03-24,1711296000000,13.478,15.522,13.145,14.373,56921434.9874932
2024-03-31,1711900800000,14.378,14.53,11.363,12.2,41457062.796278
2024-04-07,1712505600000,12.208,12.873,7.236,10.278,104857122.1711583
2024-04-14,1713110400000,10.287,12.437,9.204,11.975,117496489.522747
2024-04-21,1713715200000,11.968,12.25,9.918,10.298,56923431.0342705
2024-04-28,1714320000000,10.302,10.815,8.92,10.358,43592744.263143
2024-05-05,1714924800000,10.362,10.689,8.974,9.193,32073241.6629094
2024-05-12,1715529600000,9.195,9.856,8.01,9.059,38602064.3412367
2024-05-19,1716134400000,9.049,10.335,8.52,9.228,48047086.7234176
2024-05-26,1716739200000,9.228,11.957,9.081,11.174,74519538.924149
2024-06-02,1717344000000,11.178,11.858,8.6,9.105,43205889.7985419
2024-06-09,1717948800000,9.106,9.349,7.301,7.94,33982771.730217
2024-06-16,1718553600000,7.938,8.337,6.007,6.242,35270890.7630847
2024-06-23,1719158400000,6.242,7.098,5.711,6.19,25151071.170161
