date,openTime,open,high,low,close,volume
2022-04-28,1651161600000,2,3.279,2,2.085,3901743.6184
2022-04-29,1651248000000,2.082,2.084,1.9,1.915,1079294.4362
2022-04-30,1651334400000,1.914,1.936,1.83,1.867,709998.3158
2022-05-01,1651420800000,1.867,1.888,1.802,1.81,473282.0252
2022-05-02,1651507200000,1.812,1.9,1.745,1.831,770221.0782
2022-05-03,1651593600000,1.84,1.9,1.759,1.882,648008.8261
2022-05-04,1651680000000,1.881,1.98,1.85,1.854,956080.2509
2022-05-05,1651766400000,1.855,1.914,1.777,1.819,733737.1325
2022-05-06,1651852800000,1.819,1.84,1.78,1.793,390129.3879
2022-05-07,1651939200000,1.793,1.8,1.523,1.76,1569074.1529
2022-05-08,1652025600000,1.76,1.992,1.754,1.802,2745049.5384
2022-05-09,1652112000000,1.801,1.824,1.659,1.786,1606883.1582
2022-05-10,1652198400000,1.786,1.81,1.36,1.513,1443353.0945
2022-05-11,1652284800000,1.51,1.531,1.299,1.459,1487202.0292
2022-05-12,1652371200000,1.457,1.8,1.383,1.655,1666383.1619
2022-05-13,1652457600000,1.655,1.705,1.45,1.511,729059.17
2022-05-14,1652544000000,1.511,1.596,1.494,1.53,669232.8073
2022-05-15,1652630400000,1.531,1.692,1.53,1.651,1882812.5728
2022-05-16,1652716800000,1.65,1.706,1.555,1.564,1672531.4429
2022-05-17,1652803200000,1.564,1.7,1.555,1.569,1458599.4273
2022-05-18,1652889600000,1.569,1.588,1.532,1.584,585498.1319
2022-05-19,1652976000000,1.582,1.603,1.457,1.46,660394.2128
2022-05-20,1653062400000,1.459,1.46,1.409,1.422,783905.346
2022-05-21,1653148800000,1.422,1.55,1.418,1.48,1428996.996
2022-05-22,1653235200000,1.481,1.525,1.407,1.413,792888.4083
2022-05-23,1653321600000,1.413,1.424,1.337,1.365,1445913.3859
2022-05-24,1653408000000,1.364,1.417,1.316,1.368,938822.5204
2022-05-25,1653494400000,1.368,1.4,1.258,1.294,528152.121
2022-05-26,1653580800000,1.296,1.324,1.251,1.262,400232.7705
2022-05-27,1653667200000,1.263,1.276,1.1,1.181,712298.4455
2022-05-28,1653753600000,1.181,1.261,1.137,1.203,657226.1918
2022-05-29,1653840000000,1.204,1.335,1.159,1.327,991012.1456
2022-05-30,1653926400000,1.327,1.419,1.301,1.369,1036849.9096
2022-05-31,1654012800000,1.369,1.377,1.262,1.276,440937.4197
2022-06-01,1654099200000,1.276,1.277,1.2,1.21,381460.9186
2022-06-02,1654185600000,1.211,1.246,1.18,1.208,363713.3087
2022-06-03,1654272000000,1.207,1.284,1.205,1.279,270279.9105
2022-06-04,1654358400000,1.279,1.285,1.254,1.264,281387.8289
2022-06-05,1654444800000,1.263,1.315,1.232,1.301,527662.7868
2022-06-06,1654531200000,1.301,1.341,1.25,1.281,415550.7986
2022-06-07,1654617600000,1.281,1.312,1.259,1.265,282488.7571
2022-06-08,1654704000000,1.265,1.306,1.24,1.302,368509.1506
2022-06-09,1654790400000,1.301,1.309,1.246,1.257,330753.1061
2022-06-10,1654876800000,1.257,1.26,1.162,1.165,448843.8585
2022-06-11,1654963200000,1.165,1.18,1.073,1.145,587475.9649
2022-06-12,1655049600000,1.144,1.148,0.95,0.988,878566.3402
2022-06-13,1655136000000,0.986,1.011,0.91,0.979,776739.8565
2022-06-14,1655222400000,0.979,0.996,0.822,0.872,913754.2096
2022-06-15,1655308800000,0.87,0.944,0.84,0.874,790573.5398
2022-06-16,1655395200000,0.874,0.879,0.825,0.843,511084.5653
2022-06-17,1655481600000,0.842,0.897,0.772,0.784,495037.9398
2022-06-18,1655568000000,0.784,0.85,0.734,0.83,553834.931
2022-06-19,1655654400000,0.83,1.113,0.78,1.092,1599916.7795
2022-06-20,1655740800000,1.092,1.14,1.038,1.11,878182.3514
2022-06-21,1655827200000,1.11,1.118,1.012,1.049,555617.4787
2022-06-22,1655913600000,1.043,1.089,1.039,1.06,395035.0679
2022-06-23,1656000000000,1.06,1.113,1.055,1.086,458158.3134
2022-06-24,1656086400000,1.086,1.114,1.054,1.056,263859.5601
2022-06-25,1656172800000,1.056,1.1,1.043,1.056,178893.2804
2022-06-26,1656259200000,1.056,1.074,1.042,1.049,246931.7907
2022-06-27,1656345600000,1.05,1.45,1.043,1.393,3466006.9362
2022-06-28,1656432000000,1.394,1.4,1.23,1.241,1095461.5595
2022-06-29,1656518400000,1.242,1.268,1.047,1.081,1407744.1214
2022-06-30,1656604800000,1.081,1.144,1.05,1.102,578320.6477
2022-07-01,1656691200000,1.102,1.155,1.1,1.107,529595.105
