date,openTime,open,high,low,close,volume
2022-10-06 00:00,1665014400000,1.405,1.417,1.402,1.407,51136.6431361
2022-10-06 08:00,1665043200000,1.407,1.408,1.379,1.389,155653.43828
2022-10-06 16:00,1665072000000,1.389,1.405,1.38,1.386,129215.62978650001
2022-10-07 00:00,1665100800000,1.386,1.391,1.381,1.39,41242.889585799996
2022-10-07 08:00,1665129600000,1.389,1.419,1.36,1.366,213981.0385566
2022-10-07 16:00,1665158400000,1.366,1.38,1.347,1.369,139780.0037347
2022-10-08 00:00,1665187200000,1.369,1.371,1.353,1.354,39381.9570802
2022-10-08 08:00,1665216000000,1.355,1.357,1.331,1.332,111149.1817582
2022-10-08 16:00,1665244800000,1.331,1.358,1.318,1.346,287371.82579030003
2022-10-09 00:00,1665273600000,1.345,1.345,1.319,1.319,66747.2422861
2022-10-09 08:00,1665302400000,1.32,1.359,1.303,1.325,399373.71449219994
2022-10-09 16:00,1665331200000,1.325,1.326,1.302,1.32,117092.31559049999
2022-10-10 00:00,1665360000000,1.32,1.329,1.305,1.307,95763.3740173
2022-10-10 08:00,1665388800000,1.307,1.307,1.279,1.28,173203.9143803
2022-10-10 16:00,1665417600000,1.28,1.287,1.26,1.26,91706.6799469
2022-10-11 00:00,1665446400000,1.26,1.26,1.239,1.241,99690.56795540001
2022-10-11 08:00,1665475200000,1.241,1.264,1.24,1.249,153750.6893285
2022-10-11 16:00,1665504000000,1.248,1.261,1.235,1.241,115379.73696
2022-10-12 00:00,1665532800000,1.241,1.257,1.241,1.248,52771.389036500004
2022-10-12 08:00,1665561600000,1.248,1.249,1.221,1.232,146845.8545783
2022-10-12 16:00,1665590400000,1.232,1.24,1.217,1.219,140999.1680539
2022-10-13 00:00,1665619200000,1.22,1.242,1.213,1.216,118090.23105840001
2022-10-13 08:00,1665648000000,1.216,1.24,1.173,1.2,423199.3325907
2022-10-13 16:00,1665676800000,1.199,1.2,1.195,1.198,95783.42561949999
2022-10-14 00:00,1665705600000,1.199,1.238,1.198,1.231,181304.53211099998
2022-10-14 08:00,1665734400000,1.231,1.259,1.226,1.241,143971.7262396
2022-10-14 16:00,1665763200000,1.241,1.253,1.227,1.247,70849.2514796
2022-10-15 00:00,1665792000000,1.247,1.251,1.231,1.237,40114.3732361
2022-10-15 08:00,1665820800000,1.238,1.239,1.224,1.238,44670.4877942
2022-10-15 16:00,1665849600000,1.238,1.249,1.222,1.238,88020.6136905
2022-10-16 00:00,1665878400000,1.239,1.243,1.228,1.235,36134.3229554
2022-10-16 08:00,1665907200000,1.236,1.236,1.22,1.227,118571.1517872
2022-10-16 16:00,1665936000000,1.227,1.242,1.201,1.226,145350.991464
2022-10-17 00:00,1665964800000,1.226,1.248,1.223,1.232,33890.234449999996
2022-10-17 08:00,1665993600000,1.233,1.261,1.222,1.252,112237.76086410001
2022-10-17 16:00,1666022400000,1.252,1.258,1.233,1.252,69641.6322702
2022-10-18 00:00,1666051200000,1.251,1.271,1.249,1.255,68096.9960863
2022-10-18 08:00,1666080000000,1.255,1.271,1.24,1.247,114793.7981907
2022-10-18 16:00,1666108800000,1.247,1.267,1.242,1.255,84078.6216154
2022-10-19 00:00,1666137600000,1.254,1.261,1.241,1.243,51268.1502999
2022-10-19 08:00,1666166400000,1.242,1.25,1.222,1.233,145102.6530939
2022-10-19 16:00,1666195200000,1.234,1.252,1.22,1.223,119766.45584430001
2022-10-20 00:00,1666224000000,1.224,1.245,1.22,1.239,46976.4385222
2022-10-20 08:00,1666252800000,1.239,1.264,1.231,1.258,167255.7992505
2022-10-20 16:00,1666281600000,1.258,1.45,1.253,1.35,1125518.3883717
2022-10-21 00:00,1666310400000,1.349,1.397,1.318,1.376,294886.14756
2022-10-21 08:00,1666339200000,1.376,1.44,1.33,1.376,1007103.2353843001
2022-10-21 16:00,1666368000000,1.378,1.414,1.378,1.392,372707.12350630003
2022-10-22 00:00,1666396800000,1.392,1.428,1.385,1.419,186710.5226718
2022-10-22 08:00,1666425600000,1.419,1.425,1.385,1.394,315465.2453819
2022-10-22 16:00,1666454400000,1.394,1.396,1.367,1.378,164527.8508746
2022-10-23 00:00,1666483200000,1.378,1.382,1.358,1.361,139842.5656249
2022-10-23 08:00,1666512000000,1.361,1.377,1.343,1.37,166432.2732722
2022-10-23 16:00,1666540800000,1.371,1.414,1.358,1.396,225909.5425063
2022-10-24 00:00,1666569600000,1.396,1.418,1.39,1.4,233079.56877249997
2022-10-24 08:00,1666598400000,1.4,1.425,1.392,1.395,283328.6671734
2022-10-24 16:00,1666627200000,1.395,1.48,1.388,1.448,835138.222601
2022-10-25 00:00,1666656000000,1.448,1.502,1.438,1.492,421792.5880627
2022-10-25 08:00,1666684800000,1.492,1.571,1.455,1.52,1576720.8267658
2022-10-25 16:00,1666713600000,1.519,1.87,1.51,1.837,2617183.2391862
2022-10-26 00:00,1666742400000,1.837,1.945,1.697,1.789,2222667.1176507
2022-10-26 08:00,1666771200000,1.788,1.947,1.774,1.892,2930816.3841
2022-10-26 16:00,1666800000000,1.891,1.967,1.801,1.947,1525676.8422
2022-10-27 00:00,1666828800000,1.946,1.99,1.845,1.911,1003334.1592999999
2022-10-27 08:00,1666857600000,1.911,1.955,1.655,1.726,3415667.9709
2022-10-27 16:00,1666886400000,1.724,1.94,1.554,1.655,4045432.6335
2022-10-28 00:00,1666915200000,1.656,1.696,1.601,1.651,409081.3597
2022-10-28 08:00,1666944000000,1.651,1.705,1.616,1.64,743521.2971999999
2022-10-28 16:00,1666972800000,1.641,1.713,1.626,1.681,352665.272
2022-10-29 00:00,1667001600000,1.681,1.7,1.632,1.655,312114.6459
2022-10-29 08:00,1667030400000,1.656,1.682,1.573,1.584,824548.9878
2022-10-29 16:00,1667059200000,1.587,1.599,1.553,1.566,400688.87690000003
2022-10-30 00:00,1667088000000,1.567,1.624,1.542,1.614,247658.0672
2022-10-30 08:00,1667116800000,1.614,1.643,1.596,1.609,305512.05669999996
2022-10-30 16:00,1667145600000,1.607,1.648,1.57,1.638,409815.66689999995
2022-10-31 00:00,1667174400000,1.638,1.649,1.616,1.628,174514.3394
2022-10-31 08:00,1667203200000,1.628,1.63,1.5,1.546,964330.4907
2022-10-31 16:00,1667232000000,1.547,1.553,1.5,1.506,248961.99930000002
2022-11-01 00:00,1667260800000,1.506,1.52,1.454,1.455,365964.4188
2022-11-01 08:00,1667289600000,1.456,1.6,1.433,1.506,745637.6738
2022-11-01 16:00,1667318400000,1.507,1.655,1.495,1.647,853410.9824
2022-11-02 00:00,1667347200000,1.647,1.683,1.591,1.594,563186.0962
2022-11-02 08:00,1667376000000,1.592,1.649,1.54,1.551,589339.7082
2022-11-02 16:00,1667404800000,1.551,1.603,1.523,1.559,637688.8727000001
2022-11-03 00:00,1667433600000,1.559,1.7,1.553,1.64,645317.2376999999
2022-11-03 08:00,1667462400000,1.639,1.7,1.572,1.608,501089.89170000004
2022-11-03 16:00,1667491200000,1.608,1.647,1.601,1.606,301648.7979
2022-11-04 00:00,1667520000000,1.607,1.646,1.595,1.644,177148.1664
2022-11-04 08:00,1667548800000,1.644,1.649,1.576,1.632,450152.3471
2022-11-04 16:00,1667577600000,1.632,1.699,1.631,1.671,390640.9874
2022-11-05 00:00,1667606400000,1.671,1.674,1.6,1.645,442674.0287
2022-11-05 08:00,1667635200000,1.645,1.68,1.634,1.668,401642.672
2022-11-05 16:00,1667664000000,1.669,1.7,1.661,1.69,251148.64549999998
2022-11-06 00:00,1667692800000,1.69,1.698,1.665,1.68,183962.793
2022-11-06 08:00,1667721600000,1.681,1.765,1.672,1.72,531303.4848
2022-11-06 16:00,1667750400000,1.719,1.731,1.6,1.6,475903.5431
2022-11-07 00:00,1667779200000,1.603,1.615,1.567,1.568,405058.66980000003
2022-11-07 08:00,1667808000000,1.568,1.605,1.529,1.602,386047.7832
2022-11-07 16:00,1667836800000,1.601,1.823,1.6,1.778,1158904.4931
2022-11-08 00:00,1667865600000,1.778,1.785,1.643,1.661,809409.0359
2022-11-08 08:00,1667894400000,1.66,1.662,1.562,1.608,596961.632
2022-11-08 16:00,1667923200000,1.609,1.73,1.551,1.628,1000235.9252
2022-11-09 00:00,1667952000000,1.628,1.629,1.55,1.583,372828.24769999995
2022-11-09 08:00,1667980800000,1.583,1.612,1.559,1.566,693100.9477
2022-11-09 16:00,1668009600000,1.565,1.6,1.31,1.359,1096826.5661
2022-11-10 00:00,1668038400000,1.353,1.448,1.288,1.431,869891.6079
2022-11-10 08:00,1668067200000,1.432,1.569,1.392,1.546,905088.5166
2022-11-10 16:00,1668096000000,1.547,1.598,1.508,1.592,742199.4099999999
2022-11-11 00:00,1668124800000,1.594,1.608,1.535,1.567,366337.58739999996
2022-11-11 08:00,1668153600000,1.567,1.628,1.522,1.541,710649.4867
2022-11-11 16:00,1668182400000,1.545,1.61,1.465,1.538,677287.1222999999
2022-11-12 00:00,1668211200000,1.538,1.543,1.47,1.488,175922.5243
2022-11-12 08:00,1668240000000,1.489,1.538,1.415,1.459,993501.2239000001
2022-11-12 16:00,1668268800000,1.46,1.663,1.451,1.553,1158999.6571
2022-11-13 00:00,1668297600000,1.555,1.566,1.539,1.557,144461.4965
2022-11-13 08:00,1668326400000,1.556,1.64,1.547,1.63,485498.08640000003
2022-11-13 16:00,1668355200000,1.631,1.8,1.62,1.644,909378.0734000001
2022-11-14 00:00,1668384000000,1.644,1.657,1.554,1.609,449637.3548
2022-11-14 08:00,1668412800000,1.609,1.679,1.556,1.607,428165.2231
2022-11-14 16:00,1668441600000,1.608,1.69,1.6,1.667,426804.6679
2022-11-15 00:00,1668470400000,1.667,1.672,1.63,1.645,167814.2567
2022-11-15 08:00,1668499200000,1.642,1.702,1.635,1.689,410432.4074
2022-11-15 16:00,1668528000000,1.689,1.698,1.641,1.683,301318.9926
2022-11-16 00:00,1668556800000,1.685,1.691,1.678,1.69,84491.7582
2022-11-16 08:00,1668585600000,1.69,1.74,1.676,1.732,434283.0952
2022-11-16 16:00,1668614400000,1.734,1.785,1.706,1.721,590606.6503999999
2022-11-17 00:00,1668643200000,1.721,1.729,1.7,1.712,143227.16869999998
2022-11-17 08:00,1668672000000,1.713,1.79,1.7,1.77,513947.4166
2022-11-17 16:00,1668700800000,1.77,1.85,1.75,1.784,709420.7169
2022-11-18 00:00,1668729600000,1.784,1.799,1.725,1.758,264186.6713
2022-11-18 08:00,1668758400000,1.758,1.9,1.681,1.79,1060925.7721
2022-11-18 16:00,1668787200000,1.791,1.812,1.776,1.786,216291.0171
2022-11-19 00:00,1668816000000,1.787,1.787,1.764,1.773,113430.35630000001
2022-11-19 08:00,1668844800000,1.772,1.804,1.749,1.803,267355.4162
2022-11-19 16:00,1668873600000,1.803,1.804,1.712,1.73,285689.2959
2022-11-20 00:00,1668902400000,1.73,1.74,1.725,1.73,93472.496
2022-11-20 08:00,1668931200000,1.73,1.858,1.701,1.703,459550.2635
2022-11-20 16:00,1668960000000,1.705,1.8,1.697,1.704,358892.15949999995
2022-11-21 00:00,1668988800000,1.707,1.759,1.692,1.73,156840.4492
2022-11-21 08:00,1669017600000,1.73,1.769,1.706,1.743,238836.8943
2022-11-21 16:00,1669046400000,1.743,1.78,1.7,1.721,342733.4264
2022-11-22 00:00,1669075200000,1.722,1.753,1.712,1.734,121826.2092
2022-11-22 08:00,1669104000000,1.734,1.756,1.7,1.744,276078.4509
2022-11-22 16:00,1669132800000,1.747,1.777,1.715,1.741,272516.15520000004
2022-11-23 00:00,1669161600000,1.74,1.754,1.73,1.735,181376.7548
2022-11-23 08:00,1669190400000,1.735,1.78,1.726,1.729,346445.5346
2022-11-23 16:00,1669219200000,1.729,1.777,1.723,1.754,306637.53650000005
2022-11-24 00:00,1669248000000,1.755,1.763,1.725,1.74,234163.4444
2022-11-24 08:00,1669276800000,1.741,1.773,1.684,1.738,584751.774
2022-11-24 16:00,1669305600000,1.737,1.76,1.73,1.739,226833.7809
2022-11-25 00:00,1669334400000,1.74,1.743,1.721,1.725,130205.51680000001
2022-11-25 08:00,1669363200000,1.723,1.729,1.686,1.695,239356.491
2022-11-25 16:00,1669392000000,1.694,1.726,1.653,1.712,347539.68000000005
2022-11-26 00:00,1669420800000,1.712,1.729,1.7,1.713,120336.6489
2022-11-26 08:00,1669449600000,1.713,1.738,1.701,1.702,356991.41209999996
2022-11-26 16:00,1669478400000,1.702,1.728,1.692,1.714,167815.9504
2022-11-27 00:00,1669507200000,1.715,1.724,1.71,1.712,100872.0329
2022-11-27 08:00,1669536000000,1.712,1.734,1.708,1.723,211396.1777
2022-11-27 16:00,1669564800000,1.722,1.739,1.71,1.719,171605.5829
2022-11-28 00:00,1669593600000,1.719,1.73,1.7,1.712,204281.7783
2022-11-28 08:00,1669622400000,1.711,1.729,1.7,1.71,362337.5638
2022-11-28 16:00,1669651200000,1.708,1.719,1.703,1.705,125774.2781
2022-11-29 00:00,1669680000000,1.705,1.72,1.696,1.712,309413.6823
2022-11-29 08:00,1669708800000,1.711,1.73,1.7,1.712,397751.7277
2022-11-29 16:00,1669737600000,1.711,1.719,1.704,1.711,153502.2276
2022-11-30 00:00,1669766400000,1.711,1.725,1.709,1.718,178562.2855
2022-11-30 08:00,1669795200000,1.718,1.792,1.695,1.765,877613.8655999999
2022-11-30 16:00,1669824000000,1.767,1.889,1.75,1.751,1487450.8145
