date,openTime,open,high,low,close,volume
2020-09-16,1600272000000,1,4.88,1,2.992,63532875.7353
2020-09-17,1600358400000,2.998,6.8,2.938,6.376,245043355.51824
2020-09-18,1600444800000,6.367,8.755,6.03,6.72,333863833.97847
2020-09-19,1600531200000,6.719,6.918,4.844,4.964,157833903.22696
2020-09-20,1600617600000,4.969,5.669,4.072,4.265,136320590.14664
2020-09-21,1600704000000,4.264,4.681,3.7,3.902,75723202.92961
2020-09-22,1600790400000,3.9,4.959,3.832,4.7,92791886.97083
2020-09-23,1600876800000,4.699,5.36,4.077,5.014,126904751.55551
2020-09-24,1600963200000,5.013,5.556,4.763,5.081,93998318.4751
2020-09-25,1601049600000,5.082,5.249,4.676,4.894,55636957.31078
2020-09-26,1601136000000,4.89,5.212,4.7,4.817,46943095.657
2020-09-27,1601222400000,4.818,4.95,4.4,4.437,41828960.40124
2020-09-28,1601308800000,4.43,4.492,4.12,4.221,33959684.5181
2020-09-29,1601395200000,4.222,4.4,3.951,4.06,27069271.09269
2020-09-30,1601481600000,4.06,4.513,4.032,4.261,28066904.55197
2020-10-01,1601568000000,4.262,4.271,3.567,3.853,48160829.96435
2020-10-02,1601654400000,3.848,3.972,3.763,3.895,21257598.93511
2020-10-03,1601740800000,3.894,4.118,3.622,3.652,25851987.59809
2020-10-04,1601827200000,3.65,3.796,3.455,3.484,25539975.98752
2020-10-05,1601913600000,3.484,3.486,2.858,3.087,47835862.83685
2020-10-06,1602000000000,3.085,3.092,2.471,2.687,48629227.60469
2020-10-07,1602086400000,2.687,3.363,2.554,3.285,45304103.31284
2020-10-08,1602172800000,3.285,3.599,3.16,3.48,40654563.45198
2020-10-09,1602259200000,3.481,3.657,3.226,3.358,32277354.48963
2020-10-10,1602345600000,3.359,3.448,3.183,3.319,20382494.6017
2020-10-11,1602432000000,3.317,3.487,3.263,3.42,23097226.091
2020-10-12,1602518400000,3.419,3.598,3.341,3.39,20766252.34032
2020-10-13,1602604800000,3.39,3.437,3.176,3.19,18710331.61516
