date,openTime,open,high,low,close,volume
2020-09-20,1600617600000,4.969,5.669,3.7,4.817,628318803.04548
2020-09-27,1601222400000,4.818,4.95,3.567,3.652,226195237.06158
2020-10-04,1601827200000,3.65,3.796,2.471,3.319,260623582.28524
2020-10-11,1602432000000,3.317,3.598,2.875,3.148,136856222.45116
2020-10-18,1603036800000,3.148,3.288,2.814,2.883,65622887.36092
2020-10-25,1603641600000,2.883,2.911,2.21,2.335,62758882.35492
2020-11-01,1604246400000,2.336,3.026,1.819,2.76,152726359.70617
2020-11-08,1604851200000,2.761,4.256,2.575,4.097,183083590.50256
2020-11-15,1605456000000,4.098,4.155,3.242,3.693,217865358.00307
2020-11-22,1606060800000,3.693,4.558,3.09,3.457,158725481.38716
2020-11-29,1606665600000,3.456,4.17,3.392,3.575,104542250.67691
2020-12-06,1607270400000,3.572,3.876,2.91,3.259,66494419.85726
2020-12-13,1607875200000,3.258,4.24,3.241,3.89,198162151.04791
2020-12-20,1608480000000,3.894,3.993,3.02,3.735,173979954.25853
2020-12-27,1609084800000,3.736,5.444,3.501,5.245,363368565.02162
2021-01-03,1609689600000,5.251,6.813,4.85,6.09,380965806.40344
2021-01-10,1610294400000,6.088,9.379,4.403,8.518,518735606.17943
2021-01-17,1610899200000,8.515,10.98,7.04,10.969,501163002.34332
2021-01-24,1611504000000,10.976,20.551,10.76,18.121,1367336031.64149
2021-01-31,1612108800000,18.08,22.471,16.68,17.728,1000701030.40375
2021-02-07,1612713600000,17.73,23.82,17.107,20.977,670949099.1286
2021-02-14,1613318400000,20.974,33.051,17.123,30.311,1238704605.54173
2021-02-21,1613923200000,30.316,30.822,18.1,20.706,1342378517.42088
2021-02-28,1614528000000,20.697,32.182,20.482,31.285,1127627798.07086
2021-03-07,1615132800000,31.261,34.94,29.25,31.473,901072121.07919
2021-03-14,1615737600000,31.472,35.17,28,32.388,617417870.6194
2021-03-21,1616342400000,32.366,36.869,25.566,28.341,883515738.25505
2021-03-28,1616947200000,28.344,32.449,26.648,30.424,550550869.00704
2021-04-04,1617552000000,30.427,32.436,27.79,29.966,417939768.83109
2021-04-11,1618156800000,29.961,39.49,26.8,30.798,1216090588.46065
2021-04-18,1618761600000,30.775,38.441,28.249,34.719,1302059157.151199
2021-04-25,1619366400000,34.714,43.927,31.225,43.005,1245962349.281001
2021-05-02,1619971200000,43,44.971,38.1,39.253,1254183239.216257
2021-05-09,1620576000000,39.237,44,33.438,36.881,1030396086.231491
2021-05-16,1621180800000,36.892,37.283,14.157,14.731,1213476368.106455
2021-05-23,1621785600000,14.735,30,12.958,24.627,1188967864.44643
2021-05-30,1622390400000,24.621,29.387,23.436,25.999,706189561.636154
2021-06-06,1622995200000,26.009,27.319,20.231,20.698,444767104.546398
2021-06-13,1623600000000,20.693,24.68,18.631,19.398,269547371.166868
2021-06-20,1624204800000,19.394,21.031,13.905,16.088,372191199.558936
2021-06-27,1624809600000,16.088,21.031,15.631,20.93,266955756.937554
