date,openTime,open,high,low,close,volume
2024-04-14,1713110400000,2,3.213,2,2.992,56470034.19477
2024-04-21,1713715200000,2.996,3.563,2.6,2.75,98399319.64548
2024-04-28,1714320000000,2.751,3.502,2.266,3.278,73119776.671794
2024-05-05,1714924800000,3.277,3.681,2.737,3.025,82010130.99783
2024-05-12,1715529600000,3.025,3.364,2.421,2.496,126008131.931712
2024-05-19,1716134400000,2.496,3.278,2.451,2.988,128882627.051813
2024-05-26,1716739200000,2.989,4.084,2.918,3.334,126019037.613319
2024-06-02,1717344000000,3.333,3.59,2.526,2.731,80590475.554125
2024-06-09,1717948800000,2.731,2.919,2.21,2.58,85972521.124117
2024-06-16,1718553600000,2.581,2.645,1.642,1.661,55724308.905823
2024-06-23,1719158400000,1.661,2.262,1.472,2.045,72538441.728104
2024-06-30,1719763200000,2.047,2.37,1.488,1.793,78900538.450061
2024-07-07,1720368000000,1.792,1.836,1.497,1.698,68157597.713544
2024-07-14,1720972800000,1.698,2.679,1.667,2.558,86311124.7964
2024-07-21,1721577600000,2.56,2.896,2.321,2.426,76373028.419477
2024-07-28,1722182400000,2.425,2.566,1.496,1.505,54998851.085268
2024-08-04,1722787200000,1.506,1.958,1.061,1.711,131894743.68477
2024-08-11,1723392000000,1.71,1.821,1.341,1.442,66587706.949455
2024-08-18,1723996800000,1.443,2.035,1.327,1.901,90552427.074533
2024-08-25,1724601600000,1.903,1.947,1.419,1.48,76999423.463068
2024-09-01,1725206400000,1.48,1.648,1.38,1.492,79728955.772983
2024-09-08,1725811200000,1.492,1.772,1.482,1.577,62064541.232688
2024-09-15,1726416000000,1.578,1.907,1.446,1.662,65871365.010488
2024-09-22,1727020800000,1.661,2.429,1.624,2.282,127654502.971186
2024-09-29,1727625600000,2.28,2.638,1.968,2.413,155814475.083052
2024-10-06,1728230400000,2.413,2.865,2.222,2.676,164647117.787092
2024-10-13,1728835200000,2.674,2.974,2.445,2.658,119775839.817377
2024-10-20,1729440000000,2.658,2.785,2.186,2.432,110962978.636034
2024-10-27,1730044800000,2.432,2.7,1.961,2.006,92911727.506674
2024-11-03,1730649600000,2.005,2.778,1.878,2.7,163455475.000031
2024-11-10,1731254400000,2.7,4.82,2.539,3.85,563585135.76893
2024-11-17,1731859200000,3.85,3.908,2.975,3.067,300709339.898466
2024-11-24,1732464000000,3.065,3.655,2.903,3.323,223715197.395929
2024-12-01,1733068800000,3.324,4.015,2.92,3.702,271691005.738619
2024-12-08,1733673600000,3.703,3.747,2.542,2.869,227953826.000761
2024-12-15,1734278400000,2.87,2.929,1.726,1.949,181409958.891107
2024-12-22,1734883200000,1.949,2.098,1.798,1.867,72297222.286979
2024-12-29,1735488000000,1.867,2.211,1.735,2.113,73792704.157051
2025-01-05,1736092800000,2.112,2.16,1.493,1.585,84315223.120484
2025-01-12,1736697600000,1.585,1.99,1.355,1.63,125852248.553225
2025-01-19,1737302400000,1.631,1.772,1.224,1.286,107111721.405136
2025-01-26,1737907200000,1.286,1.377,0.967,1.039,173677828.849414
2025-02-02,1738512000000,1.039,1.055,0.629,0.695,122304467.300026
2025-02-09,1739116800000,0.696,0.798,0.55,0.669,90479677.667573
2025-02-16,1739721600000,0.67,0.7284,0.576,0.6584,72625571.0492228
2025-02-23,1740326400000,0.6584,0.7174,0.5021,0.6912,144520027.3814951
2025-03-02,1740931200000,0.6914,0.7895,0.4646,0.4675,124800548.5556419
2025-03-09,1741536000000,0.4675,0.5285,0.3953,0.4734,83307918.2822877
2025-03-16,1742140800000,0.4736,0.5367,0.4507,0.51,50766749.6413556
2025-03-23,1742745600000,0.51,0.5904,0.4212,0.4342,56030472.0476458
2025-03-30,1743350400000,0.4343,0.4466,0.3513,0.3632,40289253.3347742
2025-04-06,1743955200000,0.363,0.4808,0.3041,0.4573,46690970.7346277
2025-04-13,1744560000000,0.4573,0.4817,0.3619,0.4201,39280214.7373707
2025-04-20,1745164800000,0.4195,0.7204,0.4144,0.6203,100854483.9997782
2025-04-27,1745769600000,0.6207,0.6693,0.5474,0.5532,84994159.1164123
2025-05-04,1746374400000,0.5534,0.9793,0.522,0.8968,127555416.8973234
2025-05-11,1746979200000,0.8972,1.3214,0.8776,1.0878,270392054.3410982
2025-05-18,1747584000000,1.0885,1.392,0.929,1.0327,234874057.8367885
2025-05-25,1748188800000,1.0332,1.1952,0.7855,0.8451,110121014.5255158
2025-06-01,1748793600000,0.8461,1.0511,0.7964,0.871,107449393.7980408
2025-06-08,1749398400000,0.871,1.0794,0.7921,0.8558,111318157.5601938
2025-06-15,1750003200000,0.8562,0.9047,0.6443,0.6677,72326774.4602882
2025-06-22,1750608000000,0.6669,0.8951,0.6355,0.8311,85512540.1788042
2025-06-29,1751212800000,0.8313,0.9558,0.7784,0.8875,103941986.4671298
2025-07-06,1751817600000,0.8871,1.0735,0.8238,0.999,116738075.0750535
2025-07-13,1752422400000,0.999,1.2783,0.9617,1.271,152143227.7053081
2025-07-20,1753027200000,1.272,1.324,0.991,1.0905,173291462.7189742
2025-07-27,1753632000000,1.0904,1.1781,0.8193,0.8929,93063936.2765507
2025-08-03,1754236800000,0.8924,1.0388,0.848,0.9836,71896140.0000211
2025-08-10,1754841600000,0.9833,1.069,0.8472,0.9398,88682729.1855267
2025-08-17,1755446400000,0.9398,0.9612,0.7926,0.8741,66343434.8930952
2025-08-24,1756051200000,0.8737,0.9214,0.756,0.8106,53470143.1541632
2025-08-31,1756656000000,0.8103,0.8379,0.7295,0.8314,39013668.8532702
2025-09-07,1757260800000,0.8313,0.9897,0.8169,0.9163,44892517.9011122
2025-09-14,1757865600000,0.9161,0.9939,0.8593,0.8942,46855078.3721645
2025-09-21,1758470400000,0.8945,0.8972,0.7092,0.7268,42198122.2061522
2025-09-28,1759075200000,0.727,0.8087,0.6882,0.7921,45096883.2122813
2025-10-12,1760284800000,0.5361,0.6194,0.4722,0.5322,76918068.3027895
2025-10-19,1760889600000,0.5322,0.5838,0.4731,0.5598,57323765.1346494
2025-10-26,1761494400000,0.5598,0.5782,0.4718,0.5281,51035105.8338154
2025-11-02,1762099200000,0.5281,0.5471,0.3671,0.4818,56283294.0408265
2025-11-09,1762704000000,0.4818,0.5089,0.3974,0.4082,39364184.3939638
2025-11-16,1763308800000,0.4084,0.4247,0.3085,0.3399,56646060.636019
2025-11-23,1763913600000,0.3396,0.4062,0.3306,0.3727,22851084.7365084
2025-11-30,1764518400000,0.3725,0.4753,0.3283,0.373,32444185.1081433
2025-12-07,1765123200000,0.3728,0.4544,0.3607,0.3881,33126152.2496252
2025-12-14,1765728000000,0.3874,0.4066,0.3247,0.3364,28323243.1371666
2025-12-21,1766332800000,0.3365,0.3514,0.2999,0.3164,13993318.6277275
2025-12-28,1766937600000,0.3164,0.4291,0.2617,0.399,39204715.6169062
2026-01-04,1767542400000,0.3988,0.5044,0.374,0.3795,56086407.025495
2026-01-11,1768147200000,0.3795,0.4355,0.3648,0.3732,28238281.2558833
2026-01-18,1768752000000,0.373,0.3795,0.3101,0.3294,21928819.0180812
2026-01-25,1769356800000,0.3294,0.3361,0.2254,0.2483,21800889.9978239
2026-02-01,1769961600000,0.2481,0.2655,0.1795,0.2308,20717311.1182547
2026-02-08,1770566400000,0.2306,0.2635,0.2034,0.2345,12264278.3380262
2026-02-15,1771171200000,0.2345,0.2392,0.2106,0.2135,8567416.0391509
2026-02-22,1771776000000,0.213,0.23,0.1813,0.1967,18312960.2941924
2026-03-01,1772380800000,0.197,0.2228,0.1736,0.1773,15978541.323433
2026-03-08,1772985600000,0.1773,0.1819,0.1616,0.1662,13193942.5492044
2026-03-15,1773590400000,0.1662,0.1939,0.1655,0.1744,12205804.1019257
2026-03-22,1774195200000,0.1747,0.2018,0.1672,0.1727,11565669.1332856
2026-03-29,1774800000000,0.1727,0.1879,0.1672,0.1763,5452711.5354818
2026-04-05,1775404800000,0.1765,0.2067,0.1745,0.1878,5808553.2973592
2026-04-12,1776009600000,0.1878,0.2265,0.1857,0.2042,9130576.5279421
2026-04-19,1776614400000,0.2043,0.205,0.1757,0.1787,10562216.2233734
2026-04-26,1777219200000,0.1786,0.1975,0.1712,0.1869,7853778.4520394
2026-05-03,1777824000000,0.1869,0.2583,0.1865,0.2279,21201196.0014649
2026-05-10,1778428800000,0.2279,0.2437,0.1942,0.1976,8339062.5464309
2026-05-17,1779033600000,0.1977,0.2043,0.1792,0.1886,3145711.1929234
