date,openTime,open,high,low,close,volume
2023-07-30,1690732800000,2.308,2.53,2.0118,2.0174,73202840.5943974
2023-08-06,1691337600000,2.0169,2.1096,1.6512,1.7918,59472455.659908
2023-08-13,1691942400000,1.7921,1.835,1.2,1.4755,43122198.9616733
2023-08-20,1692547200000,1.4739,1.5337,1.2182,1.2871,26856680.9458228
2023-08-27,1693152000000,1.2879,1.3938,1.0937,1.1274,53919357.2575819
2023-09-03,1693756800000,1.127,1.3938,1.019,1.0799,62629533.1909999
2023-09-10,1694361600000,1.0798,1.7345,0.9709,1.3338,115349226.4935912
2023-09-17,1694966400000,1.3339,1.6944,1.2292,1.58,103497942.3087574
2023-09-24,1695571200000,1.5796,1.8992,1.572,1.7135,72768862.0089501
2023-10-01,1696176000000,1.7135,1.8057,1.4508,1.584,33747550.012598
2023-10-08,1696780800000,1.5816,1.6582,1.4237,1.4894,25702764.8651107
2023-10-15,1697385600000,1.4894,1.7277,1.4001,1.5857,39086758.0660391
2023-10-22,1697990400000,1.5862,1.9562,1.4815,1.8375,66745701.4744767
2023-10-29,1698595200000,1.8384,2.0496,1.7022,1.8302,46441655.7872877
2023-11-05,1699200000000,1.829,2.093,1.5462,1.956,53275147.9922392
2023-11-12,1699804800000,1.959,2.613,1.82,2.431,168586113.00346
2023-11-19,1700409600000,2.431,2.88,2.165,2.676,212474608.347289
2023-11-26,1701014400000,2.674,2.784,2.316,2.452,88692468.438435
2023-12-03,1701619200000,2.452,2.688,2.315,2.643,87186148.921244
2023-12-10,1702224000000,2.642,4.817,2.304,4.686,255563018.849088
2023-12-17,1702828800000,4.683,4.789,3.329,3.401,195859012.146597
2023-12-24,1703433600000,3.401,4.079,3.26,3.676,108836647.803978
2023-12-31,1704038400000,3.678,3.915,2.378,2.729,92893829.887604
2024-01-07,1704643200000,2.727,3.186,2.373,2.822,89921015.627893
2024-01-14,1705248000000,2.822,2.858,2.336,2.563,37695549.5005
2024-01-21,1705852800000,2.564,2.6,2.072,2.317,33140461.340522
2024-01-28,1706457600000,2.317,2.766,2.21,2.237,47626414.818401
2024-02-04,1707062400000,2.237,2.606,2.153,2.507,34170504.87723
2024-02-11,1707667200000,2.508,5.58,2.442,5.495,300669918.699802
2024-02-18,1708272000000,5.496,9.49,5.435,8.804,959522836.04379
2024-02-25,1708876800000,8.801,9.252,6.9,7.921,712628334.414036
2024-03-03,1709481600000,7.924,11.965,5.321,9.292,918779604.205786
2024-03-10,1710086400000,9.296,10.891,8.146,9.83,700518552.555601
2024-03-17,1710691200000,9.828,9.915,7.2,8.319,335425335.575536
2024-03-24,1711296000000,8.316,9.471,8.024,8.212,267617305.368204
2024-03-31,1711900800000,8.213,8.302,6.461,7.124,193872339.779856
2024-04-07,1712505600000,7.125,7.477,3.66,4.754,252436669.454501
2024-04-14,1713110400000,4.754,5.909,4.453,5.539,209504228.599389
2024-04-21,1713715200000,5.542,6.194,4.323,4.832,150517866.11807
2024-04-28,1714320000000,4.831,5.846,4.175,5.688,141645724.037871
2024-05-05,1714924800000,5.688,6.541,5.21,5.887,259283310.295001
2024-05-12,1715529600000,5.888,6.332,4.604,4.79,218307163.075059
2024-05-19,1716134400000,4.781,5.264,4.381,4.579,149072073.490655
2024-05-26,1716739200000,4.579,5.185,4.488,4.826,141048309.92374
2024-06-02,1717344000000,4.826,5.126,3.806,4.255,111943098.945096
2024-06-09,1717948800000,4.256,4.41,3.23,3.466,89828408.186654
2024-06-16,1718553600000,3.466,3.507,2.469,2.904,101270429.688281
2024-06-23,1719158400000,2.904,2.999,2.404,2.42,57943831.872485
2024-06-30,1719763200000,2.421,2.56,1.746,1.946,117025003.805216
2024-07-07,1720368000000,1.947,2.08,1.727,1.842,64044074.57404
2024-07-14,1720972800000,1.843,3.266,1.808,2.511,278001278.283526
2024-07-21,1721577600000,2.511,2.637,2.008,2.359,104860762.26902
2024-07-28,1722182400000,2.359,2.437,1.624,1.63,63424662.372973
2024-08-04,1722787200000,1.629,1.892,1.341,1.674,104874176.660132
2024-08-11,1723392000000,1.674,1.748,1.432,1.549,28995089.416973
2024-08-18,1723996800000,1.55,1.976,1.418,1.858,48185743.905302
2024-08-25,1724601600000,1.857,1.898,1.423,1.478,47975813.241226
2024-09-01,1725206400000,1.477,1.515,1.283,1.35,46090824.01278
2024-09-08,1725811200000,1.352,1.619,1.341,1.539,47119136.107944
2024-09-15,1726416000000,1.539,1.689,1.386,1.546,45381391.420534
2024-09-22,1727020800000,1.544,2.18,1.514,2.036,157128447.7358
2024-09-29,1727625600000,2.036,2.111,1.534,1.963,97231863.240763
2024-10-06,1728230400000,1.961,2.123,1.639,1.945,113741568.718655
2024-10-13,1728835200000,1.944,2.65,1.938,2.409,222422057.96281
2024-10-20,1729440000000,2.408,2.488,1.777,2.012,85666629.173377
2024-10-27,1730044800000,2.013,2.143,1.629,1.67,71499305.256133
2024-11-03,1730649600000,1.668,2.256,1.589,2.199,142853771.928612
2024-11-10,1731254400000,2.2,2.857,1.999,2.308,422002061.941439
2024-11-17,1731859200000,2.307,2.69,2.024,2.334,256434466.554398
2024-11-24,1732464000000,2.333,3.734,2.244,3.407,416628821.854685
2024-12-01,1733068800000,3.406,4.2,2.961,3.728,461544073.014014
2024-12-08,1733673600000,3.73,3.821,2.45,3.038,314858432.104198
2024-12-15,1734278400000,3.039,3.163,1.938,2.237,238305784.011953
2024-12-22,1734883200000,2.236,2.419,2.114,2.184,82307182.592546
2024-12-29,1735488000000,2.183,2.447,2.013,2.348,71989564.710192
2025-01-05,1736092800000,2.349,2.804,2.051,2.184,139595499.4169
2025-01-12,1736697600000,2.185,2.379,1.837,2.12,134661839.591425
2025-01-19,1737302400000,2.119,2.468,1.795,2.092,213309620.141174
2025-01-26,1737907200000,2.091,2.115,1.534,1.567,86767182.897949
2025-02-02,1738512000000,1.567,1.568,0.955,1.236,98926901.135573
2025-02-09,1739116800000,1.236,1.378,1.149,1.23,46724102.084897
2025-02-16,1739721600000,1.23,1.327,1.077,1.213,54861594.91847
2025-02-23,1740326400000,1.213,1.26,0.97,1.115,78822397.893919
2025-03-02,1740931200000,1.116,1.258,0.818,0.831,81160489.765953
2025-03-09,1741536000000,0.831,0.912,0.698,0.849,82135399.735071
2025-03-16,1742140800000,0.849,0.9193,0.8064,0.8234,48437667.3975438
2025-03-23,1742745600000,0.8227,0.9865,0.7633,0.7815,53029821.7908442
2025-03-30,1743350400000,0.7818,0.8452,0.6888,0.6995,41520613.7476418
2025-04-06,1743955200000,0.6992,0.7919,0.5728,0.7647,59956111.4545471
2025-04-13,1744560000000,0.7645,0.7878,0.6771,0.7623,36487596.156095
2025-04-20,1745164800000,0.7623,1.2591,0.7485,1.1364,102683555.5156046
2025-04-27,1745769600000,1.1369,1.188,0.927,0.9434,120360476.8483719
2025-05-04,1746374400000,0.9433,1.3623,0.8516,1.233,113116473.166895
2025-05-11,1746979200000,1.233,1.3509,1.0558,1.1853,110477429.6549878
2025-05-18,1747584000000,1.1853,1.6483,1.0612,1.3438,196123516.7114334
2025-05-25,1748188800000,1.3435,1.4699,1.0711,1.138,107900890.0861571
2025-06-01,1748793600000,1.1386,1.2505,1.0133,1.103,61864158.8873137
2025-06-08,1749398400000,1.1034,1.2196,0.9355,0.9826,85026248.613036
2025-06-15,1750003200000,0.9827,1.0264,0.7877,0.7961,80286551.2984739
2025-06-22,1750608000000,0.7957,0.9587,0.7719,0.8887,44596985.3337741
2025-06-29,1751212800000,0.8888,0.9835,0.8443,0.8835,39641492.8880825
2025-07-06,1751817600000,0.8837,1.1405,0.8535,1.0555,74861681.0531831
2025-07-13,1752422400000,1.0561,1.2849,0.9921,1.2786,106186221.4882836
2025-07-20,1753027200000,1.2792,1.4012,1.0717,1.181,134697631.6046121
2025-07-27,1753632000000,1.1814,1.2381,0.9102,0.9698,62228477.0796524
2025-08-03,1754236800000,0.9696,1.1056,0.919,1.0672,57616612.9873651
2025-08-10,1754841600000,1.0672,1.1405,0.9534,1.0305,85971278.0558278
2025-08-17,1755446400000,1.0307,1.037,0.8942,0.968,49234569.8150103
2025-08-24,1756051200000,0.9681,1.0286,0.8641,0.9029,58285610.4371145
2025-08-31,1756656000000,0.9029,1.0769,0.8317,1.0508,59947279.0427015
2025-09-07,1757260800000,1.0506,2.2,1.0261,1.6028,974679097.3183043
2025-09-14,1757865600000,1.6016,1.6988,1.418,1.4812,235909996.8659768
2025-09-21,1758470400000,1.4814,1.4885,1.2184,1.2657,188493696.0399053
2025-09-28,1759075200000,1.2658,1.4026,1.1991,1.2938,123327211.0592506
2025-10-12,1760284800000,0.9904,1.0511,0.8217,0.9217,138710341.6326647
2025-10-19,1760889600000,0.9217,0.968,0.81,0.9389,77735242.9900086
2025-10-26,1761494400000,0.9388,0.9648,0.7663,0.831,97561871.2215885
2025-11-02,1762099200000,0.831,0.8721,0.6524,0.819,101661016.4098861
2025-11-09,1762704000000,0.8193,0.8482,0.6683,0.6692,67773661.8909694
2025-11-16,1763308800000,0.6691,0.714,0.5638,0.6142,71526996.9931066
2025-11-23,1763913600000,0.6141,0.67,0.595,0.6277,29615067.6038382
2025-11-30,1764518400000,0.6278,0.6648,0.5522,0.5729,40339506.5651057
2025-12-07,1765123200000,0.5729,0.6531,0.5574,0.5716,36447562.8764888
2025-12-14,1765728000000,0.5716,0.5854,0.4726,0.5015,29700744.9749335
2025-12-21,1766332800000,0.5015,0.524,0.4774,0.5073,21198694.908209
2025-12-28,1766937600000,0.5074,0.6068,0.4682,0.6014,35534016.349585
2026-01-04,1767542400000,0.6014,0.6627,0.5657,0.5728,28938003.1094651
2026-01-11,1768147200000,0.5729,0.6282,0.5372,0.5419,23350557.3081908
2026-01-18,1768752000000,0.5418,0.5468,0.45,0.4646,27455772.6955088
2026-01-25,1769356800000,0.4645,0.6554,0.3646,0.3954,99015079.2348493
2026-02-01,1769961600000,0.3953,0.4285,0.3073,0.3954,41030640.1085535
2026-02-08,1770566400000,0.3953,0.4381,0.3603,0.4108,21125807.6677074
2026-02-15,1771171200000,0.4108,0.4129,0.3675,0.3808,13319853.3923767
2026-02-22,1771776000000,0.3806,0.435,0.3616,0.3897,24451260.0578872
2026-03-01,1772380800000,0.3898,0.444,0.3662,0.3673,20378778.6529162
2026-03-08,1772985600000,0.3671,0.3813,0.3462,0.3585,23026711.7077657
2026-03-15,1773590400000,0.3583,0.4062,0.3087,0.313,48643382.9753495
2026-03-22,1774195200000,0.3133,0.3294,0.2434,0.274,39673814.503323
2026-03-29,1774800000000,0.2739,0.2876,0.2448,0.2486,22104505.0571149
2026-04-05,1775404800000,0.2487,0.3028,0.239,0.2853,29054394.1224458
2026-04-12,1776009600000,0.2856,0.329,0.2583,0.2663,42907898.8812435
2026-04-19,1776614400000,0.2662,0.2738,0.2544,0.2605,13866084.543665
2026-04-26,1777219200000,0.2606,0.2648,0.2313,0.2395,15073923.4555795
2026-05-03,1777824000000,0.2395,0.2819,0.2339,0.2818,22745338.6635752
2026-05-10,1778428800000,0.2819,0.2963,0.234,0.2422,36425404.5310376
2026-05-17,1779033600000,0.2422,0.3133,0.2264,0.3029,47580442.7402294
