date,openTime,open,high,low,close,volume
2024-06-20 16:00,1718899200000,3.51,3.781,3.307,3.415,16149884.534329
2024-06-21 00:00,1718928000000,3.418,3.58,3.1,3.146,12651363.821748
2024-06-21 08:00,1718956800000,3.143,3.229,2.994,3.02,15664931.304597
2024-06-21 16:00,1718985600000,3.02,3.143,2.95,3.036,5826614.225922001
2024-06-22 00:00,1719014400000,3.034,3.037,2.786,2.952,5564746.18785
2024-06-22 08:00,1719043200000,2.953,3.327,2.9,3.285,9075760.453825
2024-06-22 16:00,1719072000000,3.284,3.389,3.064,3.08,7355058.958791001
2024-06-23 00:00,1719100800000,3.082,3.293,3.047,3.083,3644417.961138
2024-06-23 08:00,1719129600000,3.078,3.132,2.8,2.882,4305918.497462
2024-06-23 16:00,1719158400000,2.883,2.934,2.74,2.795,2973908.8476879997
2024-06-24 00:00,1719187200000,2.799,2.86,2.621,2.667,2970615.08385
2024-06-24 08:00,1719216000000,2.669,2.74,2.545,2.692,4203854.371953
2024-06-24 16:00,1719244800000,2.692,2.882,2.683,2.835,3263104.844256
2024-06-25 00:00,1719273600000,2.835,2.918,2.742,2.759,3856923.587479
2024-06-25 08:00,1719302400000,2.759,2.876,2.706,2.84,3558092.4302780004
2024-06-25 16:00,1719331200000,2.839,2.884,2.739,2.768,1825968.5530980001
2024-06-26 00:00,1719360000000,2.768,2.812,2.635,2.696,2066791.633955
2024-06-26 08:00,1719388800000,2.697,2.727,2.586,2.597,2156566.107079
2024-06-26 16:00,1719417600000,2.596,2.619,2.526,2.541,1599628.099863
2024-06-27 00:00,1719446400000,2.543,2.583,2.464,2.476,2563636.146872
2024-06-27 08:00,1719475200000,2.477,2.639,2.475,2.608,4498991.930205001
2024-06-27 16:00,1719504000000,2.607,2.632,2.53,2.548,1315077.633198
2024-06-28 00:00,1719532800000,2.546,2.626,2.488,2.605,1756174.731135
2024-06-28 08:00,1719561600000,2.607,2.688,2.506,2.66,2314042.925714
2024-06-28 16:00,1719590400000,2.653,2.655,2.49,2.513,1610240.586446
2024-06-29 00:00,1719619200000,2.512,2.766,2.471,2.722,2121901.074593
2024-06-29 08:00,1719648000000,2.723,2.828,2.693,2.814,4613684.225935
2024-06-29 16:00,1719676800000,2.814,2.897,2.765,2.78,3439052.0487740003
2024-06-30 00:00,1719705600000,2.78,2.822,2.693,2.744,2263373.073416
2024-06-30 08:00,1719734400000,2.745,3.345,2.734,3.305,10667626.121864
2024-06-30 16:00,1719763200000,3.306,3.543,3.249,3.475,9212684.352931
