date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,85.86,波动状态,高波动冷却,40.88,1,25,样本偏少,20,40,60,4,12,4,-1.8031,-1.3256,0.5812,-0.4588
2026-05-17,85.86,波动状态,高波动冷却,40.88,3,24,样本偏少,25,37.5,62.5,8.33,37.5,16.67,-4.7729,-5.5357,0.657,-0.4555
2026-05-17,85.86,波动状态,高波动冷却,40.88,5,22,样本偏少,27.27,36.36,63.64,18.18,36.36,13.64,-5.8692,-7.0358,0.6678,-0.3799
2026-05-17,85.86,波动状态,高波动冷却,40.88,10,18,样本偏少,11.11,44.44,55.56,33.33,50,22.22,-8.0445,-10.1369,0.7112,-0.4404
2026-05-17,85.86,短ATR状态,短ATR降温,100,1,24,样本偏少,8.33,45.83,54.17,8.33,8.33,8.33,0.1538,-0.3063,0.5916,-0.4687
2026-05-17,85.86,短ATR状态,短ATR降温,100,3,22,样本偏少,18.18,40.91,59.09,18.18,27.27,9.09,-0.3871,-4.2865,0.5893,-0.4787
2026-05-17,85.86,短ATR状态,短ATR降温,100,5,20,样本偏少,10,45,55,25,25,5,-0.4091,-0.7661,0.5766,-0.4688
2026-05-17,85.86,短ATR状态,短ATR降温,100,10,15,样本偏少,6.67,53.33,46.67,46.67,33.33,0,2.3299,8.873,0.5212,-0.5586
2026-05-17,85.86,余动能状态,余动能不足,53.95,1,37,样本偏少,8.11,45.95,54.05,8.11,8.11,21.62,-0.6356,-0.3216,0.7566,-0.4219
2026-05-17,85.86,余动能状态,余动能不足,53.95,3,35,样本偏少,2.86,48.57,51.43,22.86,31.43,25.71,1.6369,-0.2163,0.796,-0.3738
2026-05-17,85.86,余动能状态,余动能不足,53.95,5,33,样本偏少,3.03,48.48,51.52,33.33,27.27,27.27,2.7075,-0.6518,0.8484,-0.3431
2026-05-17,85.86,余动能状态,余动能不足,53.95,10,29,样本偏少,10.34,55.17,44.83,44.83,37.93,24.14,6.219,7.7229,0.7044,-0.4219
2026-05-17,85.86,趋势状态,强趋势下行,100,1,37,样本偏少,2.7,51.35,48.65,13.51,10.81,13.51,0.6304,1.0203,0.6284,-0.4482
2026-05-17,85.86,趋势状态,强趋势下行,100,3,35,样本偏少,8.57,45.71,54.29,20,31.43,14.29,-0.9337,-3.3101,0.6477,-0.4219
2026-05-17,85.86,趋势状态,强趋势下行,100,5,33,样本偏少,15.15,42.42,57.58,27.27,30.3,12.12,-2.483,-2.6028,0.6427,-0.4219
2026-05-17,85.86,趋势状态,强趋势下行,100,10,28,样本偏少,0,50,50,39.29,39.29,14.29,-3.3221,0.443,0.6567,-0.4498
2026-05-17,85.86,量能状态,缩量,50.09,1,32,样本偏少,6.25,46.88,53.13,12.5,15.63,21.88,-0.7172,-0.8236,0.7079,-0.3731
2026-05-17,85.86,量能状态,缩量,50.09,3,32,样本偏少,0,50,50,18.75,34.38,28.13,-1.1409,0.0864,0.8622,-0.3197
2026-05-17,85.86,量能状态,缩量,50.09,5,31,样本偏少,22.58,38.71,61.29,29.03,35.48,22.58,-1.9119,-6.4976,0.8344,-0.3431
2026-05-17,85.86,量能状态,缩量,50.09,10,27,样本偏少,3.7,51.85,48.15,44.44,40.74,25.93,3.3271,1.2831,0.818,-0.3738
