component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,2052,中强,21.64,39.18,60.82,4.73,0.1,40.98,0.2728,-1.116,1.009,-0.0925,2026-06-01 16:00
波动超额状态,接近一倍ATR,3,2051,中强,15.26,42.37,57.63,12.77,6.78,39.01,0.8504,-1.2933,1.0168,-0.1101,2026-06-01 08:00
波动超额状态,接近一倍ATR,5,2049,中,12.64,43.68,56.32,18.35,17.67,36.7,1.3184,-1.6343,0.9828,-0.1347,2026-05-31 16:00
波动超额状态,接近一倍ATR,10,2047,中,10.6,44.7,55.3,25.31,29.7,36.69,2.4851,-2.013,0.9855,-0.1249,2026-05-29 16:00
波动超额状态,振幅未满ATR,1,2455,强,40.04,29.98,70.02,3.01,0.12,28.51,-0.7212,-1.8981,0.8758,-0.2196,2026-05-31 00:00
波动超额状态,振幅未满ATR,3,2455,强,31.65,34.18,65.82,9.25,11.73,32.87,-1.2251,-3.1205,0.9196,-0.1749,2026-05-31 00:00
波动超额状态,振幅未满ATR,5,2455,强,29.37,35.32,64.68,14.34,24.48,37.8,-1.116,-3.7071,0.9776,-0.1227,2026-05-31 00:00
波动超额状态,振幅未满ATR,10,2452,中强,21.53,39.23,60.77,20.96,36.17,38.5,-0.6222,-4.8409,0.9884,-0.1169,2026-05-30 00:00
波动超额状态,振幅已超ATR,1,1408,中,9.8,45.1,54.9,7.39,0.07,48.93,1.4405,-0.489,1.1437,-0.0134,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,1407,弱,4.05,52.03,47.97,18.05,5.47,44.14,2.9676,0.4501,1.0555,-0.0593,2026-05-29 08:00
波动超额状态,振幅已超ATR,5,1407,弱,3.62,51.81,48.19,23.67,13.5,38.95,3.7241,0.5,1.0039,-0.1098,2026-05-29 08:00
波动超额状态,振幅已超ATR,10,1407,弱,1.49,50.75,49.25,29.35,24.09,37.67,5.243,0.2583,0.9799,-0.131,2026-05-29 08:00
波动状态,波动压缩,1,1899,强,35.12,32.44,67.56,3.42,0.0,32.65,-0.2945,-1.584,0.9248,-0.1848,2026-05-31 16:00
波动状态,波动压缩,3,1899,强,25.65,37.18,62.82,10.53,7.74,36.86,-0.0441,-2.2875,0.97,-0.127,2026-05-31 16:00
波动状态,波动压缩,5,1899,中强,19.75,40.13,59.87,17.01,17.8,41.34,0.7884,-2.3213,1.0144,-0.0907,2026-05-31 16:00
波动状态,波动压缩,10,1894,弱,5.28,47.36,52.64,25.92,27.98,41.34,3.222,-1.0411,1.0312,-0.0915,2026-05-30 00:00
波动状态,常态波动,1,936,强,27.14,36.43,63.57,4.17,0.0,36.65,-0.018,-1.3515,0.9613,-0.1273,2026-05-16 08:00
波动状态,常态波动,3,936,中强,21.79,39.1,60.9,11.97,6.94,35.36,-0.0324,-1.9949,0.9729,-0.1477,2026-05-16 08:00
波动状态,常态波动,5,936,中强,21.37,39.32,60.68,17.41,20.09,35.9,-0.0672,-2.7698,0.9779,-0.13,2026-05-16 08:00
波动状态,常态波动,10,936,中强,22.65,38.68,61.32,20.62,33.33,36.65,-0.3481,-3.9863,0.9775,-0.1332,2026-05-16 08:00
波动状态,低波动启动,1,1920,中,10.1,44.95,55.05,5.78,0.0,46.61,1.0875,-0.4672,1.1012,-0.0321,2026-06-02 00:00
波动状态,低波动启动,3,1918,弱,4.38,52.19,47.81,16.42,3.18,44.37,2.717,0.5333,1.0649,-0.0597,2026-06-01 08:00
波动状态,低波动启动,5,1916,弱,7.31,53.65,46.35,23.12,11.59,39.2,3.9171,0.7845,1.0186,-0.1111,2026-05-29 08:00
波动状态,低波动启动,10,1916,中,9.39,54.7,45.3,31.73,20.35,39.09,6.7209,2.0035,1.0057,-0.1132,2026-05-29 08:00
波动状态,高波动扩张,1,493,强,29.01,35.5,64.5,7.91,0.2,47.46,0.4601,-1.7892,1.0705,-0.0355,2026-04-21 00:00
波动状态,高波动扩张,3,493,强,25.76,37.12,62.88,15.21,16.23,35.29,0.2454,-2.9185,0.9574,-0.1371,2026-04-21 00:00
波动状态,高波动扩张,5,493,强,29.82,35.09,64.91,17.85,26.98,34.69,-0.0555,-4.0774,0.9342,-0.15,2026-04-21 00:00
波动状态,高波动扩张,10,493,强,33.47,33.27,66.73,19.47,41.99,32.45,-2.063,-7.5115,0.8977,-0.1767,2026-04-21 00:00
波动状态,高波动冷却,1,667,强,46.03,26.99,73.01,3.15,0.75,20.69,-1.381,-2.7211,0.7986,-0.2785,2026-04-24 16:00
波动状态,高波动冷却,3,667,强,44.83,27.59,72.41,6.15,22.64,25.79,-3.4574,-5.3181,0.8409,-0.253,2026-04-24 16:00
波动状态,高波动冷却,5,667,强,52.02,23.99,76.01,6.6,40.78,27.74,-5.5632,-7.6104,0.8581,-0.2217,2026-04-24 16:00
波动状态,高波动冷却,10,667,强,64.02,17.99,82.01,8.55,59.22,28.49,-10.0426,-12.832,0.8729,-0.2147,2026-04-24 16:00
短ATR状态,短ATR降温,1,2031,强,39.34,30.33,69.67,2.95,0.05,30.03,-0.6902,-1.885,0.8883,-0.2037,2026-06-01 00:00
短ATR状态,短ATR降温,3,2031,强,33.14,33.43,66.57,9.26,12.16,33.53,-1.4253,-3.2118,0.9379,-0.1611,2026-06-01 00:00
短ATR状态,短ATR降温,5,2030,强,28.57,35.71,64.29,14.33,25.42,37.49,-1.3632,-3.9082,0.979,-0.1293,2026-05-31 16:00
短ATR状态,短ATR降温,10,2025,中强,24.35,37.83,62.17,20.79,36.0,38.42,-0.8994,-5.035,0.9908,-0.1194,2026-05-26 16:00
短ATR状态,短ATR升温,1,1592,中,11.06,44.47,55.53,7.1,0.0,47.42,1.2855,-0.4984,1.119,-0.0293,2026-05-29 08:00
短ATR状态,短ATR升温,3,1592,弱,0.38,49.81,50.19,17.02,6.03,42.34,2.7093,-0.0311,1.0391,-0.0863,2026-05-29 08:00
短ATR状态,短ATR升温,5,1592,弱,0.13,49.94,50.06,21.86,14.7,39.38,3.3972,-0.0239,0.9948,-0.1135,2026-05-29 08:00
短ATR状态,短ATR升温,10,1592,弱,2.64,48.68,51.32,27.45,26.19,39.13,4.8401,-0.7389,0.9897,-0.1154,2026-05-29 08:00
短ATR状态,短ATR中性,1,2292,强,25.74,37.13,62.87,4.45,0.22,37.74,0.0754,-1.2244,0.9797,-0.1171,2026-06-02 00:00
短ATR状态,短ATR中性,3,2290,中强,15.46,42.27,57.73,12.4,7.03,38.12,0.6521,-1.4344,0.9907,-0.1242,2026-06-01 08:00
短ATR状态,短ATR中性,5,2289,中强,15.16,42.42,57.58,18.44,17.61,36.7,1.1186,-1.9378,0.9852,-0.1251,2026-05-30 00:00
短ATR状态,短ATR中性,10,2289,中,8.26,45.87,54.13,25.64,30.06,36.0,2.2081,-1.7652,0.9776,-0.13,2026-05-30 00:00
量能状态,放量,1,943,弱,0.95,49.52,50.48,8.06,0.0,52.28,1.7625,-0.0196,1.1845,0.0183,2026-06-02 00:00
量能状态,放量,3,942,中,13.59,56.79,43.21,20.17,4.46,46.18,3.6895,1.182,1.0782,-0.0441,2026-06-01 08:00
量能状态,放量,5,941,中,13.5,56.75,43.25,24.87,12.65,38.89,4.473,1.6054,0.9955,-0.1118,2026-05-28 08:00
量能状态,放量,10,941,弱,7.97,53.99,46.01,31.99,22.0,37.41,6.3621,1.769,0.9859,-0.1301,2026-05-28 08:00
量能状态,量能正常,1,2489,中强,24.23,37.89,62.11,4.22,0.12,40.9,0.2196,-1.1701,1.0105,-0.0954,2026-06-01 16:00
量能状态,量能正常,3,2488,中,14.87,42.56,57.44,12.3,6.39,38.79,0.565,-1.4379,1.0002,-0.1149,2026-05-30 00:00
量能状态,量能正常,5,2488,中,14.23,42.89,57.11,18.53,17.28,37.42,1.0985,-1.9539,0.9881,-0.1249,2026-05-30 00:00
量能状态,量能正常,10,2488,中,9.57,45.22,54.78,25.84,29.78,37.58,2.5749,-2.0358,0.9822,-0.1229,2026-05-30 00:00
量能状态,缩量,1,2483,强,38.38,30.81,69.19,3.79,0.12,28.96,-0.5603,-1.884,0.8855,-0.2064,2026-06-01 00:00
量能状态,缩量,3,2483,强,31.86,34.07,65.93,9.95,12.2,33.35,-0.7931,-3.0942,0.9359,-0.1676,2026-06-01 00:00
量能状态,缩量,5,2482,强,28.28,35.86,64.14,14.75,24.34,37.51,-0.7012,-3.5713,0.9794,-0.1286,2026-05-31 16:00
量能状态,缩量,10,2477,中强,22.65,38.68,61.32,20.23,35.77,37.87,-0.5873,-4.7289,0.9884,-0.124,2026-05-29 16:00
趋势状态,强趋势上行,1,2006,中,9.17,45.41,54.59,4.99,0.0,47.86,0.8775,-0.4067,1.089,-0.0237,2026-05-12 00:00
趋势状态,强趋势上行,3,2006,弱,4.49,52.24,47.76,14.66,2.04,44.62,2.3928,0.3644,1.058,-0.0576,2026-05-12 00:00
趋势状态,强趋势上行,5,2006,中,8.08,54.04,45.96,21.09,8.42,44.12,3.6371,0.8578,1.0507,-0.0628,2026-05-12 00:00
趋势状态,强趋势上行,10,2006,中,14.86,57.43,42.57,31.9,17.25,43.02,6.9562,2.8006,1.0433,-0.0682,2026-05-12 00:00
趋势状态,强趋势下行,1,2070,强,35.65,32.17,67.83,4.83,0.24,32.17,-0.1948,-1.8729,0.9281,-0.182,2026-06-02 00:00
趋势状态,强趋势下行,3,2068,强,32.4,33.8,66.2,10.88,13.93,31.67,-0.7509,-3.5801,0.9224,-0.1866,2026-06-01 08:00
趋势状态,强趋势下行,5,2066,强,34.17,32.91,67.09,15.05,29.14,31.46,-1.3339,-5.1797,0.9175,-0.1917,2026-05-31 16:00
趋势状态,强趋势下行,10,2065,强,36.56,31.72,68.28,17.19,43.39,32.49,-3.2439,-7.7666,0.9314,-0.1764,2026-05-30 00:00
趋势状态,趋势不明,1,701,强,32.67,33.67,66.33,3.71,0.0,33.81,-0.3072,-1.6799,0.9452,-0.1622,2026-05-31 00:00
趋势状态,趋势不明,3,701,中强,23.82,38.09,61.91,12.27,8.27,36.38,-0.2822,-2.346,0.9928,-0.1378,2026-05-31 00:00
趋势状态,趋势不明,5,701,中强,18.69,40.66,59.34,18.97,19.83,38.94,0.4386,-2.5772,1.0021,-0.1241,2026-05-31 00:00
趋势状态,趋势不明,10,700,中,11.43,44.29,55.71,27.0,29.71,39.43,2.8119,-2.3663,1.0152,-0.1066,2026-05-27 08:00
趋势状态,弱趋势混合,1,488,强,35.66,32.17,67.83,4.51,0.2,30.53,-0.3607,-1.8009,0.9252,-0.1774,2026-05-14 16:00
趋势状态,弱趋势混合,3,488,中强,23.77,38.11,61.89,11.89,12.3,35.25,-0.7146,-2.8161,0.9282,-0.1539,2026-05-14 16:00
趋势状态,弱趋势混合,5,488,强,27.46,36.27,63.73,15.78,22.13,33.81,-0.7892,-3.5242,0.9538,-0.1377,2026-05-14 16:00
趋势状态,弱趋势混合,10,488,中强,20.08,39.96,60.04,21.11,37.91,37.7,0.521,-5.1388,0.9579,-0.1365,2026-05-14 16:00
趋势状态,弱趋势上行,1,303,强,35.31,32.34,67.66,4.62,0.0,36.63,-0.2097,-1.5242,0.9463,-0.154,2026-05-14 08:00
趋势状态,弱趋势上行,3,303,中强,20.79,39.6,60.4,11.22,8.25,38.61,0.0926,-1.6365,0.9947,-0.1293,2026-05-14 08:00
趋势状态,弱趋势上行,5,303,中,12.87,43.56,56.44,18.81,18.15,41.58,1.0786,-2.0174,1.0139,-0.1153,2026-05-14 08:00
趋势状态,弱趋势上行,10,303,中,12.21,43.89,56.11,24.09,30.69,34.98,2.4539,-2.0219,0.9749,-0.1524,2026-05-14 08:00
趋势状态,弱趋势下行,1,347,强,38.33,30.84,69.16,3.75,0.0,30.84,-0.2435,-1.6724,0.9348,-0.1689,2026-05-31 08:00
趋势状态,弱趋势下行,3,347,强,30.84,34.58,65.42,13.26,9.22,38.62,0.5285,-2.9311,1.0023,-0.1209,2026-05-31 08:00
趋势状态,弱趋势下行,5,347,中强,23.34,38.33,61.67,17.29,23.05,37.18,1.1874,-3.0476,1.0018,-0.1135,2026-05-31 08:00
趋势状态,弱趋势下行,10,344,中强,15.12,42.44,57.56,24.71,30.81,36.34,2.0834,-3.2016,0.9595,-0.1522,2026-05-27 00:00
