component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,34,样本偏少,35.29,32.35,67.65,8.82,0,29.41,1.2653,-1.3045,1.0127,-0.296,2025-09-14
波动状态,波动压缩,3,34,样本偏少,17.65,41.18,58.82,17.65,23.53,26.47,2.7294,-3.3586,1.0796,-0.2818,2025-09-14
波动状态,波动压缩,5,34,样本偏少,0,50,50,29.41,35.29,41.18,2.5865,-1.5703,1.1937,-0.2008,2025-09-14
波动状态,波动压缩,10,34,样本偏少,11.76,44.12,55.88,35.29,44.12,50,0.8001,-7.248,1.1767,0.0178,2025-09-14
波动状态,常态波动,1,40,样本偏少,20,60,40,20,10,17.5,2.4619,2.6726,0.8732,-0.2753,2026-05-10
波动状态,常态波动,3,39,样本偏少,12.82,56.41,43.59,30.77,20.51,28.21,5.5136,1.744,0.8704,-0.2635,2025-11-09
波动状态,常态波动,5,39,样本偏少,17.95,41.03,58.97,33.33,35.9,28.21,2.8414,-3.7493,0.8696,-0.2344,2025-11-09
波动状态,常态波动,10,39,样本偏少,17.95,41.03,58.97,33.33,43.59,23.08,3.8709,-4.5913,0.8488,-0.3476,2025-11-09
波动状态,低波动启动,1,49,样本偏少,10.2,55.1,44.9,28.57,22.45,55.1,1.6456,3.9285,1.2691,0.0556,2025-10-05
波动状态,低波动启动,3,49,样本偏少,18.37,59.18,40.82,40.82,22.45,44.9,5.8581,3.7806,1.2251,-0.075,2025-10-05
波动状态,低波动启动,5,49,样本偏少,38.78,69.39,30.61,46.94,14.29,42.86,12.4395,8.4019,1.2,-0.062,2025-10-05
波动状态,低波动启动,10,49,样本偏少,51.02,75.51,24.49,61.22,16.33,30.61,26.0849,26.6572,1.0514,-0.1962,2025-10-05
波动状态,高波动扩张,1,9,样本偏少,33.33,33.33,66.67,33.33,55.56,33.33,-5.4729,-13.1549,1.1706,-0.1652,2026-01-25
波动状态,高波动扩张,3,9,样本偏少,11.11,44.44,55.56,22.22,55.56,44.44,-7.0369,-10.8374,1.0886,-0.016,2026-01-25
波动状态,高波动扩张,5,9,样本偏少,11.11,55.56,44.44,22.22,22.22,22.22,-2.9554,0.1169,0.8355,-0.3665,2026-01-25
波动状态,高波动扩张,10,9,样本偏少,55.56,22.22,77.78,11.11,55.56,33.33,-10.7381,-15.0975,0.8356,-0.2105,2026-01-25
波动状态,高波动冷却,1,44,样本偏少,22.73,38.64,61.36,2.27,9.09,11.36,-2.2364,-2.0059,0.6135,-0.4819,2026-05-03
波动状态,高波动冷却,3,43,样本偏少,34.88,32.56,67.44,9.3,39.53,11.63,-6.6051,-8.7624,0.6177,-0.4739,2026-04-26
波动状态,高波动冷却,5,41,样本偏少,56.1,21.95,78.05,14.63,56.1,7.32,-8.5197,-12.1378,0.605,-0.4458,2026-04-12
波动状态,高波动冷却,10,36,样本偏少,27.78,36.11,63.89,8.33,52.78,16.67,-10.4817,-12.641,0.8136,-0.4214,2026-03-08
短ATR状态,短ATR降温,1,95,样本偏少,20,40,60,11.58,10.53,21.05,-0.5507,-1.3586,0.7969,-0.3719,2026-05-10
短ATR状态,短ATR降温,3,93,样本偏少,26.88,36.56,63.44,17.2,30.11,25.81,-1.5127,-5.7311,0.8636,-0.3719,2026-04-26
短ATR状态,短ATR降温,5,91,样本偏少,34.07,32.97,67.03,19.78,46.15,26.37,-3.8799,-9.3336,0.9061,-0.3411,2026-04-12
短ATR状态,短ATR降温,10,86,样本偏少,32.56,33.72,66.28,20.93,52.33,36.05,-5.2815,-10.7831,1.041,-0.3289,2026-03-08
短ATR状态,短ATR升温,1,46,样本偏少,17.39,58.7,41.3,26.09,17.39,54.35,2.3569,3.58,1.3609,0.1685,2025-10-19
短ATR状态,短ATR升温,3,46,样本偏少,39.13,69.57,30.43,45.65,17.39,43.48,9.0531,8.388,1.1631,-0.1128,2025-10-19
