date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,0.24,波动状态,高波动冷却,29.55,1,44,样本偏少,22.73,38.64,61.36,2.27,9.09,11.36,-2.2364,-2.0059,0.6135,-0.4819
2026-05-17,0.24,波动状态,高波动冷却,29.55,3,43,样本偏少,34.88,32.56,67.44,9.3,39.53,11.63,-6.6051,-8.7624,0.6177,-0.4739
2026-05-17,0.24,波动状态,高波动冷却,29.55,5,41,样本偏少,56.1,21.95,78.05,14.63,56.1,7.32,-8.5197,-12.1378,0.605,-0.4458
2026-05-17,0.24,波动状态,高波动冷却,29.55,10,36,样本偏少,27.78,36.11,63.89,8.33,52.78,16.67,-10.4817,-12.641,0.8136,-0.4214
2026-05-17,0.24,短ATR状态,短ATR降温,100,1,95,样本偏少,20,40,60,11.58,10.53,21.05,-0.5507,-1.3586,0.7969,-0.3719
2026-05-17,0.24,短ATR状态,短ATR降温,100,3,93,样本偏少,26.88,36.56,63.44,17.2,30.11,25.81,-1.5127,-5.7311,0.8636,-0.3719
2026-05-17,0.24,短ATR状态,短ATR降温,100,5,91,样本偏少,34.07,32.97,67.03,19.78,46.15,26.37,-3.8799,-9.3336,0.9061,-0.3411
2026-05-17,0.24,短ATR状态,短ATR降温,100,10,86,样本偏少,32.56,33.72,66.28,20.93,52.33,36.05,-5.2815,-10.7831,1.041,-0.3289
2026-05-17,0.24,余动能状态,余动能不足,53.4,1,95,样本偏少,15.79,42.11,57.89,7.37,4.21,17.89,0.0549,-0.9825,0.7518,-0.3855
2026-05-17,0.24,余动能状态,余动能不足,53.4,3,93,样本偏少,16.13,41.94,58.06,18.28,27.96,19.35,-0.3755,-3.5671,0.8132,-0.3719
2026-05-17,0.24,余动能状态,余动能不足,53.4,5,91,样本偏少,29.67,35.16,64.84,23.08,42.86,23.08,-2.1949,-8.7395,0.8496,-0.3783
2026-05-17,0.24,余动能状态,余动能不足,53.4,10,86,样本偏少,18.6,40.7,59.3,23.26,44.19,29.07,-3.5879,-7.248,0.9825,-0.3007
2026-05-17,0.24,趋势状态,强趋势下行,100,1,89,样本偏少,14.61,42.7,57.3,12.36,10.11,12.36,0.1073,-1.3586,0.6878,-0.4284
2026-05-17,0.24,趋势状态,强趋势下行,100,3,88,样本偏少,34.09,32.95,67.05,14.77,35.23,20.45,-4.0518,-6.8231,0.7949,-0.3819
2026-05-17,0.24,趋势状态,强趋势下行,100,5,86,样本偏少,41.86,29.07,70.93,16.28,50,24.42,-6.3559,-10.8855,0.844,-0.3689
2026-05-17,0.24,趋势状态,强趋势下行,100,10,81,样本偏少,35.8,32.1,67.9,13.58,53.09,30.86,-9.1368,-10.9033,0.9876,-0.3719
2026-05-17,0.24,量能状态,缩量,37.26,1,95,样本偏少,5.26,47.37,52.63,9.47,7.37,17.89,0.4178,-0.6382,0.7791,-0.3855
2026-05-17,0.24,量能状态,缩量,37.26,3,93,样本偏少,9.68,45.16,54.84,18.28,26.88,20.43,-0.1498,-3.15,0.8129,-0.3665
2026-05-17,0.24,量能状态,缩量,37.26,5,91,样本偏少,25.27,37.36,62.64,21.98,40.66,25.27,-2.2814,-7.9796,0.9017,-0.3565
2026-05-17,0.24,量能状态,缩量,37.26,10,89,样本偏少,30.34,34.83,65.17,17.98,48.31,32.58,-6.8696,-8.6641,1.0071,-0.225
