component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,572,强,30.77,34.62,65.38,1.05,0,29.9,-0.6926,-1.2282,0.8853,-0.2087,2026-05-26
波动状态,波动压缩,3,572,强,31.47,34.27,65.73,9.62,8.92,35.31,-0.9503,-2.8828,0.952,-0.1648,2026-05-26
波动状态,波动压缩,5,570,强,30.53,34.74,65.26,13.16,21.4,37.72,-1.3756,-4.0076,0.9727,-0.1337,2026-05-17
波动状态,波动压缩,10,570,中强,23.16,38.42,61.58,24.56,35.44,38.95,0.1685,-4.65,1.0034,-0.1211,2026-05-17
波动状态,常态波动,1,416,弱,7.69,46.15,53.85,2.88,0.96,26.44,-0.3364,-0.6115,0.8821,-0.2124,2026-05-27
波动状态,常态波动,3,415,强,27.23,36.39,63.61,12.05,13.49,29.4,-0.3829,-3.0153,0.904,-0.1968,2026-05-24
波动状态,常态波动,5,415,中强,24.34,37.83,62.17,16.14,25.78,28.43,0.0532,-4.4793,0.9151,-0.1965,2026-05-24
波动状态,常态波动,10,412,强,34.95,32.52,67.48,24.03,40.78,32.77,0.4356,-7.1139,0.9591,-0.1679,2026-04-26
波动状态,低波动启动,1,813,中,11.44,55.72,44.28,11.56,2.34,53.63,1.7467,0.8344,1.1845,0.0396,2026-05-28
波动状态,低波动启动,3,812,中,13.79,56.9,43.1,24.38,6.53,50,4.4502,1.4895,1.1525,-0.0001,2026-05-22
波动状态,低波动启动,5,812,中强,18.23,59.11,40.89,32.39,10.84,47.91,7.3614,3.1565,1.1327,-0.0295,2026-05-22
波动状态,低波动启动,10,810,中强,24.69,62.35,37.65,41.85,16.17,45.06,12.687,5.6665,1.09,-0.0607,2026-05-19
波动状态,高波动扩张,1,193,弱,5.7,47.15,52.85,19.17,18.13,38.86,0.7767,-1.0689,1.0545,-0.1027,2026-02-05
波动状态,高波动扩张,3,193,中,8.81,45.6,54.4,20.73,24.87,32.12,1.2285,-1.5671,0.9576,-0.1759,2026-02-05
波动状态,高波动扩张,5,193,中,10.88,44.56,55.44,22.28,30.05,36.27,1.3935,-2.071,0.9419,-0.1911,2026-02-05
波动状态,高波动扩张,10,193,强,26.42,36.79,63.21,23.83,43.52,26.94,-0.6613,-6.5669,0.8455,-0.2648,2026-02-05
波动状态,高波动冷却,1,313,强,33.55,33.23,66.77,1.28,2.56,16.29,-1.6003,-1.8162,0.7438,-0.3251,2026-02-11
波动状态,高波动冷却,3,313,强,48.24,25.88,74.12,8.31,35.46,15.65,-4.5125,-6.3902,0.7335,-0.3257,2026-02-11
波动状态,高波动冷却,5,313,强,55.27,22.36,77.64,8.95,55.27,15.02,-7.7095,-11.2267,0.7361,-0.3257,2026-02-11
波动状态,高波动冷却,10,313,强,62.3,18.85,81.15,10.86,66.13,19.17,-12.9186,-17.9196,0.7765,-0.2697,2026-02-11
短ATR状态,短ATR降温,1,995,强,25.03,37.49,62.51,1.81,1.31,24.62,-0.9718,-1.3034,0.8354,-0.254,2026-05-27
短ATR状态,短ATR降温,3,994,强,36.22,31.89,68.11,8.75,17,28.67,-2.1085,-3.7667,0.8825,-0.2244,2026-05-26
