date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,0.12,波动状态,常态波动,81.26,1,418,强,26.32,36.84,63.16,5.98,0.24,26.32,-0.3339,-2.0848,0.8798,-0.214
2026-06-01,0.12,波动状态,常态波动,81.26,3,418,强,25.84,37.08,62.92,14.59,14.35,31.1,0.0661,-2.8849,0.9136,-0.1933
2026-06-01,0.12,波动状态,常态波动,81.26,5,418,强,26.79,36.6,63.4,15.79,29.43,28.95,-0.0017,-4.7974,0.9215,-0.1925
2026-06-01,0.12,波动状态,常态波动,81.26,10,415,强,34.94,32.53,67.47,21.2,42.41,33.49,0.2495,-7.5315,0.9639,-0.1589
2026-06-01,0.12,短ATR状态,短ATR升温,100.0,1,567,弱,3.35,51.68,48.32,13.23,1.76,57.32,2.1972,0.2289,1.2734,0.0995
2026-06-01,0.12,短ATR状态,短ATR升温,100.0,3,565,中强,17.17,58.58,41.42,32.39,9.73,52.57,6.1307,2.7339,1.2061,0.0306
2026-06-01,0.12,短ATR状态,短ATR升温,100.0,5,563,中强,22.2,61.1,38.9,39.25,15.28,48.49,9.3875,4.6742,1.1552,-0.0276
2026-06-01,0.12,短ATR状态,短ATR升温,100.0,10,563,中强,23.27,61.63,38.37,49.73,24.16,40.67,14.4386,9.8442,1.0279,-0.1027
2026-06-01,0.12,波动超额状态,接近一倍ATR,88.27,1,708,中强,19.49,40.25,59.75,7.63,0.56,36.3,0.3587,-1.5749,0.9805,-0.1422
2026-06-01,0.12,波动超额状态,接近一倍ATR,88.27,3,707,中,10.61,44.7,55.3,17.11,11.88,37.48,1.2722,-1.1317,0.9941,-0.1118
2026-06-01,0.12,波动超额状态,接近一倍ATR,88.27,5,707,弱,3.82,48.09,51.91,22.07,21.78,37.62,1.849,-0.797,0.9945,-0.12
2026-06-01,0.12,波动超额状态,接近一倍ATR,88.27,10,705,弱,6.1,46.95,53.05,30.21,31.21,39.43,3.034,-1.8263,1.016,-0.1021
2026-06-01,0.12,趋势状态,趋势不明,97.09,1,152,强,32.89,33.55,66.45,5.26,0.0,31.58,-0.2989,-2.0012,0.933,-0.1654
2026-06-01,0.12,趋势状态,趋势不明,97.09,3,152,中强,19.74,40.13,59.87,12.5,17.76,32.89,-0.3203,-1.4131,0.9659,-0.1687
2026-06-01,0.12,趋势状态,趋势不明,97.09,5,151,中,9.93,45.03,54.97,14.57,24.5,41.72,-0.4178,-1.8489,0.9788,-0.1143
2026-06-01,0.12,趋势状态,趋势不明,97.09,10,149,中强,16.78,41.61,58.39,27.52,30.87,38.93,4.3599,-4.4373,0.9976,-0.1349
2026-06-01,0.12,量能状态,量能正常,69.16,1,896,中强,24.55,37.72,62.28,6.25,1.23,37.61,0.0047,-1.7388,0.9898,-0.1271
2026-06-01,0.12,量能状态,量能正常,69.16,3,896,中强,16.74,41.63,58.37,16.07,13.39,36.61,0.8568,-1.997,0.9936,-0.1419
2026-06-01,0.12,量能状态,量能正常,69.16,5,896,中,13.39,43.3,56.7,20.42,22.32,39.62,1.7526,-2.1989,1.0056,-0.1258
2026-06-01,0.12,量能状态,量能正常,69.16,10,893,中,9.52,45.24,54.76,29.0,30.57,38.75,4.2472,-2.5708,1.0101,-0.1353
