date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-24,0.13,波动状态,低波动启动,78.45,1,49,样本偏少,18.37,59.18,40.82,28.57,10.2,51.02,4.4266,2.634,1.4196,0.0798
2026-05-24,0.13,波动状态,低波动启动,78.45,3,48,样本偏少,37.5,68.75,31.25,47.92,16.67,45.83,12.1315,8.3532,1.2676,-0.0403
2026-05-24,0.13,波动状态,低波动启动,78.45,5,47,样本偏少,23.4,61.7,38.3,53.19,23.4,40.43,18.7184,13.0902,1.128,-0.0859
2026-05-24,0.13,波动状态,低波动启动,78.45,10,44,样本偏少,68.18,84.09,15.91,68.18,11.36,31.82,36.6239,28.8138,0.9748,-0.2034
2026-05-24,0.13,短ATR状态,短ATR中性,90.48,1,30,样本偏少,26.67,36.67,63.33,6.67,13.33,26.67,-0.8825,-3.348,0.9748,-0.2498
2026-05-24,0.13,短ATR状态,短ATR中性,90.48,3,30,样本偏少,0.0,50.0,50.0,30.0,30.0,20.0,-0.3202,-1.4191,1.0411,-0.2452
2026-05-24,0.13,短ATR状态,短ATR中性,90.48,5,30,样本偏少,6.67,53.33,46.67,43.33,26.67,23.33,3.6716,2.8216,0.9127,-0.2452
2026-05-24,0.13,短ATR状态,短ATR中性,90.48,10,30,样本偏少,33.33,66.67,33.33,50.0,23.33,20.0,8.7492,10.7453,0.8765,-0.2493
2026-05-24,0.13,波动超额状态,振幅已超ATR,44.12,1,26,样本偏少,15.38,57.69,42.31,26.92,15.38,69.23,3.2438,2.7238,1.7612,0.3539
2026-05-24,0.13,波动超额状态,振幅已超ATR,44.12,3,26,样本偏少,46.15,73.08,26.92,61.54,11.54,61.54,17.2049,10.7597,1.4422,0.1298
2026-05-24,0.13,波动超额状态,振幅已超ATR,44.12,5,26,样本偏少,38.46,69.23,30.77,69.23,15.38,53.85,30.6173,31.3865,1.1465,0.0757
2026-05-24,0.13,波动超额状态,振幅已超ATR,44.12,10,25,样本偏少,84.0,92.0,8.0,72.0,4.0,24.0,47.0196,29.4296,0.863,-0.2964
2026-05-24,0.13,趋势状态,弱趋势混合,75.0,1,24,样本偏少,25.0,37.5,62.5,8.33,20.83,20.83,-1.9868,-2.2965,0.8225,-0.3227
2026-05-24,0.13,趋势状态,弱趋势混合,75.0,3,22,样本偏少,0.0,50.0,50.0,36.36,27.27,13.64,1.5381,0.6047,0.925,-0.3231
2026-05-24,0.13,趋势状态,弱趋势混合,75.0,5,21,样本偏少,14.29,42.86,57.14,42.86,33.33,23.81,0.9648,-5.8441,0.9097,-0.2661
2026-05-24,0.13,趋势状态,弱趋势混合,75.0,10,20,样本偏少,30.0,35.0,65.0,30.0,60.0,20.0,-4.9839,-19.6745,0.8011,-0.2608
2026-05-24,0.13,量能状态,放量,20.18,1,24,样本偏少,25.0,62.5,37.5,33.33,16.67,66.67,5.1609,3.6355,1.7779,0.4787
2026-05-24,0.13,量能状态,放量,20.18,3,24,样本偏少,50.0,75.0,25.0,54.17,16.67,50.0,14.5922,10.3545,1.3493,0.05
2026-05-24,0.13,量能状态,放量,20.18,5,24,样本偏少,25.0,62.5,37.5,62.5,20.83,45.83,25.4513,18.8713,1.0789,-0.0403
2026-05-24,0.13,量能状态,放量,20.18,10,22,样本偏少,90.91,95.45,4.55,68.18,0.0,27.27,43.4437,28.0911,0.9569,-0.2034
