component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,4946,中强,24.71,37.65,62.35,3.52,0.02,38.6,0.0714,-1.0435,0.9866,-0.1169,2026-06-01 04:00
波动超额状态,接近一倍ATR,3,4946,中强,16.3,41.85,58.15,11.2,4.41,38.8,0.4529,-1.3934,1.0028,-0.1124,2026-06-01 04:00
波动超额状态,接近一倍ATR,5,4945,中,13.65,43.17,56.83,16.93,14.96,38.54,1.0243,-1.6846,0.9961,-0.1245,2026-05-31 20:00
波动超额状态,接近一倍ATR,10,4942,弱,7.89,46.05,53.95,26.53,28.33,37.68,2.5873,-1.6426,0.9858,-0.126,2026-05-31 00:00
波动超额状态,振幅未满ATR,1,6566,强,44.84,27.58,72.42,2.47,0,26.99,2356460123838627,-2.0871,0.8132,-0.2469,2026-06-01 12:00
波动超额状态,振幅未满ATR,3,6564,强,39.21,30.39,69.61,7.56,15.37,30.87,7485447880725603,-3.8295,0.8522,-0.2186,2026-06-01 00:00
波动超额状态,振幅未满ATR,5,6563,强,34.54,32.73,67.27,11.56,29.64,31.68,13238536011098610,-4.7928,0.8675,-0.2051,2026-05-31 16:00
波动超额状态,振幅未满ATR,10,6562,强,29.14,35.43,64.57,19.22,40.41,35.8,25685598252809812,-6.1953,0.9124,-0.1586,2026-05-28 08:00
波动超额状态,振幅已超ATR,1,3482,弱,2.87,48.56,51.44,6.89,0,52.15,1.5907,-0.1362,1.1639,0.0234,2026-05-31 08:00
波动超额状态,振幅已超ATR,3,3482,弱,6.78,53.39,46.61,18.41,2.81,44.57,3.3108,0.714,1.0676,-0.0559,2026-05-31 08:00
波动超额状态,振幅已超ATR,5,3482,中,8.04,54.02,45.98,25.3,10.11,43.42,4.438,1.1467,1.0485,-0.067,2026-05-31 08:00
波动超额状态,振幅已超ATR,10,3481,弱,7.21,53.61,46.39,32.69,22.32,36.94,5.7249,1.7334,0.9788,-0.1396,2026-05-30 04:00
波动状态,波动压缩,1,3582,强,43.61,28.2,71.8,2.26,0,27.19,4319519032139705,-2.1061,0.7728,-0.271,2026-05-28 08:00
波动状态,波动压缩,3,3582,强,34.79,32.61,67.39,7.65,19.54,31.57,13717051895333014,-3.5678,0.8232,-0.231,2026-05-28 08:00
波动状态,波动压缩,5,3582,强,29.31,35.34,64.66,12.34,30.51,31.07,24255865952216690,-3.8824,0.8277,-0.2238,2026-05-28 08:00
波动状态,波动压缩,10,3582,中强,21.38,39.31,60.69,21.52,36.99,36.13,47054409752914010,-4.4813,0.879,-0.1558,2026-05-28 08:00
波动状态,常态波动,1,3184,强,35.99,32,68,2.92,0,33.04,-0.3368,-1.432,0.9332,-0.1666,2026-05-31 20:00
波动状态,常态波动,3,3184,强,28.58,35.71,64.29,9.48,4.62,35.8,-0.3561,-2.4796,0.9672,-0.143,2026-05-31 20:00
波动状态,常态波动,5,3184,中强,22.68,38.66,61.34,13.35,18.06,35.84,-0.3576,-3.0576,0.9618,-0.1521,2026-05-31 20:00
波动状态,常态波动,10,3182,中强,18.92,40.54,59.46,22.41,32.81,37.55,0.4694,-3.8965,0.9806,-0.1346,2026-05-31 00:00
波动状态,低波动启动,1,4340,弱,7.88,46.06,53.94,5.14,0,47.83,1.1229,-0.3295,1.1065,-0.0281,2026-05-29 04:00
波动状态,低波动启动,3,4340,弱,2.58,51.29,48.71,15.83,2.1,43.04,2.5728,0.2631,1.0545,-0.0708,2026-05-29 04:00
波动状态,低波动启动,5,4340,弱,6.59,53.29,46.71,23.48,8.71,43.96,3.9772,0.9098,1.0599,-0.0655,2026-05-29 04:00
波动状态,低波动启动,10,4340,中,12.67,56.34,43.66,33.85,18.92,39.12,6.6615,2.7302,1.0099,-0.117,2026-05-29 04:00
波动状态,高波动扩张,1,2189,中强,17.86,41.07,58.93,6.35,0.05,43.72,0.6375,-0.9195,1.0577,-0.0633,2026-06-01 04:00
波动状态,高波动扩张,3,2189,中,11.47,44.27,55.73,15.03,7.04,41.07,1.1945,-1.0238,1.0132,-0.0953,2026-06-01 04:00
波动状态,高波动扩张,5,2188,中,13.8,43.1,56.9,20.11,18.88,37.89,1.4148,-1.7674,0.9812,-0.1184,2026-05-31 12:00
波动状态,高波动扩张,10,2186,中强,17.57,41.22,58.78,25.34,35.59,33.76,0.9585,-4.2341,0.9394,-0.1625,2026-05-30 20:00
波动状态,高波动冷却,1,1699,强,48.56,25.72,74.28,2.35,0,25.78,-1.1774,-2.3391,0.8329,-0.2504,2026-06-01 12:00
波动状态,高波动冷却,3,1697,强,50.03,24.99,75.01,5.83,13.73,27.05,-2.9682,-4.9799,0.8533,-0.2377,2026-06-01 00:00
波动状态,高波动冷却,5,1696,强,51.53,24.23,75.77,8.9,34.08,29.83,-4.3133,-6.8079,0.8821,-0.2116,2026-05-31 16:00
波动状态,高波动冷却,10,1695,强,50.09,24.96,75.04,11.98,50.8,33.75,-6.6347,-10.2171,0.9212,-0.1728,2026-04-12 04:00
短ATR状态,短ATR降温,1,5446,强,45.91,27.05,72.95,2.3,0.02,26.46,2841079172442971.5,-2.1885,0.7909,-0.2636,2026-05-27 12:00
短ATR状态,短ATR降温,3,5446,强,39.22,30.39,69.61,7.23,17.17,30.66,9022122638465454,-4.0096,0.8414,-0.2224,2026-05-27 12:00
短ATR状态,短ATR降温,5,5446,强,36.83,31.58,68.42,11.6,30.89,31.27,15953821491156844,-4.9775,0.8497,-0.2078,2026-05-27 12:00
短ATR状态,短ATR降温,10,5446,强,27.84,36.08,63.92,19.89,40.58,35.53,30949117836015052,-6.0697,0.8975,-0.1644,2026-05-27 12:00
短ATR状态,短ATR升温,1,3955,中,8.02,45.99,54.01,6.32,0,49.71,1.3173,-0.3433,1.132,-0.0052,2026-05-31 12:00
短ATR状态,短ATR升温,3,3955,弱,2.3,51.15,48.85,17.14,3.14,44.27,2.8089,0.2485,1.0588,-0.0551,2026-05-31 12:00
短ATR状态,短ATR升温,5,3955,弱,6.3,53.15,46.85,24.32,10.87,42.55,3.9584,0.8848,1.042,-0.075,2026-05-31 12:00
短ATR状态,短ATR升温,10,3952,弱,3.69,51.85,48.15,31.4,23.61,38.71,5.1632,0.8438,0.9913,-0.1186,2026-05-31 00:00
短ATR状态,短ATR中性,1,5593,强,25.91,37.05,62.95,3.59,0,37.37,0.0275,-1.1291,0.9812,-0.1253,2026-06-01 12:00
短ATR状态,短ATR中性,3,5591,中强,19.66,40.17,59.83,11.07,4.76,37.13,0.3359,-1.7636,0.9839,-0.1341,2026-06-01 04:00
短ATR状态,短ATR中性,5,5589,中强,16.19,41.9,58.1,15.8,16.55,37.77,0.737,-2.0362,0.9879,-0.1265,2026-05-31 20:00
