date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-30 16:00,0.12,波动状态,高波动扩张,63.62,1,760,弱,7.37,53.68,46.32,6.58,2.37,45.92,0.7764,0.4752,1.0767,-0.0376
2026-05-30 16:00,0.12,波动状态,高波动扩张,63.62,3,758,弱,4.75,47.63,52.37,17.55,9.76,40.5,1.4458,-0.5386,1.0211,-0.1132
2026-05-30 16:00,0.12,波动状态,高波动扩张,63.62,5,756,中,11.11,44.44,55.56,18.78,19.44,35.19,0.9334,-1.3548,0.9533,-0.1401
2026-05-30 16:00,0.12,波动状态,高波动扩张,63.62,10,755,中,13.91,43.05,56.95,23.31,32.58,38.54,0.3123,-3.3409,0.9741,-0.1401
2026-05-30 16:00,0.12,短ATR状态,短ATR升温,100,1,1022,弱,5.48,52.74,47.26,6.07,1.66,50,1.1808,0.2966,1.123,0
2026-05-30 16:00,0.12,短ATR状态,短ATR升温,100,3,1020,弱,7.65,53.82,46.18,18.43,6.08,44.31,2.4967,0.6699,1.0639,-0.0563
2026-05-30 16:00,0.12,短ATR状态,短ATR升温,100,5,1018,弱,5.89,52.95,47.05,21.91,12.77,40.96,3.3767,0.6764,1.0382,-0.0999
2026-05-30 16:00,0.12,短ATR状态,短ATR升温,100,10,1016,弱,7.28,53.64,46.36,31,22.74,40.35,5.3076,1.427,1.011,-0.1168
2026-05-30 16:00,0.12,余动能状态,动能已超ATR,53.64,1,910,中,10.99,55.49,44.51,6.7,2.09,50.22,1.4612,0.7645,1.1494,0.0014
2026-05-30 16:00,0.12,余动能状态,动能已超ATR,53.64,3,909,中,10.23,55.12,44.88,19.25,4.84,47.52,3.2038,1.112,1.0935,-0.0339
2026-05-30 16:00,0.12,余动能状态,动能已超ATR,53.64,5,907,中,8.05,54.02,45.98,22.38,11.69,39.47,3.7057,0.8539,1.0062,-0.1141
2026-05-30 16:00,0.12,余动能状态,动能已超ATR,53.64,10,904,中,9.07,54.54,45.46,31.08,22.01,39.27,5.4701,1.8265,1.0007,-0.1351
2026-05-30 16:00,0.12,趋势状态,强趋势上行,100,1,1134,中,8.47,45.77,54.23,3.62,0.71,51.5,0.3504,-0.4185,1.1269,0.0129
2026-05-30 16:00,0.12,趋势状态,强趋势上行,100,3,1132,中,8.48,54.24,45.76,16.61,3.18,48.85,2.2936,0.6442,1.1068,-0.0112
2026-05-30 16:00,0.12,趋势状态,强趋势上行,100,5,1130,中强,18.23,59.12,40.88,23.98,7.35,48.67,4.101,2.0042,1.0947,-0.015
2026-05-30 16:00,0.12,趋势状态,强趋势上行,100,10,1129,强,32.15,66.08,33.92,37.73,13.37,45.79,8.1245,5.6305,1.066,-0.0489
2026-05-30 16:00,0.12,量能状态,放量,19.91,1,633,中,8.69,54.34,45.66,7.42,2.05,52.61,1.6672,0.5272,1.1879,0.0223
2026-05-30 16:00,0.12,量能状态,放量,19.91,3,631,中,14.42,57.21,42.79,20.44,3.65,47.39,3.6322,1.4128,1.0971,-0.0369
2026-05-30 16:00,0.12,量能状态,放量,19.91,5,629,中,12.88,56.44,43.56,24.32,10.81,41.18,4.3572,1.0214,1.0213,-0.1083
2026-05-30 16:00,0.12,量能状态,放量,19.91,10,625,中,12.96,56.48,43.52,33.92,21.28,42.56,6.5166,2.803,1.0345,-0.0858
