date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0.1,波动状态,波动压缩,14.31,1,96,样本偏少,16.67,41.67,58.33,4.17,0,38.54,-0.1627,-0.7254,0.9584,-0.1501
2026-05-29,0.1,波动状态,波动压缩,14.31,3,96,样本偏少,0,50,50,17.71,3.13,42.71,2.8653,-0.3806,1.0643,-0.0774
2026-05-29,0.1,波动状态,波动压缩,14.31,5,95,样本偏少,9.47,45.26,54.74,23.16,13.68,40,4.3017,-0.8516,0.9872,-0.0522
2026-05-29,0.1,波动状态,波动压缩,14.31,10,93,样本偏少,26.88,63.44,36.56,40.86,15.05,44.09,12.0317,5.4361,1.0238,-0.065
2026-05-29,0.1,短ATR状态,短ATR降温,58.87,1,433,强,29.33,35.33,64.67,3.23,0.92,24.71,-0.7568,-1.705,0.8555,-0.2635
2026-05-29,0.1,短ATR状态,短ATR降温,58.87,3,433,强,27.48,36.26,63.74,12.7,16.4,29.56,-1.1439,-3.6771,0.8963,-0.2175
2026-05-29,0.1,短ATR状态,短ATR降温,58.87,5,432,强,25,37.5,62.5,17.82,31.94,31.48,-1.1255,-3.6949,0.9332,-0.1663
2026-05-29,0.1,短ATR状态,短ATR降温,58.87,10,430,中强,18.14,40.93,59.07,25.58,36.05,34.65,0.2409,-4.2618,0.9513,-0.1583
2026-05-29,0.1,余动能状态,余动能不足,29.2,1,423,强,30.97,34.52,65.48,1.42,0,22.7,-1.0002,-1.4684,0.8277,-0.274
2026-05-29,0.1,余动能状态,余动能不足,29.2,3,423,强,28.13,35.93,64.07,11.58,15.37,28.37,-1.123,-3.4285,0.8955,-0.2224
2026-05-29,0.1,余动能状态,余动能不足,29.2,5,422,强,28.44,35.78,64.22,16.59,31.52,27.73,-1.5478,-3.988,0.8962,-0.1964
2026-05-29,0.1,余动能状态,余动能不足,29.2,10,420,中强,23.81,38.1,61.9,22.62,40,33.33,-1.3256,-5.6566,0.9235,-0.1716
2026-05-29,0.1,趋势状态,强趋势下行,100,1,470,中,11.06,44.47,55.53,6.17,1.49,20.64,0.3036,-0.7405,0.8298,-0.2859
2026-05-29,0.1,趋势状态,强趋势下行,100,3,468,强,26.5,36.75,63.25,14.53,18.8,24.79,-0.3746,-3.2948,0.8504,-0.2608
2026-05-29,0.1,趋势状态,强趋势下行,100,5,466,强,28.76,35.62,64.38,17.38,35.62,25.54,-1.2443,-5.4234,0.8646,-0.2587
2026-05-29,0.1,趋势状态,强趋势下行,100,10,461,强,30.59,34.71,65.29,21.69,44.69,27.55,-2.1698,-7.6895,0.8901,-0.2348
2026-05-29,0.1,量能状态,量能正常,98.76,1,382,弱,3.66,51.83,48.17,7.85,1.31,37.96,0.9239,0.1873,1.0054,-0.1209
2026-05-29,0.1,量能状态,量能正常,98.76,3,381,弱,1.84,49.08,50.92,18.64,11.81,37.27,2.3924,-0.0681,0.9917,-0.1492
2026-05-29,0.1,量能状态,量能正常,98.76,5,381,弱,2.89,48.56,51.44,26.25,17.32,34.38,3.8669,-0.2295,0.9688,-0.1481
2026-05-29,0.1,量能状态,量能正常,98.76,10,379,弱,6.6,53.3,46.7,33.77,23.75,34.04,4.0724,1.3602,0.9708,-0.1489
