component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,2278,中强,22.65,38.67,61.33,3.78,0.0,39.77,0.2004,-0.9985,0.9997,-0.1055,2026-06-01 20:00
波动超额状态,接近一倍ATR,3,2278,中,12.12,43.94,56.06,11.76,4.43,39.82,0.7374,-1.2035,1.0092,-0.1106,2026-06-01 20:00
波动超额状态,接近一倍ATR,5,2277,中,10.5,44.75,55.25,17.83,15.63,38.78,1.3868,-1.3539,1.0033,-0.1213,2026-06-01 12:00
波动超额状态,接近一倍ATR,10,2275,弱,6.2,46.9,53.1,25.76,27.56,34.86,2.5636,-1.3384,0.9626,-0.1578,2026-05-31 04:00
波动超额状态,振幅未满ATR,1,2897,强,40.84,29.58,70.42,2.35,0.0,28.58,-0.7465,-1.79,0.8801,-0.2144,2026-06-02 08:00
波动超额状态,振幅未满ATR,3,2896,强,34.32,32.84,67.16,8.49,8.15,32.53,-1.0213,-3.1071,0.9318,-0.176,2026-06-01 08:00
波动超额状态,振幅未满ATR,5,2896,强,27.62,36.19,63.81,13.85,22.82,34.67,-0.8802,-3.5641,0.9564,-0.1632,2026-06-01 08:00
波动超额状态,振幅未满ATR,10,2895,中强,22.21,38.89,61.11,20.83,35.3,39.27,-0.3387,-4.3616,1.0038,-0.1122,2026-05-31 16:00
波动超额状态,振幅已超ATR,1,1595,弱,5.96,47.02,52.98,6.65,0.0,49.22,1.6797,-0.2882,1.1468,-0.0111,2026-06-02 04:00
波动超额状态,振幅已超ATR,3,1594,弱,1.88,50.94,49.06,16.94,2.95,41.97,3.0314,0.2116,1.0396,-0.0831,2026-06-02 00:00
波动超额状态,振幅已超ATR,5,1593,弱,2.7,51.35,48.65,22.79,12.12,39.55,3.5871,0.4383,1.0034,-0.1012,2026-06-01 16:00
波动超额状态,振幅已超ATR,10,1591,弱,5.22,52.61,47.39,31.49,23.63,36.83,5.7076,0.9678,0.9761,-0.1348,2026-05-31 20:00
波动状态,波动压缩,1,1076,强,31.04,34.48,65.52,3.07,0.0,33.64,-0.3495,-1.3541,0.9304,-0.1658,2026-06-01 08:00
波动状态,波动压缩,3,1076,中强,20.63,39.68,60.32,11.43,5.2,39.03,0.3965,-1.9798,0.9991,-0.1152,2026-06-01 08:00
