date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-30 16:00,0.1,波动状态,波动压缩,5.05,1,509,强,32.02,33.99,66.01,1.96,0,31.43,-0.4409,-1.4208,0.9224,-0.2038
2026-05-30 16:00,0.1,波动状态,波动压缩,5.05,3,508,中,14.57,42.72,57.28,10.43,4.92,37.4,0.3817,-1.6718,0.9825,-0.1205
2026-05-30 16:00,0.1,波动状态,波动压缩,5.05,5,508,中,11.02,44.49,55.51,17.52,13.78,43.31,1.9609,-1.3695,1.0545,-0.0696
2026-05-30 16:00,0.1,波动状态,波动压缩,5.05,10,508,弱,4.33,52.17,47.83,29.72,19.69,45.87,7.0622,0.8058,1.0435,-0.0384
2026-05-30 16:00,0.1,短ATR状态,短ATR降温,80.03,1,1226,强,34.91,32.54,67.46,1.55,0,27.32,-0.7283,-1.4929,0.8798,-0.2159
2026-05-30 16:00,0.1,短ATR状态,短ATR降温,80.03,3,1225,强,29.96,35.02,64.98,7.92,9.55,32.49,-1.1654,-3.0753,0.9312,-0.175
2026-05-30 16:00,0.1,短ATR状态,短ATR降温,80.03,5,1225,强,28.16,35.92,64.08,13.96,24.08,35.84,-0.8284,-3.3704,0.9676,-0.1502
2026-05-30 16:00,0.1,短ATR状态,短ATR降温,80.03,10,1225,中强,20.33,39.84,60.16,21.55,35.43,38.78,0.033,-4.585,0.991,-0.1166
2026-05-30 16:00,0.1,余动能状态,余动能不足,26.03,1,1387,强,39.87,30.06,69.94,1.51,0,27.11,-0.868,-1.5908,0.8713,-0.221
2026-05-30 16:00,0.1,余动能状态,余动能不足,26.03,3,1386,强,34.05,32.97,67.03,8.15,9.45,32.25,-1.4291,-3.2741,0.9278,-0.1762
2026-05-30 16:00,0.1,余动能状态,余动能不足,26.03,5,1385,强,32.71,33.65,66.35,12.85,24.77,35.81,-1.5113,-4.1071,0.9623,-0.1497
2026-05-30 16:00,0.1,余动能状态,余动能不足,26.03,10,1384,强,25.29,37.36,62.64,20.01,36.27,37.07,-0.4233,-5.586,0.9602,-0.128
2026-05-30 16:00,0.1,趋势状态,强趋势下行,100,1,1277,中,11.35,44.32,55.68,4.15,0.39,31.48,0.4583,-0.5783,0.9233,-0.191
2026-05-30 16:00,0.1,趋势状态,强趋势下行,100,3,1275,中强,24.71,37.65,62.35,11.22,11.45,32.08,0.2211,-2.7504,0.9242,-0.1867
2026-05-30 16:00,0.1,趋势状态,强趋势下行,100,5,1273,强,33.7,33.15,66.85,14.14,26.87,30.64,-0.0417,-4.2219,0.9049,-0.1966
2026-05-30 16:00,0.1,趋势状态,强趋势下行,100,10,1269,强,33.18,33.41,66.59,18.05,42.32,33.65,-1.5596,-6.873,0.9316,-0.1689
2026-05-30 16:00,0.1,量能状态,缩量,9.71,1,1431,强,35.71,32.15,67.85,0.98,0,27.04,-0.9734,-1.6123,0.8567,-0.2226
2026-05-30 16:00,0.1,量能状态,缩量,9.71,3,1431,强,36.27,31.87,68.13,7.2,10.83,31.17,-1.7648,-3.5787,0.9097,-0.2037
2026-05-30 16:00,0.1,量能状态,缩量,9.71,5,1431,强,36.97,31.52,68.48,11.81,25.51,34.8,-1.853,-4.6415,0.9596,-0.165
2026-05-30 16:00,0.1,量能状态,缩量,9.71,10,1429,强,29.46,35.27,64.73,18.19,37.3,36.6,-1.5049,-6.0266,0.9672,-0.1297
