component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,285,强,29.82,35.09,64.91,2.81,0,27.72,-0.2523,-1.3618,0.8969,-0.221,2026-05-21
波动状态,波动压缩,3,285,强,36.84,31.58,68.42,9.47,6.32,31.23,-0.4912,-2.882,0.9194,-0.1805,2026-05-21
波动状态,波动压缩,5,285,强,31.93,34.04,65.96,13.68,24.21,35.44,-0.5541,-4.2102,0.9533,-0.1707,2026-05-21
波动状态,波动压缩,10,283,中强,23.67,38.16,61.84,22.61,37.46,36.75,1.3128,-6.2267,0.9824,-0.1583,2026-05-09
波动状态,常态波动,1,262,弱,7.63,53.82,46.18,1.53,0.38,35.11,0.1598,0.5902,0.9379,-0.1775,2026-05-25
波动状态,常态波动,3,262,中强,19.08,40.46,59.54,16.41,9.92,38.17,0.4426,-2.0955,0.9591,-0.1368,2026-05-25
波动状态,常态波动,5,261,中强,17.24,41.38,58.62,22.61,19.54,33.33,0.9689,-2.4145,0.9341,-0.1703,2026-05-23
波动状态,常态波动,10,260,弱,6.15,46.92,53.08,28.46,29.23,36.54,1.7563,-1.1765,0.9695,-0.1578,2026-05-18
波动状态,低波动启动,1,399,中,12.28,56.14,43.86,9.27,1.75,51.13,1.6073,0.8509,1.1485,0.0129,2026-05-27
波动状态,低波动启动,3,398,中,13.07,56.53,43.47,23.87,5.53,46.73,4.4032,1.9417,1.113,-0.0444,2026-05-26
波动状态,低波动启动,5,397,中强,22.92,61.46,38.54,30.73,9.82,46.1,7.1665,3.0724,1.1155,-0.0434,2026-05-24
波动状态,低波动启动,10,395,强,31.14,65.57,34.43,46.08,15.19,42.78,13.2352,7.9064,1.0788,-0.0865,2026-05-19
波动状态,高波动扩张,1,173,弱,4.05,47.98,52.02,15.61,20.23,35.84,0.0489,-1.0513,1.028,-0.1256,2026-05-28
波动状态,高波动扩张,3,172,弱,4.65,47.67,52.33,22.67,25.58,31.98,0.3389,-1.1193,1.0038,-0.141,2026-03-01
波动状态,高波动扩张,5,172,中,12.79,43.6,56.4,25,33.14,30.81,-0.2674,-3.7043,0.9541,-0.1421,2026-03-01
波动状态,高波动扩张,10,172,强,25.58,37.21,62.79,29.07,43.6,25,-2.5621,-7.5908,0.8979,-0.2015,2026-03-01
