date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,2.06,波动状态,波动压缩,36.77,1,24,样本偏少,0,50,50,4.17,0,16.67,0.3896,-0.1887,0.8835,-0.2145
2026-05-17,2.06,波动状态,波动压缩,36.77,3,23,样本偏少,30.43,34.78,65.22,17.39,26.09,21.74,1.1325,-4.7922,0.9783,-0.2279
2026-05-17,2.06,波动状态,波动压缩,36.77,5,22,样本偏少,0,50,50,31.82,36.36,45.45,5.5916,-1.4233,1.0823,-0.0963
2026-05-17,2.06,波动状态,波动压缩,36.77,10,21,样本偏少,42.86,71.43,28.57,61.9,14.29,33.33,26.4984,25.3903,0.935,-0.2515
2026-05-17,2.06,短ATR状态,短ATR降温,100,1,90,样本偏少,0,50,50,12.22,16.67,12.22,-0.0594,0.0973,0.7479,-0.2979
2026-05-17,2.06,短ATR状态,短ATR降温,100,3,88,样本偏少,15.91,42.05,57.95,22.73,28.41,14.77,-1.062,-3.5727,0.7977,-0.2878
2026-05-17,2.06,短ATR状态,短ATR降温,100,5,86,样本偏少,20.93,39.53,60.47,26.74,40.7,18.6,-2.3357,-6.1877,0.826,-0.2786
2026-05-17,2.06,短ATR状态,短ATR降温,100,10,81,样本偏少,28.4,35.8,64.2,25.93,48.15,20.99,-1.4336,-8.5885,0.8831,-0.259
2026-05-17,2.06,余动能状态,余动能不足,31.02,1,80,样本偏少,2.5,48.75,51.25,7.5,12.5,11.25,-0.4111,-0.063,0.7354,-0.3275
2026-05-17,2.06,余动能状态,余动能不足,31.02,3,79,样本偏少,21.52,39.24,60.76,24.05,25.32,15.19,-0.5269,-2.5664,0.7963,-0.3167
2026-05-17,2.06,余动能状态,余动能不足,31.02,5,78,样本偏少,23.08,38.46,61.54,23.08,42.31,17.95,-2.7199,-6.1877,0.8419,-0.2784
2026-05-17,2.06,余动能状态,余动能不足,31.02,10,73,样本偏少,12.33,43.84,56.16,30.14,39.73,21.92,2.2292,-5.2363,0.8551,-0.256
2026-05-17,2.06,趋势状态,趋势不明,71.82,1,6,样本偏少,33.33,33.33,66.67,0,16.67,16.67,-5.7176,-3.476,0.7663,-0.3257
2026-05-17,2.06,趋势状态,趋势不明,71.82,3,5,样本偏少,20,40,60,40,40,40,-2.0187,-0.9536,1.191,-0.4467
2026-05-17,2.06,趋势状态,趋势不明,71.82,5,5,样本偏少,20,60,40,60,20,20,12.7274,13.1381,0.8935,-0.2612
2026-05-17,2.06,趋势状态,趋势不明,71.82,10,5,样本偏少,20,60,40,60,20,20,31.5167,49.0249,0.8184,-0.0534
2026-05-17,2.06,量能状态,缩量,6.74,1,70,样本偏少,2.86,51.43,48.57,7.14,12.86,11.43,-0.3477,0.379,0.7176,-0.3207
2026-05-17,2.06,量能状态,缩量,6.74,3,69,样本偏少,15.94,42.03,57.97,21.74,26.09,10.14,-1.2342,-2.5664,0.7185,-0.3312
2026-05-17,2.06,量能状态,缩量,6.74,5,67,样本偏少,22.39,38.81,61.19,23.88,43.28,14.93,-3.2287,-6.9275,0.7925,-0.3147
2026-05-17,2.06,量能状态,缩量,6.74,10,62,样本偏少,19.35,40.32,59.68,25.81,40.32,16.13,-1.9345,-6.2553,0.7924,-0.2697
