date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-31 00:00,2,波动状态,波动压缩,6.48,1,1505,强,32.49,33.75,66.25,2.19,0,33.55,-0.3789,-1.3359,0.9314,-0.1894
2026-05-31 00:00,2,波动状态,波动压缩,6.48,3,1505,中强,19.6,40.2,59.8,11.16,3.92,37.34,0.2634,-1.8578,0.9916,-0.1295
2026-05-31 00:00,2,波动状态,波动压缩,6.48,5,1505,中,11.63,44.19,55.81,17.74,13.69,40.07,1.5873,-1.4346,1.0191,-0.1132
2026-05-31 00:00,2,波动状态,波动压缩,6.48,10,1505,弱,0.33,49.83,50.17,28.37,22.13,44.72,4.5757,-0.0346,1.0606,-0.0706
2026-05-31 00:00,2,短ATR状态,短ATR降温,100,1,2617,强,37.87,31.07,68.93,1.76,0,29.38,-0.7206,-1.578,0.8868,-0.2176
2026-05-31 00:00,2,短ATR状态,短ATR降温,100,3,2615,强,31.17,34.42,65.58,8.15,6.39,33.42,-1.2011,-2.8921,0.9417,-0.176
2026-05-31 00:00,2,短ATR状态,短ATR降温,100,5,2613,强,30.5,34.75,65.25,13.39,20.78,34.79,-1.331,-3.656,0.9528,-0.1647
2026-05-31 00:00,2,短ATR状态,短ATR降温,100,10,2610,中强,18.7,40.65,59.35,21.23,31.76,40.96,0.3988,-3.3286,1.0202,-0.0977
2026-05-31 00:00,2,余动能状态,余动能不足,32.19,1,3285,强,41.55,29.22,70.78,1.37,0,28.22,-0.8727,-1.6858,0.8737,-0.2266
2026-05-31 00:00,2,余动能状态,余动能不足,32.19,3,3283,强,32.38,33.81,66.19,7.83,7.13,33.38,-1.3414,-3.0636,0.9301,-0.1745
2026-05-31 00:00,2,余动能状态,余动能不足,32.19,5,3281,强,30.27,34.87,65.13,12.68,22.4,34.56,-1.4561,-3.6366,0.9502,-0.1662
2026-05-31 00:00,2,余动能状态,余动能不足,32.19,10,3277,中强,24.93,37.53,62.47,19.74,35.31,39.64,-0.9816,-4.7742,1.0027,-0.1097
2026-05-31 00:00,2,趋势状态,强趋势下行,100,1,1974,中,10.64,44.68,55.32,4.36,0.05,35.56,0.6073,-0.5363,0.9665,-0.1556
2026-05-31 00:00,2,趋势状态,强趋势下行,100,3,1974,中强,21.18,39.41,60.59,11.85,9.02,33.74,0.5282,-1.9949,0.9428,-0.1821
2026-05-31 00:00,2,趋势状态,强趋势下行,100,5,1974,强,25.13,37.44,62.56,15.05,23.66,32.37,0.0537,-3.1629,0.9279,-0.1909
2026-05-31 00:00,2,趋势状态,强趋势下行,100,10,1969,强,36.11,31.95,68.05,17.52,42.31,31.23,-1.5596,-7.2282,0.9147,-0.1949
2026-05-31 00:00,2,量能状态,缩量,17.08,1,3662,强,38.12,30.94,69.06,1.47,0,28.89,-0.8319,-1.6517,0.8818,-0.2198
2026-05-31 00:00,2,量能状态,缩量,17.08,3,3660,强,31.04,34.48,65.52,7.68,7.62,34.62,-1.3474,-2.8761,0.942,-0.1689
2026-05-31 00:00,2,量能状态,缩量,17.08,5,3659,强,28.4,35.8,64.2,12.82,21.73,34.87,-1.2554,-3.3658,0.9568,-0.161
2026-05-31 00:00,2,量能状态,缩量,17.08,10,3656,中强,22.48,38.76,61.24,20.35,34.68,39.96,-0.5291,-4.3436,1.0122,-0.1077
