date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,8.96,波动状态,波动压缩,49.06,1,565,中强,24.96,37.52,62.48,1.42,0.18,28.85,-0.7082,-1.1063,0.8672,-0.2177
2026-05-29,8.96,波动状态,波动压缩,49.06,3,565,强,29.2,35.4,64.6,11.15,8.67,37.7,-0.5609,-2.7096,0.9414,-0.1545
2026-05-29,8.96,波动状态,波动压缩,49.06,5,563,强,32.5,33.75,66.25,15.99,20.78,37.12,-0.4864,-3.8512,0.9587,-0.1494
2026-05-29,8.96,波动状态,波动压缩,49.06,10,561,中强,22.99,38.5,61.5,21.75,36.36,39.57,0.5446,-4.7736,0.9661,-0.1171
2026-05-29,8.96,短ATR状态,短ATR中性,90.36,1,588,弱,2.04,48.98,51.02,5.44,2.72,37.41,0.4205,-0.2161,0.9759,-0.1235
2026-05-29,8.96,短ATR状态,短ATR中性,90.36,3,586,中强,18.43,40.78,59.22,16.04,10.41,34.98,1.3135,-1.6837,0.9595,-0.1512
2026-05-29,8.96,短ATR状态,短ATR中性,90.36,5,585,中强,16.92,41.54,58.46,20.17,20.51,36.07,1.9154,-2.2886,0.944,-0.1462
2026-05-29,8.96,短ATR状态,短ATR中性,90.36,10,582,中,12.37,43.81,56.19,26.8,31.62,35.91,2.6657,-2.6011,0.9573,-0.1574
2026-05-29,8.96,余动能状态,余动能不足,25.91,1,827,强,26.72,36.64,63.36,1.57,1.21,23.1,-1.0312,-1.3445,0.817,-0.2706
2026-05-29,8.96,余动能状态,余动能不足,25.91,3,827,强,36.15,31.92,68.08,10.16,15.11,30.83,-1.6633,-3.6025,0.8821,-0.2235
2026-05-29,8.96,余动能状态,余动能不足,25.91,5,826,强,39.95,30.02,69.98,13.68,29.3,31.23,-2.4607,-5.604,0.8928,-0.2104
2026-05-29,8.96,余动能状态,余动能不足,25.91,10,824,强,36.41,31.8,68.2,18.57,46.6,34.47,-3.727,-8.7065,0.9235,-0.1757
2026-05-29,8.96,趋势状态,强趋势下行,100,1,816,中,9.8,45.1,54.9,5.76,2.7,24.88,0.425,-0.6018,0.8331,-0.2727
2026-05-29,8.96,趋势状态,强趋势下行,100,3,814,强,31.45,34.28,65.72,12.78,16.71,25.68,-0.5855,-3.3096,0.8375,-0.2546
2026-05-29,8.96,趋势状态,强趋势下行,100,5,814,强,37.59,31.2,68.8,14.62,32.68,26.66,-1.6318,-5.7914,0.8451,-0.2536
2026-05-29,8.96,趋势状态,强趋势下行,100,10,813,强,41.45,29.27,70.73,17.59,50.06,28.29,-4.1168,-10.0398,0.8809,-0.2274
2026-05-29,8.96,量能状态,缩量,39.5,1,779,中强,23.23,38.38,61.62,2.7,2.05,24.52,-0.7358,-1.3076,0.8202,-0.2756
2026-05-29,8.96,量能状态,缩量,39.5,3,778,强,34.45,32.78,67.22,11.31,15.94,28.66,-1.2351,-3.6212,0.8685,-0.2299
2026-05-29,8.96,量能状态,缩量,39.5,5,776,强,37.63,31.19,68.81,14.43,30.28,31.19,-1.9629,-5.658,0.8893,-0.2117
2026-05-29,8.96,量能状态,缩量,39.5,10,772,强,34.2,32.9,67.1,18.65,45.73,32.64,-3.9382,-8.6053,0.9012,-0.1862
