component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,13,样本偏少,38.46,69.23,30.77,15.38,7.69,15.38,2.864,1.439,0.7823,-0.2091,2026-01-25
波动超额状态,接近一倍ATR,3,13,样本偏少,7.69,53.85,46.15,23.08,23.08,15.38,1.8456,1.4506,0.7582,-0.2893,2026-01-25
波动超额状态,接近一倍ATR,5,13,样本偏少,23.08,38.46,61.54,30.77,30.77,15.38,-0.5391,-2.1332,0.8199,-0.228,2026-01-25
波动超额状态,接近一倍ATR,10,13,样本偏少,53.85,23.08,76.92,15.38,61.54,30.77,-10.8514,-20.1079,0.9096,-0.1738,2026-01-25
波动超额状态,振幅未满ATR,1,46,样本偏少,34.78,32.61,67.39,8.7,23.91,6.52,-1.2317,-2.3029,0.6398,-0.4693,2026-05-17
波动超额状态,振幅未满ATR,3,44,样本偏少,45.45,27.27,72.73,15.91,45.45,9.09,-4.7895,-8.725,0.6284,-0.4653,2026-05-03
波动超额状态,振幅未满ATR,5,42,样本偏少,47.62,26.19,73.81,21.43,69.05,11.9,-7.0605,-16.8454,0.6903,-0.4653,2026-04-19
波动超额状态,振幅未满ATR,10,37,样本偏少,45.95,27.03,72.97,13.51,48.65,2.7,-4.8853,-9.818,0.5902,-0.4555,2026-03-15
波动超额状态,振幅已超ATR,1,5,样本偏少,20.0,40.0,60.0,20.0,20.0,40.0,-0.0361,-7.9071,1.0805,-0.1868,2025-10-05
波动超额状态,振幅已超ATR,3,5,样本偏少,60.0,80.0,20.0,60.0,20.0,20.0,30.3283,12.5645,1.314,-0.1868,2025-10-05
波动超额状态,振幅已超ATR,5,5,样本偏少,60.0,80.0,20.0,80.0,20.0,0.0,53.6367,75.4839,0.6555,-0.3159,2025-10-05
波动超额状态,振幅已超ATR,10,5,样本偏少,100.0,100.0,0.0,100.0,0.0,20.0,90.6598,104.2599,1.123,-0.4882,2025-10-05
波动状态,波动压缩,1,7,样本偏少,42.86,28.57,71.43,14.29,28.57,28.57,6.9323,-0.5724,1.1544,-0.3435,2026-05-17
波动状态,波动压缩,3,6,样本偏少,33.33,33.33,66.67,16.67,16.67,16.67,9.2491,-1.3557,0.7399,-0.4363,2026-05-03
波动状态,波动压缩,5,4,样本偏少,0.0,50.0,50.0,50.0,50.0,50.0,28.3494,20.6031,1.5805,0.1218,2026-04-19
波动状态,波动压缩,10,3,样本偏少,100.0,100.0,0.0,100.0,0.0,0.0,92.0001,99.7341,0.5272,-0.5291,2025-09-28
波动状态,常态波动,1,12,样本偏少,0.0,50.0,50.0,16.67,8.33,16.67,1.6045,-0.7311,0.7657,-0.2586,2026-05-10
波动状态,常态波动,3,11,样本偏少,9.09,54.55,45.45,18.18,18.18,18.18,1.1113,1.4506,0.8161,-0.2893,2025-10-12
波动状态,常态波动,5,11,样本偏少,27.27,36.36,63.64,27.27,54.55,18.18,-2.8849,-13.4937,0.8002,-0.2349,2025-10-12
波动状态,常态波动,10,11,样本偏少,45.45,27.27,72.73,27.27,63.64,18.18,-7.0026,-21.0941,0.8494,-0.1868,2025-10-12
波动状态,低波动启动,1,7,样本偏少,14.29,57.14,42.86,14.29,14.29,28.57,-0.0958,0.1868,1.0047,-0.1738,2025-09-21
波动状态,低波动启动,3,7,样本偏少,42.86,71.43,28.57,42.86,28.57,28.57,20.8039,5.7756,1.2856,-0.18,2025-09-21
波动状态,低波动启动,5,7,样本偏少,14.29,57.14,42.86,57.14,14.29,14.29,35.79,17.7312,0.8756,-0.1922,2025-09-21
波动状态,低波动启动,10,7,样本偏少,42.86,71.43,28.57,71.43,14.29,42.86,66.5884,71.7404,1.2253,-0.3805,2025-09-21
波动状态,高波动扩张,1,3,样本偏少,33.33,66.67,33.33,0.0,0.0,0.0,3.0525,5.732,0.6542,-0.2091,2026-01-25
波动状态,高波动扩张,3,3,样本偏少,33.33,33.33,66.67,33.33,33.33,0.0,-0.3173,-1.4501,0.4441,-0.5325,2026-01-25
波动状态,高波动扩张,5,3,样本偏少,33.33,33.33,66.67,33.33,33.33,0.0,-1.6025,-9.2957,0.6242,-0.3159,2026-01-25
波动状态,高波动扩张,10,3,样本偏少,33.33,66.67,33.33,33.33,33.33,0.0,2.9336,0.7995,0.5791,-0.4944,2026-01-25
波动状态,高波动冷却,1,35,样本偏少,31.43,34.29,65.71,8.57,25.71,2.86,-2.7392,-2.3428,0.5354,-0.4944,2026-04-12
波动状态,高波动冷却,3,35,样本偏少,48.57,25.71,74.29,17.14,51.43,5.71,-7.0713,-10.0789,0.5808,-0.472,2026-04-12
波动状态,高波动冷却,5,35,样本偏少,48.57,25.71,74.29,20.0,68.57,5.71,-10.3644,-17.9834,0.5658,-0.4882,2026-04-12
波动状态,高波动冷却,10,31,样本偏少,67.74,16.13,83.87,0.0,54.84,3.23,-17.4973,-15.7822,0.5819,-0.464,2026-03-15
短ATR状态,短ATR降温,1,51,样本偏少,29.41,35.29,64.71,7.84,23.53,7.84,-2.1776,-2.263,0.6246,-0.4555,2026-05-17
短ATR状态,短ATR降温,3,49,样本偏少,46.94,26.53,73.47,12.24,44.9,12.24,-6.4368,-8.4051,0.674,-0.4328,2026-05-03
短ATR状态,短ATR降温,5,47,样本偏少,57.45,21.28,78.72,17.02,65.96,14.89,-9.6807,-17.4355,0.7508,-0.4275,2026-04-19
短ATR状态,短ATR降温,10,42,样本偏少,52.38,23.81,76.19,11.9,54.76,11.9,-8.8021,-20.4738,0.7006,-0.3625,2026-03-15
短ATR状态,短ATR升温,1,3,样本偏少,33.33,66.67,33.33,0.0,0.0,0.0,4.1322,6.3029,0.6342,-0.3814,2025-10-19
短ATR状态,短ATR升温,3,3,样本偏少,100.0,100.0,0.0,66.67,0.0,0.0,14.9641,12.5645,0.6657,-0.3159,2025-10-19
短ATR状态,短ATR升温,5,3,样本偏少,100.0,100.0,0.0,100.0,0.0,0.0,29.3503,30.1824,0.5715,-0.3805,2025-10-19
短ATR状态,短ATR升温,10,3,样本偏少,100.0,100.0,0.0,66.67,0.0,0.0,15.5851,12.8946,0.412,-0.5404,2025-10-19
短ATR状态,短ATR中性,1,10,样本偏少,20.0,60.0,40.0,30.0,10.0,30.0,7.9054,0.924,1.1247,-0.3108,2025-11-16
短ATR状态,短ATR中性,3,10,样本偏少,40.0,70.0,30.0,50.0,20.0,10.0,23.541,8.2746,0.9052,-0.4146,2025-11-16
短ATR状态,短ATR中性,5,10,样本偏少,40.0,70.0,30.0,60.0,30.0,0.0,33.1575,15.1091,0.5928,-0.4348,2025-11-16
短ATR状态,短ATR中性,10,10,样本偏少,0.0,50.0,50.0,50.0,30.0,10.0,45.4406,7.1718,0.8616,-0.4774,2025-11-16
量能状态,放量,1,8,样本偏少,0.0,50.0,50.0,37.5,12.5,50.0,11.1216,2.8653,1.4224,0.1817,2025-10-05
量能状态,放量,3,8,样本偏少,25.0,62.5,37.5,50.0,12.5,12.5,27.9329,7.8623,1.0553,-0.2993,2025-10-05
量能状态,放量,5,8,样本偏少,50.0,75.0,25.0,62.5,25.0,12.5,42.647,52.8332,0.7858,-0.3075,2025-10-05
量能状态,放量,10,8,样本偏少,75.0,87.5,12.5,87.5,12.5,12.5,77.0956,80.8281,0.883,-0.5087,2025-10-05
量能状态,量能正常,1,17,样本偏少,17.65,41.18,58.82,11.76,17.65,11.76,-1.5919,-2.3952,0.7261,-0.2893,2026-02-22
量能状态,量能正常,3,17,样本偏少,5.88,47.06,52.94,23.53,29.41,29.41,-2.87,-1.5844,0.8879,-0.228,2026-02-22
量能状态,量能正常,5,17,样本偏少,29.41,35.29,64.71,35.29,47.06,29.41,-0.9225,-3.069,0.9823,-0.228,2026-02-22
量能状态,量能正常,10,17,样本偏少,41.18,29.41,70.59,29.41,52.94,23.53,0.6116,-12.658,0.8644,-0.2349,2026-02-22
量能状态,缩量,1,39,样本偏少,23.08,38.46,61.54,5.13,23.08,2.56,-2.0902,-1.4798,0.5456,-0.4882,2026-05-17
量能状态,缩量,3,37,样本偏少,45.95,27.03,72.97,13.51,48.65,2.7,-5.6696,-8.8078,0.5551,-0.4882,2026-05-03
量能状态,缩量,5,35,样本偏少,54.29,22.86,77.14,17.14,68.57,2.86,-10.3103,-17.4355,0.5698,-0.472,2026-04-19
量能状态,缩量,10,30,样本偏少,60.0,20.0,80.0,0.0,53.33,3.33,-16.5229,-18.3109,0.584,-0.4653,2026-03-15
趋势状态,强趋势上行,1,10,样本偏少,0.0,50.0,50.0,30.0,10.0,50.0,8.269,-0.1928,1.3606,0.1817,2025-09-28
趋势状态,强趋势上行,3,10,样本偏少,0.0,50.0,50.0,30.0,20.0,40.0,19.9257,1.0166,1.2381,-0.2259,2025-09-28
趋势状态,强趋势上行,5,10,样本偏少,20.0,60.0,40.0,50.0,20.0,30.0,36.5844,27.1137,1.1804,-0.2108,2025-09-28
趋势状态,强趋势上行,10,10,样本偏少,60.0,80.0,20.0,80.0,10.0,10.0,79.3216,85.7372,0.6742,-0.4151,2025-09-28
趋势状态,强趋势下行,1,48,样本偏少,25.0,37.5,62.5,8.33,22.92,4.17,-2.0139,-2.3029,0.566,-0.4693,2026-05-10
趋势状态,强趋势下行,3,47,样本偏少,36.17,31.91,68.09,19.15,44.68,6.38,-4.9887,-8.6423,0.598,-0.464,2026-04-26
趋势状态,强趋势下行,5,46,样本偏少,43.48,28.26,71.74,23.91,63.04,6.52,-7.9376,-16.1493,0.5937,-0.4653,2026-04-19
趋势状态,强趋势下行,10,41,样本偏少,60.98,19.51,80.49,4.88,56.1,7.32,-16.6709,-20.8396,0.6427,-0.436,2026-03-15
趋势状态,弱趋势混合,1,4,样本偏少,0.0,50.0,50.0,0.0,0.0,0.0,1.3189,3.129,0.66,-0.3164,2026-05-17
趋势状态,弱趋势混合,3,3,样本偏少,33.33,66.67,33.33,0.0,0.0,0.0,2.1256,2.239,0.5991,-0.4328,2026-05-03
趋势状态,弱趋势混合,5,2,样本偏少,100.0,0.0,100.0,0.0,100.0,50.0,-16.8463,-16.8463,1.1582,0.1581,2025-08-03
趋势状态,弱趋势混合,10,2,样本偏少,0.0,50.0,50.0,50.0,50.0,0.0,9.6571,9.6571,0.762,-0.238,2025-08-03
趋势状态,弱趋势上行,1,1,样本偏少,100.0,0.0,100.0,0.0,100.0,0.0,-12.3425,-12.3425,0.7349,-0.2651,2025-07-27
趋势状态,弱趋势上行,3,1,样本偏少,100.0,0.0,100.0,0.0,100.0,0.0,-19.6721,-19.6721,0.9738,-0.0262,2025-07-27
趋势状态,弱趋势上行,5,1,样本偏少,100.0,0.0,100.0,0.0,100.0,0.0,-20.1201,-20.1201,0.6907,-0.3093,2025-07-27
趋势状态,弱趋势上行,10,1,样本偏少,100.0,100.0,0.0,100.0,0.0,100.0,22.5568,22.5568,3.6132,2.6132,2025-07-27
趋势状态,弱趋势下行,1,1,样本偏少,100.0,100.0,0.0,0.0,0.0,0.0,1.439,1.439,0.8522,-0.1478,2025-05-04
趋势状态,弱趋势下行,3,1,样本偏少,100.0,100.0,0.0,100.0,0.0,0.0,13.4072,13.4072,0.82,-0.18,2025-05-04
趋势状态,弱趋势下行,5,1,样本偏少,100.0,100.0,0.0,100.0,0.0,0.0,17.7312,17.7312,0.8078,-0.1922,2025-05-04
趋势状态,弱趋势下行,10,1,样本偏少,100.0,0.0,100.0,0.0,100.0,100.0,-20.1079,-20.1079,1.0493,0.0493,2025-05-04
