component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,815,强,27.12,36.44,63.56,5.4,0.25,37.67,0.0684,-1.5727,1.0006,-0.132,2026-05-24
波动超额状态,接近一倍ATR,3,815,中强,17.3,41.35,58.65,15.58,10.31,37.06,1.4461,-1.9063,1.0125,-0.1277,2026-05-24
波动超额状态,接近一倍ATR,5,815,中,14.11,42.94,57.06,20.12,20.49,36.56,2.1631,-2.5284,1.0043,-0.1356,2026-05-24
波动超额状态,接近一倍ATR,10,814,中,11.06,44.47,55.53,28.01,33.05,35.75,3.4105,-2.0619,0.9885,-0.1647,2026-05-20
波动超额状态,振幅未满ATR,1,1134,强,41.98,29.01,70.99,4.59,0.44,24.96,-0.7742,-2.2204,0.8444,-0.2686,2026-05-30
波动超额状态,振幅未满ATR,3,1133,强,38.57,30.71,69.29,9.89,17.21,29.13,-1.5345,-4.3559,0.9055,-0.2085,2026-05-29
波动超额状态,振幅未满ATR,5,1131,强,37.4,31.3,68.7,14.41,32.1,31.56,-1.8419,-5.358,0.9366,-0.178,2026-05-26
波动超额状态,振幅未满ATR,10,1128,强,28.01,35.99,64.01,20.48,45.39,34.75,-1.5068,-7.8777,0.9767,-0.1564,2026-05-21
波动超额状态,振幅已超ATR,1,571,弱,0.53,49.74,50.26,12.26,0.0,52.01,2.375,-0.0497,1.2364,0.0179,2026-05-31
波动超额状态,振幅已超ATR,3,570,弱,3.51,51.75,48.25,21.58,5.26,44.39,4.1249,0.2818,1.095,-0.0478,2026-05-27
波动超额状态,振幅已超ATR,5,570,弱,4.21,52.11,47.89,28.25,15.26,40.18,6.0727,0.3478,1.0451,-0.137,2026-05-27
波动超额状态,振幅已超ATR,10,569,弱,4.75,52.37,47.63,33.39,26.19,34.8,9.3096,1.3408,0.9861,-0.1456,2026-05-22
波动状态,波动压缩,1,628,强,36.94,31.53,68.47,4.94,0.0,31.53,-0.1889,-1.8261,0.9148,-0.1875,2026-05-30
波动状态,波动压缩,3,627,中强,21.21,39.39,60.61,13.56,8.93,36.68,0.8453,-2.0714,1.0118,-0.1456,2026-05-29
