date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,306.3,波动状态,波动压缩,12.99,1,636,强,38.36,30.82,69.18,2.99,0,31.45,-0.4653,-1.3489,0.9136,-0.1943
2026-05-29,306.3,波动状态,波动压缩,12.99,3,636,中强,21.07,39.47,60.53,12.11,6.6,36.01,0.4984,-2.2077,1.0014,-0.1452
2026-05-29,306.3,波动状态,波动压缩,12.99,5,634,中强,17.98,41.01,58.99,18.3,18.3,37.54,1.6268,-2.476,1.0193,-0.1277
2026-05-29,306.3,波动状态,波动压缩,12.99,10,631,弱,3.01,51.51,48.49,29.48,25.36,40.73,5.2708,0.4236,1.0658,-0.103
2026-05-29,306.3,短ATR状态,短ATR升温,51.18,1,670,弱,5.67,52.84,47.16,12.09,3.73,47.76,1.8359,0.4463,1.1776,-0.0221
2026-05-29,306.3,短ATR状态,短ATR升温,51.18,3,668,弱,1.8,50.9,49.1,21.86,7.63,43.56,3.6975,0.3649,1.0855,-0.0777
2026-05-29,306.3,短ATR状态,短ATR升温,51.18,5,668,弱,0,50,50,28.59,16.77,38.92,5.5079,-0.0114,1.0349,-0.1249
2026-05-29,306.3,短ATR状态,短ATR升温,51.18,10,664,弱,0.9,49.55,50.45,31.02,27.86,34.49,6.8698,-0.237,0.9714,-0.1683
2026-05-29,306.3,余动能状态,余动能不足,33.25,1,1132,强,40.46,29.77,70.23,2.12,0.27,24.91,-1.0277,-1.6463,0.8441,-0.2686
2026-05-29,306.3,余动能状态,余动能不足,33.25,3,1131,强,38.28,30.86,69.14,8.66,14.5,29.09,-1.7157,-4.1817,0.9051,-0.2086
2026-05-29,306.3,余动能状态,余动能不足,33.25,5,1129,强,38.18,30.91,69.09,13.73,32.33,31.53,-2.0046,-5.2914,0.9365,-0.178
2026-05-29,306.3,余动能状态,余动能不足,33.25,10,1127,强,28.13,35.94,64.06,20.76,44.1,34.69,-1.6224,-7.6987,0.9763,-0.1568
2026-05-29,306.3,趋势状态,强趋势下行,100,1,974,中强,15.81,42.09,57.91,7.91,1.23,24.54,0.4527,-0.9967,0.8706,-0.2605
2026-05-29,306.3,趋势状态,强趋势下行,100,3,972,强,36.21,31.89,68.11,13.07,17.59,25,-0.7043,-4.3528,0.8638,-0.2585
2026-05-29,306.3,趋势状态,强趋势下行,100,5,970,强,38.14,30.93,69.07,16.29,38.04,28.66,-1.5062,-6.4953,0.9144,-0.2246
2026-05-29,306.3,趋势状态,强趋势下行,100,10,965,强,35.75,32.12,67.88,20.41,50.67,29.74,-2.962,-10.4954,0.9237,-0.2228
2026-05-29,306.3,量能状态,缩量,38.34,1,1067,强,34.4,32.8,67.2,3.47,0.94,26.43,-0.7791,-1.6224,0.8619,-0.2643
2026-05-29,306.3,量能状态,缩量,38.34,3,1067,强,37.21,31.4,68.6,10.97,14.81,30.83,-1.1654,-4.0661,0.9232,-0.2074
2026-05-29,306.3,量能状态,缩量,38.34,5,1066,强,36.59,31.71,68.29,16.51,32.74,32.18,-1.5001,-5.3172,0.9392,-0.1725
2026-05-29,306.3,量能状态,缩量,38.34,10,1063,强,26.25,36.88,63.12,23.24,44.03,34.43,-1.2817,-7.7588,0.9802,-0.1586
