component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,38,样本偏少,15.79,57.89,42.11,5.26,0,52.63,2.4216,0.8585,1.191,0.0195,2026-04-26
波动状态,波动压缩,3,38,样本偏少,26.32,36.84,63.16,18.42,21.05,47.37,-0.2973,-3.7794,1.1154,-0.0255,2026-04-26
波动状态,波动压缩,5,36,样本偏少,27.78,36.11,63.89,22.22,50,55.56,-1.1097,-8.9423,1.4395,0.1018,2026-04-12
波动状态,波动压缩,10,32,样本偏少,12.5,43.75,56.25,37.5,40.63,40.63,0.5021,-4.8439,1.0918,-0.0756,2026-03-08
波动状态,常态波动,1,30,样本偏少,40,70,30,6.67,3.33,23.33,1.3171,2.2401,0.8269,-0.2304,2026-03-29
波动状态,常态波动,3,30,样本偏少,13.33,43.33,56.67,23.33,20,26.67,1.3299,-2.3886,0.7871,-0.263,2026-03-29
波动状态,常态波动,5,30,样本偏少,26.67,36.67,63.33,26.67,36.67,30,0.5372,-4.2742,0.9065,-0.2136,2026-03-29
波动状态,常态波动,10,29,样本偏少,10.34,55.17,44.83,44.83,34.48,44.83,0.271,6.7648,1.0404,-0.0796,2025-04-27
波动状态,低波动启动,1,79,样本偏少,13.92,43.04,56.96,25.32,18.99,46.84,0.3631,-1.8178,1.1788,-0.0325,2026-05-10
波动状态,低波动启动,3,77,样本偏少,9.09,45.45,54.55,31.17,19.48,45.45,2.7319,-1.0979,1.2117,-0.0369,2026-02-22
波动状态,低波动启动,5,77,样本偏少,11.69,55.84,44.16,42.86,23.38,44.16,4.9146,3.7722,1.0669,-0.0466,2026-02-22
波动状态,低波动启动,10,77,样本偏少,22.08,61.04,38.96,41.56,20.78,41.56,8.7907,5.1311,1.05,-0.0872,2026-02-22
波动状态,高波动扩张,1,4,样本偏少,100,0,100,0,75,0,-11.5719,-14.181,0.6276,-0.3964,2025-04-06
波动状态,高波动扩张,3,4,样本偏少,100,0,100,0,75,25,-15.8715,-15.9356,0.8314,-0.3462,2025-04-06
波动状态,高波动扩张,5,4,样本偏少,100,0,100,0,50,25,-11.1977,-5.9493,0.7964,-0.4095,2025-04-06
波动状态,高波动扩张,10,4,样本偏少,100,0,100,0,100,25,-28.3479,-26.3553,0.8033,-0.2283,2025-04-06
波动状态,高波动冷却,1,8,样本偏少,25,37.5,62.5,0,0,12.5,-1.7479,-2.9944,0.7345,-0.3608,2025-03-30
波动状态,高波动冷却,3,8,样本偏少,25,37.5,62.5,0,12.5,37.5,-1.5985,-1.9605,0.9347,-0.258,2025-03-30
波动状态,高波动冷却,5,8,样本偏少,75,12.5,87.5,0,37.5,12.5,-8.8838,-9.0617,0.6079,-0.4426,2025-03-30
波动状态,高波动冷却,10,8,样本偏少,100,0,100,0,100,25,-23.7326,-26.2736,0.7961,-0.2822,2025-03-30
短ATR状态,短ATR降温,1,35,样本偏少,2.86,51.43,48.57,11.43,2.86,28.57,0.4888,0.0413,0.9387,-0.3258,2026-05-10
短ATR状态,短ATR降温,3,33,样本偏少,57.58,21.21,78.79,6.06,33.33,36.36,-4.7771,-7.8795,1.1662,-0.1246,2026-04-26
短ATR状态,短ATR降温,5,31,样本偏少,74.19,12.9,87.1,6.45,74.19,45.16,-10.0179,-13.1915,1.3012,-0.0756,2026-04-12
短ATR状态,短ATR降温,10,26,样本偏少,61.54,19.23,80.77,15.38,65.38,42.31,-15.3671,-23.093,1.122,-0.0369,2025-06-15
短ATR状态,短ATR升温,1,55,样本偏少,9.09,45.45,54.55,25.45,18.18,41.82,0.6934,-0.8547,1.1777,-0.0872,2026-02-22
短ATR状态,短ATR升温,3,55,样本偏少,1.82,49.09,50.91,38.18,25.45,34.55,2.8975,-0.5346,1.0282,-0.1746,2026-02-22
短ATR状态,短ATR升温,5,55,样本偏少,20,60,40,45.45,20,34.55,6.8554,4.6193,1.0411,-0.1864,2026-02-22
短ATR状态,短ATR升温,10,55,样本偏少,34.55,67.27,32.73,47.27,20,40,10.521,7.4758,1.0311,-0.1746,2026-02-22
短ATR状态,短ATR中性,1,69,样本偏少,7.25,53.62,46.38,8.7,11.59,46.38,0.6479,0.6857,1.0718,-0.0368,2026-03-08
短ATR状态,短ATR中性,3,69,样本偏少,10.14,44.93,55.07,21.74,11.59,49.28,2.3329,-0.5929,1.0879,-0.0261,2026-03-08
短ATR状态,短ATR中性,5,69,样本偏少,10.14,44.93,55.07,31.88,26.09,46.38,2.4962,-1.7486,1.038,-0.0368,2026-03-08
短ATR状态,短ATR中性,10,69,样本偏少,1.45,50.72,49.28,39.13,33.33,40.58,3.1658,0.2751,1.0095,-0.1169,2026-03-08
量能状态,放量,1,26,样本偏少,15.38,42.31,57.69,23.08,26.92,73.08,-1.7263,-5.9286,1.6037,0.5615,2026-01-11
量能状态,放量,3,26,样本偏少,0,50,50,34.62,26.92,46.15,3.7245,-0.9768,1.2593,-0.0349,2026-01-11
量能状态,放量,5,26,样本偏少,30.77,65.38,34.62,53.85,30.77,42.31,7.8363,10.7113,1.1535,-0.0426,2026-01-11
量能状态,放量,10,26,样本偏少,53.85,76.92,23.08,57.69,15.38,34.62,19.3272,13.2201,0.9857,-0.1825,2026-01-11
量能状态,量能正常,1,47,样本偏少,2.13,48.94,51.06,19.15,12.77,38.3,1.2442,-0.8016,1.0056,-0.0483,2026-02-22
量能状态,量能正常,3,47,样本偏少,23.4,38.3,61.7,23.4,19.15,48.94,0.0451,-2.47,1.0788,-0.0249,2026-02-22
量能状态,量能正常,5,47,样本偏少,6.38,46.81,53.19,38.3,27.66,48.94,3.4776,-0.8888,1.162,-0.0261,2026-02-22
量能状态,量能正常,10,47,样本偏少,2.13,51.06,48.94,34.04,34.04,44.68,1.7029,1.3861,1.0083,-0.0483,2026-02-22
量能状态,缩量,1,86,样本偏少,6.98,53.49,46.51,10.47,6.98,32.56,1.0041,0.4852,0.9607,-0.2204,2026-05-10
量能状态,缩量,3,84,样本偏少,19.05,40.48,59.52,21.43,20.24,35.71,0.7586,-2.4632,1.0317,-0.1997,2026-04-26
量能状态,缩量,5,82,样本偏少,29.27,35.37,64.63,20.73,37.8,37.8,-1.5666,-5.1608,1.0319,-0.1983,2026-04-12
量能状态,缩量,10,77,样本偏少,14.29,42.86,57.14,33.77,40.26,40.26,-2.4024,-5.7392,1.0717,-0.0899,2026-03-08
趋势状态,强趋势上行,1,89,样本偏少,12.36,43.82,56.18,13.48,16.85,49.44,-0.2961,-0.9706,1.2048,-0.0249,2026-01-18
趋势状态,强趋势上行,3,89,样本偏少,19.1,40.45,59.55,28.09,19.1,46.07,1.8147,-1.8957,1.1428,-0.033,2026-01-18
趋势状态,强趋势上行,5,89,样本偏少,1.12,49.44,50.56,40.45,29.21,46.07,4.4958,-0.3523,1.1101,-0.0368,2026-01-18
趋势状态,强趋势上行,10,89,样本偏少,32.58,66.29,33.71,51.69,24.72,43.82,10.0197,10.0998,1.035,-0.0559,2026-01-18
趋势状态,强趋势下行,1,39,样本偏少,2.56,51.28,48.72,20.51,5.13,20.51,1.72,0.0413,0.8481,-0.3669,2026-05-10
趋势状态,强趋势下行,3,37,样本偏少,40.54,29.73,70.27,8.11,29.73,27.03,-4.5844,-7.0465,0.9425,-0.2773,2026-04-26
趋势状态,强趋势下行,5,35,样本偏少,60,20,80,11.43,54.29,28.57,-6.4113,-10.2979,1.0454,-0.2773,2026-04-12
趋势状态,强趋势下行,10,30,样本偏少,66.67,16.67,83.33,13.33,63.33,33.33,-15.5088,-17.1222,0.9586,-0.1072,2026-03-08
趋势状态,趋势不明,1,4,样本偏少,0,50,50,0,25,25,-2.6559,0.6583,0.9626,-0.1303,2026-02-15
趋势状态,趋势不明,3,4,样本偏少,50,25,75,25,25,50,-2.4622,-4.5502,1.0355,0.021,2026-02-15
趋势状态,趋势不明,5,4,样本偏少,0,50,50,25,25,0,-0.3762,-0.4423,0.5124,-0.5326,2026-02-15
趋势状态,趋势不明,10,4,样本偏少,100,0,100,0,50,25,-11.0074,-11.5892,0.6749,-0.3609,2026-02-15
趋势状态,弱趋势混合,1,24,样本偏少,41.67,70.83,29.17,16.67,4.17,41.67,2.9007,2.7092,0.9813,-0.1159,2026-02-08
趋势状态,弱趋势混合,3,24,样本偏少,16.67,58.33,41.67,29.17,16.67,41.67,4.407,1.4005,0.9452,-0.2585,2026-02-08
趋势状态,弱趋势混合,5,24,样本偏少,16.67,58.33,41.67,33.33,16.67,54.17,3.6512,3.0509,1.1886,0.2402,2026-02-08
趋势状态,弱趋势混合,10,24,样本偏少,0,50,50,25,29.17,41.67,1.4211,-0.2885,1.181,-0.2163,2026-02-08
趋势状态,弱趋势下行,1,3,样本偏少,33.33,66.67,33.33,0,0,66.67,0.0756,1.3662,1.2937,0.4088,2024-09-22
趋势状态,弱趋势下行,3,3,样本偏少,100,100,0,66.67,0,66.67,24.9604,16.6698,2.2326,0.1204,2024-09-22
趋势状态,弱趋势下行,5,3,样本偏少,33.33,33.33,66.67,0,66.67,33.33,-7.7084,-12.0629,1.0841,-0.0836,2024-09-22
趋势状态,弱趋势下行,10,3,样本偏少,33.33,33.33,66.67,33.33,33.33,33.33,-6.3371,-8.1418,1.2079,-0.0369,2024-09-22
余动能状态,动能已超ATR,1,51,样本偏少,17.65,41.18,58.82,31.37,31.37,47.06,-0.2023,-3.9578,1.226,-0.0261,2026-02-22
余动能状态,动能已超ATR,3,51,样本偏少,9.8,45.1,54.9,29.41,25.49,37.25,0.8918,-3.2704,1.1902,-0.0872,2026-02-22
余动能状态,动能已超ATR,5,51,样本偏少,9.8,54.9,45.1,43.14,25.49,43.14,3.3786,1.4771,1.0537,-0.0872,2026-02-22
余动能状态,动能已超ATR,10,51,样本偏少,21.57,60.78,39.22,37.25,21.57,39.22,6.6585,4.9688,1.0151,-0.158,2026-02-22
余动能状态,接近正常动能,1,38,样本偏少,5.26,47.37,52.63,10.53,7.89,39.47,0.011,-0.5645,1.0147,-0.0776,2026-05-10
余动能状态,接近正常动能,3,36,样本偏少,27.78,36.11,63.89,25,16.67,52.78,2.0971,-2.1829,1.1298,0.0985,2026-03-29
余动能状态,接近正常动能,5,36,样本偏少,11.11,44.44,55.56,33.33,25,38.89,3.5959,-2.106,0.9993,-0.0658,2026-03-29
余动能状态,接近正常动能,10,35,样本偏少,2.86,51.43,48.57,42.86,31.43,42.86,6.5472,3.0596,1.0318,-0.0559,2026-02-08
