date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,349,波动状态,低波动启动,47.05,1,79,样本偏少,13.92,43.04,56.96,25.32,18.99,46.84,0.3631,-1.8178,1.1788,-0.0325
2026-05-17,349,波动状态,低波动启动,47.05,3,77,样本偏少,9.09,45.45,54.55,31.17,19.48,45.45,2.7319,-1.0979,1.2117,-0.0369
2026-05-17,349,波动状态,低波动启动,47.05,5,77,样本偏少,11.69,55.84,44.16,42.86,23.38,44.16,4.9146,3.7722,1.0669,-0.0466
2026-05-17,349,波动状态,低波动启动,47.05,10,77,样本偏少,22.08,61.04,38.96,41.56,20.78,41.56,8.7907,5.1311,1.05,-0.0872
2026-05-17,349,短ATR状态,短ATR降温,88.46,1,35,样本偏少,2.86,51.43,48.57,11.43,2.86,28.57,0.4888,0.0413,0.9387,-0.3258
2026-05-17,349,短ATR状态,短ATR降温,88.46,3,33,样本偏少,57.58,21.21,78.79,6.06,33.33,36.36,-4.7771,-7.8795,1.1662,-0.1246
2026-05-17,349,短ATR状态,短ATR降温,88.46,5,31,样本偏少,74.19,12.9,87.1,6.45,74.19,45.16,-10.0179,-13.1915,1.3012,-0.0756
2026-05-17,349,短ATR状态,短ATR降温,88.46,10,26,样本偏少,61.54,19.23,80.77,15.38,65.38,42.31,-15.3671,-23.093,1.122,-0.0369
2026-05-17,349,余动能状态,接近正常动能,4.68,1,38,样本偏少,5.26,47.37,52.63,10.53,7.89,39.47,0.011,-0.5645,1.0147,-0.0776
2026-05-17,349,余动能状态,接近正常动能,4.68,3,36,样本偏少,27.78,36.11,63.89,25,16.67,52.78,2.0971,-2.1829,1.1298,0.0985
2026-05-17,349,余动能状态,接近正常动能,4.68,5,36,样本偏少,11.11,44.44,55.56,33.33,25,38.89,3.5959,-2.106,0.9993,-0.0658
2026-05-17,349,余动能状态,接近正常动能,4.68,10,35,样本偏少,2.86,51.43,48.57,42.86,31.43,42.86,6.5472,3.0596,1.0318,-0.0559
2026-05-17,349,趋势状态,强趋势下行,100,1,39,样本偏少,2.56,51.28,48.72,20.51,5.13,20.51,1.72,0.0413,0.8481,-0.3669
2026-05-17,349,趋势状态,强趋势下行,100,3,37,样本偏少,40.54,29.73,70.27,8.11,29.73,27.03,-4.5844,-7.0465,0.9425,-0.2773
2026-05-17,349,趋势状态,强趋势下行,100,5,35,样本偏少,60,20,80,11.43,54.29,28.57,-6.4113,-10.2979,1.0454,-0.2773
2026-05-17,349,趋势状态,强趋势下行,100,10,30,样本偏少,66.67,16.67,83.33,13.33,63.33,33.33,-15.5088,-17.1222,0.9586,-0.1072
2026-05-17,349,量能状态,缩量,2.29,1,86,样本偏少,6.98,53.49,46.51,10.47,6.98,32.56,1.0041,0.4852,0.9607,-0.2204
2026-05-17,349,量能状态,缩量,2.29,3,84,样本偏少,19.05,40.48,59.52,21.43,20.24,35.71,0.7586,-2.4632,1.0317,-0.1997
2026-05-17,349,量能状态,缩量,2.29,5,82,样本偏少,29.27,35.37,64.63,20.73,37.8,37.8,-1.5666,-5.1608,1.0319,-0.1983
2026-05-17,349,量能状态,缩量,2.29,10,77,样本偏少,14.29,42.86,57.14,33.77,40.26,40.26,-2.4024,-5.7392,1.0717,-0.0899
