date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0,波动状态,波动压缩,74.28,1,198,中,13.13,43.43,56.57,1.52,0,31.31,-0.3925,-0.7572,0.8832,-0.2117
2026-05-29,0,波动状态,波动压缩,74.28,3,197,中强,17.77,41.12,58.88,14.21,7.11,36.55,0.6057,-1.4432,0.9499,-0.2009
2026-05-29,0,波动状态,波动压缩,74.28,5,195,中强,16.92,41.54,58.46,17.44,18.97,32.82,0.0886,-2.1425,0.9652,-0.1791
2026-05-29,0,波动状态,波动压缩,74.28,10,192,中强,15.63,42.19,57.81,19.79,26.56,39.06,0.1588,-2.8798,1.0005,-0.1525
2026-05-29,0,短ATR状态,短ATR降温,62.63,1,325,中强,18.77,40.62,59.38,2.46,1.54,25.54,-0.7032,-1.3411,0.8302,-0.2595
2026-05-29,0,短ATR状态,短ATR降温,62.63,3,325,强,32.31,33.85,66.15,11.38,16.92,29.54,-1.5815,-3.4545,0.8754,-0.2295
2026-05-29,0,短ATR状态,短ATR降温,62.63,5,323,强,30.03,34.98,65.02,13,30.34,30.34,-2.8775,-4.0008,0.9003,-0.2207
2026-05-29,0,短ATR状态,短ATR降温,62.63,10,321,强,26.48,36.76,63.24,14.33,38.01,34.89,-3.9404,-5.7097,0.9524,-0.1791
2026-05-29,0,余动能状态,余动能不足,41.09,1,304,强,25.66,37.17,62.83,1.32,0.33,24.34,-1.005,-1.7086,0.8157,-0.2796
2026-05-29,0,余动能状态,余动能不足,41.09,3,303,强,30.03,34.98,65.02,12.87,15.51,30.36,-1.0338,-3.2264,0.8718,-0.2346
2026-05-29,0,余动能状态,余动能不足,41.09,5,301,强,27.57,36.21,63.79,15.95,28.24,29.24,-1.6406,-3.5889,0.9109,-0.2151
2026-05-29,0,余动能状态,余动能不足,41.09,10,299,中强,23.08,38.46,61.54,16.72,37.46,34.45,-2.9263,-5.6263,0.952,-0.1843
2026-05-29,0,趋势状态,强趋势下行,100,1,346,中,9.25,45.38,54.62,6.07,2.31,21.97,0.2364,-0.6913,0.8059,-0.2898
2026-05-29,0,趋势状态,强趋势下行,100,3,344,强,27.33,36.34,63.66,12.5,18.9,24.13,-1.0852,-3.2325,0.8241,-0.2712
2026-05-29,0,趋势状态,强趋势下行,100,5,342,强,29.82,35.09,64.91,12.57,31.29,26.32,-2.4902,-4.3001,0.8509,-0.2425
2026-05-29,0,趋势状态,强趋势下行,100,10,337,强,34.72,32.64,67.36,15.13,44.51,29.97,-4.0729,-7.4897,0.9199,-0.2295
2026-05-29,0,量能状态,缩量,23.95,1,321,中强,15.89,42.06,57.94,3.74,2.18,23.36,-0.4299,-1.0385,0.8118,-0.2792
2026-05-29,0,量能状态,缩量,23.95,3,321,强,27.73,36.14,63.86,13.71,16.2,28.04,-0.8791,-2.9297,0.8641,-0.2291
2026-05-29,0,量能状态,缩量,23.95,5,319,中强,24.14,37.93,62.07,14.73,26.33,29.47,-1.787,-3.5289,0.9004,-0.2143
2026-05-29,0,量能状态,缩量,23.95,10,314,中强,18.47,40.76,59.24,17.83,34.39,34.08,-2.8844,-4.26,0.9407,-0.1872
