component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,1611,中强,21.29,39.35,60.65,3.85,0.0,38.18,0.0912,-1.0461,0.989,-0.1283,2026-06-02 04:00
波动超额状态,接近一倍ATR,3,1610,中,10.06,44.97,55.03,10.75,5.16,40.5,0.5741,-1.1939,1.0039,-0.1169,2026-06-01 20:00
波动超额状态,接近一倍ATR,5,1609,中,11.37,44.31,55.69,15.48,15.35,38.1,1.0748,-1.5821,0.9895,-0.1368,2026-06-01 12:00
波动超额状态,接近一倍ATR,10,1607,中,8.28,45.86,54.14,26.07,26.45,36.28,2.5796,-1.6371,0.9717,-0.1544,2026-05-31 04:00
波动超额状态,振幅未满ATR,1,2170,强,41.2,29.4,70.6,2.86,0.09,28.29,-0.8076,-1.8924,0.863,-0.2387,2026-06-02 08:00
波动超额状态,振幅未满ATR,3,2169,强,35.09,32.46,67.54,9.22,8.3,31.77,-1.522,-3.4159,0.9222,-0.1895,2026-05-31 16:00
波动超额状态,振幅未满ATR,5,2169,强,29.46,35.27,64.73,13.6,23.79,35.64,-1.578,-3.8437,0.9537,-0.1685,2026-05-31 16:00
波动超额状态,振幅未满ATR,10,2169,中强,22.27,38.87,61.13,20.42,35.13,40.71,-1.3572,-4.558,1.0022,-0.1125,2026-05-31 16:00
波动超额状态,振幅已超ATR,1,1245,弱,1.2,50.6,49.4,7.63,0.08,55.66,1.8017,0.1057,1.1951,0.0757,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,1245,中,12.29,56.14,43.86,22.49,3.69,46.51,3.7089,1.238,1.0722,-0.0354,2026-06-02 00:00
波动超额状态,振幅已超ATR,5,1244,中,12.06,56.03,43.97,28.3,12.22,42.85,4.5677,1.8026,1.0355,-0.0696,2026-06-01 16:00
波动超额状态,振幅已超ATR,10,1241,中,8.62,54.31,45.69,34.81,23.21,36.5,6.0265,2.2632,0.9756,-0.1435,2026-05-31 20:00
波动状态,波动压缩,1,1478,强,35.05,32.48,67.52,3.18,0.0,31.73,-0.4598,-1.6214,0.9042,-0.204,2026-06-02 08:00
波动状态,波动压缩,3,1477,中强,23.36,38.32,61.68,11.17,4.81,36.7,-0.1153,-2.3576,0.984,-0.1547,2026-06-01 20:00
波动状态,波动压缩,5,1476,中,12.6,43.7,56.3,18.09,16.73,39.36,0.8891,-1.6076,1.0119,-0.1258,2026-06-01 08:00
波动状态,波动压缩,10,1475,弱,2.78,51.39,48.61,28.34,22.85,44.95,4.0545,0.772,1.064,-0.0689,2026-05-31 16:00
