date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-31 00:00,0,波动状态,波动压缩,21.24,1,1475,强,34.1,32.95,67.05,1.63,0,31.53,-0.5548,-1.437,0.9,-0.2096
2026-05-31 00:00,0,波动状态,波动压缩,21.24,3,1473,中强,22.61,38.7,61.3,10.79,5.5,36.46,-0.1959,-2.3036,0.9814,-0.1555
2026-05-31 00:00,0,波动状态,波动压缩,21.24,5,1471,中,12.58,43.71,56.29,18.42,16.86,39.43,0.8438,-1.7417,1.012,-0.1261
2026-05-31 00:00,0,波动状态,波动压缩,21.24,10,1469,弱,4.29,52.14,47.86,28.25,22.33,44.59,3.9816,1.023,1.0632,-0.0726
2026-05-31 00:00,0,短ATR状态,短ATR降温,100,1,1829,强,31.66,34.17,65.83,1.8,0.11,28.87,-0.6979,-1.4143,0.8755,-0.2328
2026-05-31 00:00,0,短ATR状态,短ATR降温,100,3,1827,强,29.72,35.14,64.86,9.85,8.16,34.43,-1.0652,-3.0608,0.9422,-0.1773
2026-05-31 00:00,0,短ATR状态,短ATR降温,100,5,1826,强,25.52,37.24,62.76,14.02,22.18,34.83,-1.0145,-3.3061,0.9465,-0.1715
2026-05-31 00:00,0,短ATR状态,短ATR降温,100,10,1826,中,14.57,42.72,57.28,22.12,31.93,41.29,0.4746,-3.3167,1.0056,-0.1041
2026-05-31 00:00,0,余动能状态,接近正常动能,31.87,1,1605,中,8.54,45.73,54.27,3.24,0.19,38.19,0.194,-0.323,0.989,-0.1283
2026-05-31 00:00,0,余动能状态,接近正常动能,31.87,3,1605,中,9.03,45.48,54.52,11.28,5.42,40.5,0.6237,-0.7066,1.0041,-0.1168
2026-05-31 00:00,0,余动能状态,接近正常动能,31.87,5,1605,中,9.91,45.05,54.95,16.07,13.89,38.01,1.0699,-1.1594,0.9893,-0.1369
2026-05-31 00:00,0,余动能状态,接近正常动能,31.87,10,1603,弱,6.43,46.79,53.21,26.45,26.2,36.24,2.5653,-1.2374,0.9713,-0.1549
2026-05-31 00:00,0,趋势状态,弱趋势混合,55.09,1,425,强,26.59,36.71,63.29,1.65,0.71,30.59,-0.6646,-1.0024,0.891,-0.1784
2026-05-31 00:00,0,趋势状态,弱趋势混合,55.09,3,424,中强,22.17,38.92,61.08,8.96,7.78,31.37,-0.9998,-2.4546,0.9153,-0.1892
2026-05-31 00:00,0,趋势状态,弱趋势混合,55.09,5,423,强,28.61,35.7,64.3,13.24,16.08,35.22,-1.4069,-3.3066,0.9519,-0.167
2026-05-31 00:00,0,趋势状态,弱趋势混合,55.09,10,423,中强,18.2,40.9,59.1,20.09,34.99,36.17,-1.8754,-4.6247,0.954,-0.1426
2026-05-31 00:00,0,量能状态,缩量,44.34,1,2295,强,31.59,34.2,65.8,1.53,0.04,27.06,-0.7715,-1.4776,0.8615,-0.2396
2026-05-31 00:00,0,量能状态,缩量,44.34,3,2293,强,33.71,33.14,66.86,8.24,9.03,33.41,-1.3921,-3.1773,0.9311,-0.1831
2026-05-31 00:00,0,量能状态,缩量,44.34,5,2291,强,27.89,36.05,63.95,13.53,22.61,35.44,-1.2521,-3.5473,0.9565,-0.163
2026-05-31 00:00,0,量能状态,缩量,44.34,10,2289,中强,20.14,39.93,60.07,20.49,34.69,39.14,-0.9126,-4.4332,0.9937,-0.1187
