treeType,horizon,rank,feature,featureKey,importance
状态解释树,,1,振幅/21日ATR百分位,volatilityMultiple21Percentile,429.3991
状态解释树,,2,趋势动能,trendScore,326.1258
状态解释树,,3,8日ATR百分位,atr8Percentile,202.7612
状态解释树,,4,振幅/21日ATR,volatilityMultiple21,201.3919
状态解释树,,5,3日ATR百分位,atr3Percentile,195.7192
状态解释树,,6,3日ATR率,atr3Pct,45.8273
状态解释树,,7,剩余动能率,remainingMomentumPct,35.7949
状态解释树,,8,34日涨跌,d34,5.54
波动变化树,1,1,振幅率,rangePct,86.5722
波动变化树,1,2,中值乖离ATR,middleDeviationAtr,15.7468
波动变化树,1,3,振幅/3日ATR,volatilityMultiple3,15.4249
波动变化树,1,4,振幅/8日ATR,volatilityMultiple8,10.24
波动变化树,1,5,3/21日ATR比,atr3To21,6.8616
波动变化树,1,6,量能倍率,volumeMultiple,5.4586
波动变化树,1,7,ATR率,atrPct,4.4736
波动变化树,1,8,拉伸热度,stretchHeat,2.8492
波动变化树,3,1,3/21日ATR比,atr3To21,22.0376
波动变化树,3,2,13日ATR百分位,atr13Percentile,18.2588
波动变化树,3,3,21日涨跌,d21,14.7953
波动变化树,3,4,振幅/21日ATR,volatilityMultiple21,10.8804
波动变化树,3,5,M2货币供应,macroM2,9.1713
波动变化树,3,6,拉伸热度,stretchHeat,8.7248
波动变化树,3,7,8日涨跌,d8,8.7033
波动变化树,3,8,ATR率,atrPct,8.5705
波动变化树,3,9,21日ATR百分位,atr21Percentile,6.3719
波动变化树,3,10,美元指数代理,macroDollarIndex,4.6919
波动变化树,3,11,233MA乖离率,maDeviationRate,3.215
波动变化树,3,12,M2 63日变化率,macroM263dChangePct,2.7536
波动变化树,5,1,21日ATR率,atr21Pct,51.7919
波动变化树,5,2,MA位置百分位,maPositionPct,24.2734
波动变化树,5,3,量能倍率,volumeMultiple,18.7091
波动变化树,5,4,8/13日ATR比,atr8To13,12.6446
波动变化树,5,5,振幅/ATR,volatilityMultiple,10.9085
波动变化树,5,6,21日涨跌,d21,9.2732
波动变化树,5,7,中值乖离ATR,middleDeviationAtr,9.2707
波动变化树,5,8,美元指数代理,macroDollarIndex,8.1525
波动变化树,5,9,8日涨跌,d8,6.7982
波动变化树,5,10,M2 63日变化率,macroM263dChangePct,6.2928
波动变化树,5,11,M2货币供应,macroM2,5.5771
波动变化树,5,12,8/21日ATR比,atr8To21,3.2801
波动变化树,10,1,233MA乖离ATR,maDeviationAtr,76.2128
波动变化树,10,2,ATR百分位,atrPercentile,75.8304
波动变化树,10,3,21日ATR率,atr21Pct,42.5063
波动变化树,10,4,3/8日ATR比,atr3To8,16.6693
波动变化树,10,5,美元指数代理,macroDollarIndex,11.3265
波动变化树,10,6,联邦基金利率,macroFedFunds,8.0683
波动变化树,10,7,MA位置百分位,maPositionPct,7.3669
波动变化树,10,8,中值乖离ATR,middleDeviationAtr,7.3147
波动变化树,10,9,21日ATR百分位,atr21Percentile,5.6166
波动变化树,10,10,21日涨跌,d21,2.9006
策略适配树,1,1,中值乖离ATR,middleDeviationAtr,294.5156
策略适配树,1,1,中值乖离率,middleDeviationRate,241.7331
策略适配树,3,1,中值位置百分位,middlePositionPct,23.5223
策略适配树,3,2,10年美债收益率,macroUs10y,8.4902
策略适配树,3,3,3/8日ATR比,atr3To8,5.434
策略适配树,3,4,13日涨跌,d13,4.8226
策略适配树,3,5,中值乖离率,middleDeviationRate,4.7848
策略适配树,3,1,中值乖离ATR,middleDeviationAtr,266.5508
策略适配树,3,2,21日涨跌,d21,11.9779
策略适配树,3,3,联邦基金利率,macroFedFunds,6.7035
