treeType,horizon,routeKey,routeLabel,ruleId,predictionKey,prediction,samples,purityPct,conditions,distribution,topClass,topSharePct,secondClass,secondSharePct,edgePct,baselinePct,liftPct,fitProbabilityPct,notFitProbabilityPct,quality,auditReason
状态解释树,,,,1,1,S1 低波动压缩态,484,95.66,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 <= 28.3284 AND 趋势动能 <= 10.0662 AND 振幅/21日ATR <= 0.619,S1 低波动压缩态:95.7% | S5 下侧趋势共振态:2.3% | S4 上侧趋势共振态:1.9% | S2 中性震荡态:0.2%,S1 低波动压缩态,95.66,S5 下侧趋势共振态,2.27,93.39,19.86,75.8,,,强参考,样本、纯度、优势差距都达标
状态解释树,,,,2,2,S2 中性震荡态,463,82.29,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 <= 39.446 AND 振幅/21日ATR <= 1.2356 AND 趋势动能 <= 4.512,S2 中性震荡态:82.3% | S5 下侧趋势共振态:5.4% | S4 上侧趋势共振态:4.8% | S1 低波动压缩态:3.7%,S2 中性震荡态,82.29,S5 下侧趋势共振态,5.4,76.89,16.23,66.06,,,强参考,样本、纯度、优势差距都达标
状态解释树,,,,3,3,S3 放量波动扩张态,354,64.69,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 > 39.446 AND 振幅/21日ATR百分位 > 60.4833 AND 趋势动能 <= 8.6577,S3 放量波动扩张态:64.7% | S0 下侧趋势共振态:15.8% | S8 放量波动扩张态:7.9% | S7 放量波动扩张态:4.5%,S3 放量波动扩张态,64.69,S0 下侧趋势共振态,15.82,48.87,9.96,54.73,,,观察,达最低门槛，但还不够强
状态解释树,,,,4,5,S5 下侧趋势共振态,302,65.56,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 > 39.446 AND 振幅/21日ATR百分位 <= 60.4833 AND 3日ATR率 <= 7.8658,S5 下侧趋势共振态:65.6% | S4 上侧趋势共振态:22.5% | S0 下侧趋势共振态:3.6% | S6 上侧趋势共振态:3.6%,S5 下侧趋势共振态,65.56,S4 上侧趋势共振态,22.52,43.04,15.61,49.95,,,强参考,样本、纯度、优势差距都达标
状态解释树,,,,5,4,S4 上侧趋势共振态,290,71.72,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 <= 39.446 AND 振幅/21日ATR <= 1.2356 AND 趋势动能 > 4.512,S4 上侧趋势共振态:71.7% | S2 中性震荡态:17.2% | S7 放量波动扩张态:9% | S1 低波动压缩态:1.7%,S4 上侧趋势共振态,71.72,S2 中性震荡态,17.24,54.48,14.79,56.93,,,观察,达最低门槛，但还不够强
状态解释树,,,,6,7,S7 放量波动扩张态,284,80.63,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 <= 39.446 AND 振幅/21日ATR > 1.2356 AND 剩余动能率 <= 3.9483,S7 放量波动扩张态:80.6% | S3 放量波动扩张态:8.8% | S2 中性震荡态:5.6% | S4 上侧趋势共振态:2.5%,S7 放量波动扩张态,80.63,S3 放量波动扩张态,8.8,71.83,10.17,70.46,,,观察,达最低门槛，但还不够强
状态解释树,,,,7,6,S6 上侧趋势共振态,222,69.37,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 > 39.446 AND 振幅/21日ATR百分位 > 60.4833 AND 趋势动能 > 8.6577,S6 上侧趋势共振态:69.4% | S4 上侧趋势共振态:10.8% | S8 放量波动扩张态:10.8% | S7 放量波动扩张态:5%,S6 上侧趋势共振态,69.37,S4 上侧趋势共振态,10.81,58.56,6.16,63.21,,,观察,达最低门槛，但还不够强
状态解释树,,,,8,5,S5 下侧趋势共振态,164,90.85,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 > 28.3284 AND 8日ATR百分位 > 41.1452 AND 34日涨跌 <= 5.2981,S5 下侧趋势共振态:90.8% | S0 下侧趋势共振态:6.7% | S1 低波动压缩态:2.4%,S5 下侧趋势共振态,90.85,S0 下侧趋势共振态,6.71,84.14,15.61,75.24,,,弱参考,样本少于200
状态解释树,,,,9,1,S1 低波动压缩态,89,62.92,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 <= 28.3284 AND 趋势动能 <= 10.0662 AND 振幅/21日ATR > 0.619,S1 低波动压缩态:62.9% | S4 上侧趋势共振态:16.9% | S5 下侧趋势共振态:11.2% | S2 中性震荡态:9%,S1 低波动压缩态,62.92,S4 上侧趋势共振态,16.85,46.07,19.86,43.06,,,弱参考,样本少于200
状态解释树,,,,10,1,S1 低波动压缩态,63,41.27,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 > 28.3284 AND 8日ATR百分位 <= 41.1452,S1 低波动压缩态:41.3% | S4 上侧趋势共振态:31.8% | S5 下侧趋势共振态:27%,S1 低波动压缩态,41.27,S4 上侧趋势共振态,31.75,9.52,19.86,21.41,,,弱参考,样本少于200；纯度低于50%；第一名领先不足10%
状态解释树,,,,11,0,S0 下侧趋势共振态,56,82.14,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 > 39.446 AND 振幅/21日ATR百分位 <= 60.4833 AND 3日ATR率 > 7.8658,S0 下侧趋势共振态:82.1% | S5 下侧趋势共振态:10.7% | S6 上侧趋势共振态:7.1%,S0 下侧趋势共振态,82.14,S5 下侧趋势共振态,10.71,71.43,,,,,弱参考,样本少于200
状态解释树,,,,12,8,S8 放量波动扩张态,52,63.46,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 <= 39.446 AND 振幅/21日ATR > 1.2356 AND 剩余动能率 > 3.9483,S8 放量波动扩张态:63.5% | S3 放量波动扩张态:19.2% | S7 放量波动扩张态:17.3%,S8 放量波动扩张态,63.46,S3 放量波动扩张态,19.23,44.23,2.94,60.52,,,弱参考,样本少于200
状态解释树,,,,13,5,S5 下侧趋势共振态,50,66,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 > 28.3284 AND 8日ATR百分位 > 41.1452 AND 34日涨跌 > 5.2981,S5 下侧趋势共振态:66% | S4 上侧趋势共振态:28% | S6 上侧趋势共振态:4% | S0 下侧趋势共振态:2%,S5 下侧趋势共振态,66,S4 上侧趋势共振态,28,38,15.61,50.39,,,弱参考,样本少于200
状态解释树,,,,14,4,S4 上侧趋势共振态,48,81.25,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 <= 28.3284 AND 趋势动能 > 10.0662,S4 上侧趋势共振态:81.3% | S1 低波动压缩态:18.8%,S4 上侧趋势共振态,81.25,S1 低波动压缩态,18.75,62.5,14.79,66.46,,,弱参考,样本少于200
波动变化树,1,,,1,volFlat,波动平稳,1900,85.11,振幅率 <= 6.8872 AND 振幅/3日ATR <= 1.0992,波动平稳:85.1% | 波动升高:7.6% | 波动降低:7.3%,波动平稳,85.11,波动升高,7.63,77.48,75.92,9.19,,,强参考,样本、纯度、优势差距都达标
波动变化树,1,,,2,volFlat,波动平稳,394,73.1,振幅率 <= 6.8872 AND 振幅/3日ATR > 1.0992 AND ATR率 <= 4.1109,波动平稳:73.1% | 波动升高:19% | 波动降低:7.9%,波动平稳,73.1,波动升高,19.04,54.06,75.92,-2.82,,,弱参考,相对基准提升不足5%
波动变化树,1,,,3,volFlat,波动平稳,148,62.16,振幅率 > 6.8872 AND 中值乖离ATR > -1.4945 AND 振幅率 <= 9.7065 AND 量能倍率 > 0.9276,波动平稳:62.2% | 波动升高:23% | 波动降低:14.9%,波动平稳,62.16,波动升高,22.97,39.19,75.92,-13.76,,,弱参考,样本少于200；相对基准提升不足5%
波动变化树,1,,,4,volFlat,波动平稳,95,54.74,振幅率 <= 6.8872 AND 振幅/3日ATR > 1.0992 AND ATR率 > 4.1109 AND 拉伸热度 > 29.6357,波动平稳:54.7% | 波动降低:31.6% | 波动升高:13.7%,波动平稳,54.74,波动降低,31.58,23.16,75.92,-21.18,,,弱参考,样本少于200；相对基准提升不足5%
波动变化树,1,,,5,volFlat,波动平稳,81,72.84,振幅率 <= 6.8872 AND 振幅/3日ATR > 1.0992 AND ATR率 > 4.1109 AND 拉伸热度 <= 29.6357,波动平稳:72.8% | 波动降低:13.6% | 波动升高:13.6%,波动平稳,72.84,波动降低,13.58,59.26,75.92,-3.08,,,弱参考,样本少于200；相对基准提升不足5%
波动变化树,1,,,6,volFlat,波动平稳,73,41.1,振幅率 > 6.8872 AND 中值乖离ATR > -1.4945 AND 振幅率 > 9.7065 AND 3/21日ATR比 > 1.4096,波动平稳:41.1% | 波动升高:37% | 波动降低:21.9%,波动平稳,41.1,波动升高,36.99,4.11,75.92,-34.82,,,弱参考,样本少于200；纯度低于50%；第一名领先不足10%；相对基准提升不足5%
波动变化树,1,,,7,volFlat,波动平稳,65,50.77,振幅率 > 6.8872 AND 中值乖离ATR > -1.4945 AND 振幅率 <= 9.7065 AND 量能倍率 <= 0.9276,波动平稳:50.8% | 波动降低:43.1% | 波动升高:6.2%,波动平稳,50.77,波动降低,43.08,7.69,75.92,-25.15,,,弱参考,样本少于200；第一名领先不足10%；相对基准提升不足5%
波动变化树,1,,,8,volFlat,波动平稳,63,44.44,振幅率 > 6.8872 AND 中值乖离ATR <= -1.4945 AND 振幅/8日ATR <= 1.7139,波动平稳:44.4% | 波动升高:38.1% | 波动降低:17.5%,波动平稳,44.44,波动升高,38.1,6.34,75.92,-31.48,,,弱参考,样本少于200；纯度低于50%；第一名领先不足10%；相对基准提升不足5%
波动变化树,1,,,9,volDown,波动降低,61,59.02,振幅率 > 6.8872 AND 中值乖离ATR > -1.4945 AND 振幅率 > 9.7065 AND 3/21日ATR比 <= 1.4096,波动降低:59% | 波动平稳:22.9% | 波动升高:18%,波动降低,59.02,波动平稳,22.95,36.07,11.06,47.96,,,弱参考,样本少于200
波动变化树,1,,,10,volUp,波动升高,40,90,振幅率 > 6.8872 AND 中值乖离ATR <= -1.4945 AND 振幅/8日ATR > 1.7139,波动升高:90% | 波动平稳:10%,波动升高,90,波动平稳,10,80,13.01,76.99,,,弱参考,样本少于200
波动变化树,3,,,1,volFlat,波动平稳,806,46.28,3/21日ATR比 <= 1.15 AND 13日ATR百分位 <= 59.4597 AND 21日涨跌 <= 3.3881 AND M2货币供应 > 18680.05,波动平稳:46.3% | 波动降低:34.5% | 波动升高:19.2%,波动平稳,46.28,波动降低,34.49,11.79,44.31,1.97,,,弱参考,纯度低于50%；相对基准提升不足5%
波动变化树,3,,,2,volFlat,波动平稳,507,50.1,3/21日ATR比 <= 1.15 AND 13日ATR百分位 <= 59.4597 AND 21日涨跌 > 3.3881 AND ATR率 > 3.1813,波动平稳:50.1% | 波动降低:29% | 波动升高:20.9%,波动平稳,50.1,波动降低,28.99,21.11,44.31,5.79,,,观察,达最低门槛，但还不够强
波动变化树,3,,,3,volFlat,波动平稳,442,52.04,3/21日ATR比 > 1.15 AND 振幅/21日ATR <= 1.9909 AND 拉伸热度 <= 78.3085 AND 21日ATR百分位 > 4.339,波动平稳:52% | 波动降低:25.3% | 波动升高:22.6%,波动平稳,52.04,波动降低,25.34,26.7,44.31,7.73,,,观察,达最低门槛，但还不够强
波动变化树,3,,,4,volDown,波动降低,362,50,3/21日ATR比 <= 1.15 AND 13日ATR百分位 <= 59.4597 AND 21日涨跌 <= 3.3881 AND M2货币供应 <= 18680.05,波动降低:50% | 波动平稳:36.7% | 波动升高:13.3%,波动降低,50,波动平稳,36.74,13.26,33.34,16.66,,,观察,达最低门槛，但还不够强
波动变化树,3,,,5,volFlat,波动平稳,224,51.79,3/21日ATR比 <= 1.15 AND 13日ATR百分位 <= 59.4597 AND 21日涨跌 > 3.3881 AND ATR率 <= 3.1813,波动平稳:51.8% | 波动升高:33.9% | 波动降低:14.3%,波动平稳,51.79,波动升高,33.93,17.86,44.31,7.48,,,观察,达最低门槛，但还不够强
波动变化树,3,,,6,volDown,波动降低,147,44.9,3/21日ATR比 <= 1.15 AND 13日ATR百分位 > 59.4597 AND 美元指数代理 <= 116.4175 AND 233MA乖离率 <= 83.8776,波动降低:44.9% | 波动平稳:43.5% | 波动升高:11.6%,波动降低,44.9,波动平稳,43.54,1.36,33.34,11.56,,,弱参考,样本少于200；纯度低于50%；第一名领先不足10%
波动变化树,3,,,7,volDown,波动降低,71,56.34,3/21日ATR比 <= 1.15 AND 13日ATR百分位 > 59.4597 AND 美元指数代理 > 116.4175 AND ATR率 <= 6.402,波动降低:56.3% | 波动平稳:38% | 波动升高:5.6%,波动降低,56.34,波动平稳,38.03,18.31,33.34,23,,,弱参考,样本少于200
波动变化树,3,,,8,volDown,波动降低,66,50,3/21日ATR比 <= 1.15 AND 13日ATR百分位 > 59.4597 AND 美元指数代理 <= 116.4175 AND 233MA乖离率 > 83.8776,波动降低:50% | 波动升高:27.3% | 波动平稳:22.7%,波动降低,50,波动升高,27.27,22.73,33.34,16.66,,,弱参考,样本少于200
波动变化树,3,,,9,volDown,波动降低,61,77.05,3/21日ATR比 <= 1.15 AND 13日ATR百分位 > 59.4597 AND 美元指数代理 > 116.4175 AND ATR率 > 6.402,波动降低:77% | 波动平稳:19.7% | 波动升高:3.3%,波动降低,77.05,波动平稳,19.67,57.38,33.34,43.71,,,弱参考,样本少于200
波动变化树,3,,,10,volFlat,波动平稳,58,39.66,3/21日ATR比 > 1.15 AND 振幅/21日ATR > 1.9909 AND 8日涨跌 > -3.0306 AND M2 63日变化率 <= 0.8963,波动平稳:39.7% | 波动降低:34.5% | 波动升高:25.9%,波动平稳,39.66,波动降低,34.48,5.18,44.31,-4.65,,,弱参考,样本少于200；纯度低于50%；第一名领先不足10%；相对基准提升不足5%
波动变化树,3,,,11,volUp,波动升高,50,52,3/21日ATR比 > 1.15 AND 振幅/21日ATR > 1.9909 AND 8日涨跌 > -3.0306 AND M2 63日变化率 > 0.8963,波动升高:52% | 波动平稳:26% | 波动降低:22%,波动升高,52,波动平稳,26,26,22.34,29.66,,,弱参考,样本少于200
