kind,kindKey,metric,metricKey,unit,bucket,bucketRange,horizon,valueMin,valueMedian,valueMax,occurrences,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,continuationDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,avgAtrChangePct,medianAtrChangePct,avgDistanceChangeAtr,medianDistanceChangeAtr,avgReturnPct,medianReturnPct,upRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
233MA,ma233,233MA乖离率,maDeviationRate,%,极低,0-10%,1,-55.6965,-37.5768,-32.7136,292,40.07,59.93,0,51.03,48.97,42.12,57.88,4.45,1.71,-0.0362,-1.0048,-0.0038,0.1722,0.1208,0.1033,51.03,2.698,-2.7216,2020-03-18
233MA,ma233,233MA乖离率,maDeviationRate,%,偏低,10-30%,1,-32.7067,-20.368,-12.2336,584,40.24,59.76,0,50.34,49.66,38.87,61.13,5.14,0.17,0.2004,-1.313,-0.0317,0.1038,-0.0383,0.0163,50.34,2.1514,-2.2876,2020-04-17
233MA,ma233,233MA乖离率,maDeviationRate,%,中性,30-70%,1,-12.2311,6.7137,21.9442,1167,42.33,57.67,6,49.36,50.64,40.53,59.47,4.11,0.43,0.0034,-0.9601,0.0437,0.0767,0.0878,0.1133,52.27,1.9783,-1.9447,2021-10-11
233MA,ma233,233MA乖离率,maDeviationRate,%,偏高,70-90%,1,21.9699,35.7834,61.327,584,40.75,59.25,0,46.23,53.77,45.21,54.79,4.11,0,0.2568,-0.4325,-0.0197,0.1284,0.1982,0.1506,53.77,2.0528,-2.1313,2019-08-19
233MA,ma233,233MA乖离率,maDeviationRate,%,极高,90-100%,1,61.3274,89.964,199.6345,293,44.03,55.97,0,45.73,54.27,44.37,55.63,7.51,1.37,0.349,-0.4298,-0.0664,0.0979,0.4874,0.3249,54.27,3.5733,-3.5709,2021-01-07
233MA,ma233,233MA乖离率,maDeviationRate,%,极低,0-10%,3,-55.6965,-37.5768,-32.7136,292,39.73,60.27,0,51.03,48.97,34.25,65.75,8.22,11.64,-1.4597,-4.3451,-0.0142,0.3072,0.3955,0.0433,51.03,4.748,-4.4614,2020-03-18
233MA,ma233,233MA乖离率,maDeviationRate,%,偏低,10-30%,3,-32.7067,-20.3903,-12.2336,582,45.53,54.47,0.52,52.06,47.94,33.33,66.67,12.89,10.65,0.8178,-3.0816,-0.1184,0.1105,-0.0692,0.1494,52.06,3.946,-4.2114,2020-04-17
233MA,ma233,233MA乖离率,maDeviationRate,%,中性,30-70%,3,-12.2311,6.7137,21.9442,1167,40.96,59.04,10.88,47.99,52.01,39.59,60.41,10.8,8.48,0.25,-2.0657,0.1436,0.1791,0.2655,0.1304,51.76,3.6509,-3.4663,2021-10-11
233MA,ma233,233MA乖离率,maDeviationRate,%,偏高,70-90%,3,21.9699,35.7834,61.327,584,47.09,52.91,0,48.12,51.88,41.78,58.22,14.21,6.34,0.8974,-1.3451,-0.0482,0.0624,0.6131,0.19,51.88,3.8223,-3.6409,2019-08-19
233MA,ma233,233MA乖离率,maDeviationRate,%,极高,90-100%,3,61.3274,89.964,199.6345,293,50.17,49.83,0,45.05,54.95,45.39,54.61,21.16,10.58,2.1764,-1.2818,-0.2191,-0.0055,1.3091,1.2154,54.95,6.6669,-6.004,2021-01-07
