component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,975,强,28.62,35.69,64.31,4.72,0,38.97,0.0794,-1.5667,0.9789,-0.1351,2026-05-28
波动超额状态,接近一倍ATR,3,975,中强,21.85,39.08,60.92,12.1,8.51,37.74,0.3777,-2.3841,1.0032,-0.1222,2026-05-28
波动超额状态,接近一倍ATR,5,974,中强,21.56,39.22,60.78,16.94,21.05,38.6,0.7374,-3.2691,0.9926,-0.1294,2026-05-26
波动超额状态,接近一倍ATR,10,970,中强,16.08,41.96,58.04,25.15,35.57,38.14,2.1633,-3.4261,0.9849,-0.1288,2026-05-21
波动超额状态,振幅未满ATR,1,1230,强,42.76,28.62,71.38,3.74,0,31.3,-0.7266,-2.0122,0.8916,-0.2003,2026-05-30
波动超额状态,振幅未满ATR,3,1228,强,31.6,34.2,65.8,10.5,9.69,37.21,-0.6445,-3.1959,0.9684,-0.1531,2026-05-20
波动超额状态,振幅未满ATR,5,1228,强,30.78,34.61,65.39,14.09,24.19,38.11,-0.8587,-4.1571,0.9679,-0.1443,2026-05-20
波动超额状态,振幅未满ATR,10,1228,强,26.71,36.64,63.36,21.42,43.24,40.47,-0.2425,-7.0935,1.009,-0.1109,2026-05-20
波动超额状态,振幅已超ATR,1,718,弱,5.29,47.35,52.65,7.94,0.14,51.67,1.6848,-0.2856,1.1881,0.0183,2026-05-27
波动超额状态,振幅已超ATR,3,718,弱,2.79,48.61,51.39,16.85,4.87,43.31,2.7139,-0.2249,1.0245,-0.0817,2026-05-27
波动超额状态,振幅已超ATR,5,717,弱,2.09,48.95,51.05,23.29,13.95,40.73,4.4555,-0.2901,1.0409,-0.0983,2026-05-22
波动超额状态,振幅已超ATR,10,716,弱,1.12,50.56,49.44,31.98,27.93,37.57,7.1315,0.276,0.9843,-0.1456,2026-05-14
波动状态,波动压缩,1,864,强,40.28,29.86,70.14,4.4,0,33.45,-0.4989,-1.8508,0.9104,-0.1975,2026-05-30
波动状态,波动压缩,3,862,中强,21.11,39.44,60.56,12.88,7.66,39.79,0.3721,-2.2127,1.0139,-0.1275,2026-05-28
波动状态,波动压缩,5,861,中强,19.16,40.42,59.58,17.31,20.33,41.58,1.0873,-2.8196,1.0212,-0.1071,2026-05-21
波动状态,波动压缩,10,861,中,9.41,45.3,54.7,27.29,34.84,42.39,3.6625,-3.3028,1.0492,-0.0941,2026-05-21
波动状态,常态波动,1,556,强,35.25,32.37,67.63,4.5,0,35.97,-0.0551,-1.8248,0.9538,-0.1428,2026-04-22
波动状态,常态波动,3,556,强,33.45,33.27,66.73,11.51,8.63,36.51,-0.1939,-3.3234,0.9535,-0.1355,2026-04-22
波动状态,常态波动,5,556,强,29.14,35.43,64.57,14.39,21.58,37.77,-0.4987,-3.8584,0.9596,-0.1331,2026-04-22
波动状态,常态波动,10,556,强,33.45,33.27,66.73,19.96,40.29,35.07,-0.5906,-6.4427,0.938,-0.1603,2026-04-22
波动状态,低波动启动,1,978,中,8.79,45.6,54.4,6.34,0,47.96,1.2834,-0.5595,1.1291,-0.0239,2026-05-27
波动状态,低波动启动,3,978,弱,2.45,48.77,51.23,16.05,3.89,42.43,2.6203,-0.2301,1.0454,-0.0854,2026-05-27
波动状态,低波动启动,5,977,弱,1.54,49.23,50.77,22.93,13.1,41.76,4.4116,-0.2049,1.0528,-0.092,2026-05-26
波动状态,低波动启动,10,972,中,11.93,55.97,44.03,34.47,22.84,42.49,9.0017,2.5196,1.0386,-0.0896,2026-05-17
波动状态,高波动扩张,1,250,强,32,34,66,6.8,0.4,44.4,0.2064,-1.8489,1.0432,-0.0631,2026-03-08
波动状态,高波动扩张,3,250,中强,24.8,37.6,62.4,10.8,14,38.8,-0.1416,-3.3495,0.9694,-0.1183,2026-03-08
波动状态,高波动扩张,5,250,强,32,34,66,15.2,29.6,34.4,-0.8271,-5.3253,0.912,-0.1654,2026-03-08
波动状态,高波动扩张,10,250,强,48.8,25.6,74.4,16.4,52.4,26.8,-5.0193,-11.2986,0.8483,-0.2274,2026-03-08
波动状态,高波动冷却,1,275,强,48.36,25.82,74.18,2.55,0,24.36,-1.6424,-2.5904,0.8079,-0.2498,2026-03-27
波动状态,高波动冷却,3,275,强,60.73,19.64,80.36,3.27,18.18,28.36,-4.4173,-4.9738,0.8507,-0.195,2026-03-27
波动状态,高波动冷却,5,275,强,65.82,17.09,82.91,5.09,38.18,26.91,-6.9233,-8.2959,0.8445,-0.2261,2026-03-27
波动状态,高波动冷却,10,275,强,73.82,13.09,86.91,5.09,72.36,34.91,-12.4116,-14.9838,0.9189,-0.1433,2026-03-27
短ATR状态,短ATR降温,1,1035,强,39.9,30.05,69.95,3.86,0.1,32.85,-0.5022,-1.957,0.9149,-0.2,2026-05-30
短ATR状态,短ATR降温,3,1033,强,30.11,34.95,65.05,11.42,11.33,35.04,-0.6579,-3.5262,0.9488,-0.1785,2026-05-21
短ATR状态,短ATR降温,5,1033,强,32.62,33.69,66.31,14.42,28.94,34.08,-0.8743,-4.6978,0.9532,-0.1707,2026-05-21
短ATR状态,短ATR降温,10,1033,强,26.82,36.59,63.41,21.68,44.72,37.66,0.5155,-7.481,1.0074,-0.1343,2026-05-21
短ATR状态,短ATR升温,1,815,中,8.71,45.64,54.36,7.85,0,51.04,1.4094,-0.5166,1.1513,0.0123,2026-03-05
短ATR状态,短ATR升温,3,815,弱,0.86,49.57,50.43,17.91,4.17,45.4,3.2786,-0.0815,1.0733,-0.0548,2026-03-05
短ATR状态,短ATR升温,5,815,弱,0.86,49.57,50.43,25.03,11.78,44.66,4.8665,-0.1986,1.0476,-0.0548,2026-03-05
短ATR状态,短ATR升温,10,815,弱,6.01,46.99,53.01,31.66,28.1,37.79,5.7955,-1.2514,0.9735,-0.1327,2026-03-05
短ATR状态,短ATR中性,1,1073,强,33.46,33.27,66.73,4.19,0,35.41,-0.2194,-1.7018,0.9495,-0.1526,2026-05-28
短ATR状态,短ATR中性,3,1073,强,28.24,35.88,64.12,9.69,8.01,37.65,-0.4352,-2.6757,0.9767,-0.1333,2026-05-28
短ATR状态,短ATR中性,5,1071,中强,24.18,37.91,62.09,14.19,19.33,39.22,-0.1912,-3.1264,0.9927,-0.124,2026-05-26
短ATR状态,短ATR中性,10,1066,中,14.07,42.96,57.04,23.83,36.12,41.18,1.5487,-3.9144,0.9992,-0.1038,2026-05-17
量能状态,放量,1,419,弱,2.63,51.31,48.69,9.31,0,55.37,2.1613,0.1095,1.2364,0.0586,2026-05-18
量能状态,放量,3,419,中,9.31,54.65,45.35,21.96,3.34,46.06,4.4932,0.9494,1.0939,-0.0515,2026-05-18
量能状态,放量,5,419,弱,7.88,53.94,46.06,29.83,11.46,41.05,6.0385,1.625,1.017,-0.0993,2026-05-18
量能状态,放量,10,419,弱,6.92,53.46,46.54,32.7,22.2,35.08,6.9193,1.651,0.9391,-0.1691,2026-05-18
量能状态,量能正常,1,1550,强,32.26,33.87,66.13,5.1,0,37.74,0.0271,-1.6549,0.9801,-0.1429,2026-05-29
量能状态,量能正常,3,1549,中强,24.85,37.57,62.43,11.81,9.04,37.57,0.2396,-2.7004,0.9824,-0.1363,2026-05-28
量能状态,量能正常,5,1547,中强,23.34,38.33,61.67,15.64,21.78,38.85,0.636,-3.6493,1.0012,-0.1197,2026-05-26
量能状态,量能正常,10,1544,中强,16.45,41.77,58.23,26.17,36.59,39.51,3.5094,-4.0081,1.0064,-0.1189,2026-05-21
量能状态,缩量,1,954,强,37.11,31.45,68.55,3.25,0.1,33.44,-0.5809,-1.7894,0.9087,-0.1774,2026-05-30
量能状态,缩量,3,953,强,28.86,35.57,64.43,9.76,8.71,37.88,-0.7643,-2.9736,0.9683,-0.1483,2026-05-24
量能状态,缩量,5,953,强,28.86,35.57,64.43,14.48,22.77,38.09,-0.6881,-3.9282,0.9724,-0.1467,2026-05-24
量能状态,缩量,10,951,强,26.39,36.8,63.2,20.5,43.95,39.85,-1.4836,-7.0749,1.0008,-0.1093,2026-05-19
趋势状态,强趋势上行,1,1174,中强,15.67,42.16,57.84,5.88,0,47.96,0.7159,-0.6941,1.0925,-0.0287,2026-05-13
趋势状态,强趋势上行,3,1174,弱,5.45,47.27,52.73,15.59,3.75,47.1,2.1982,-0.5182,1.0851,-0.0341,2026-05-13
趋势状态,强趋势上行,5,1174,弱,0.68,49.66,50.34,21.72,10.05,45.49,3.4354,-0.1476,1.0578,-0.0493,2026-05-13
趋势状态,强趋势上行,10,1174,弱,3.41,51.7,48.3,32.62,23.25,44.63,6.1587,0.6952,1.0503,-0.0623,2026-05-13
趋势状态,强趋势下行,1,874,强,36.61,31.69,68.31,5.84,0.11,34.32,0.1021,-1.8958,0.9615,-0.1677,2026-05-30
趋势状态,强趋势下行,3,872,强,28.44,35.78,64.22,13.3,12.16,32.8,0.22,-3.9063,0.9383,-0.1824,2026-05-28
趋势状态,强趋势下行,5,870,强,34.25,32.87,67.13,17.13,29.43,33.91,0.2637,-5.9506,0.9468,-0.1734,2026-05-26
趋势状态,强趋势下行,10,867,强,36.33,31.83,68.17,19.26,50.29,33.22,-0.4515,-10.1352,0.9212,-0.1785,2026-05-21
趋势状态,趋势不明,1,340,强,38.82,30.59,69.41,3.24,0,30.59,-0.7973,-1.81,0.8623,-0.2104,2026-05-16
趋势状态,趋势不明,3,340,强,37.65,31.18,68.82,7.94,9.71,34.41,-1.5291,-3.364,0.9449,-0.1825,2026-05-16
趋势状态,趋势不明,5,340,强,32.35,33.82,66.18,11.47,27.35,36.47,-1.3431,-4.4474,0.9742,-0.163,2026-05-16
趋势状态,趋势不明,10,340,中强,15.29,42.35,57.65,24.41,41.47,39.71,2.5237,-5.0335,1.0319,-0.0974,2026-05-16
趋势状态,弱趋势混合,1,224,强,38.39,30.8,69.2,4.46,0,32.59,-0.2994,-1.8563,0.9136,-0.1941,2026-05-19
趋势状态,弱趋势混合,3,224,强,35.71,32.14,67.86,7.59,9.38,30.36,-1.339,-3.3956,0.8736,-0.1699,2026-05-19
趋势状态,弱趋势混合,5,224,强,41.96,29.02,70.98,11.61,26.79,32.59,-2.2164,-5.8041,0.9023,-0.1784,2026-05-19
趋势状态,弱趋势混合,10,224,强,31.25,34.38,65.63,20.54,46.88,32.14,-2.5614,-8.4217,0.9486,-0.1973,2026-05-19
趋势状态,弱趋势上行,1,127,强,33.86,33.07,66.93,1.57,0,35.43,-0.7296,-1.8569,0.9369,-0.1785,2026-05-14
趋势状态,弱趋势上行,3,127,强,25.98,37.01,62.99,8.66,7.09,36.22,-1.44,-2.3276,0.9436,-0.1812,2026-05-14
趋势状态,弱趋势上行,5,127,强,29.13,35.43,64.57,13.39,19.69,40.16,-0.5402,-4.2918,1.0467,-0.0988,2026-05-14
趋势状态,弱趋势上行,10,127,弱,7.09,46.46,53.54,25.2,33.86,39.37,2.8205,-1.9195,1.0108,-0.1458,2026-05-14
趋势状态,弱趋势下行,1,184,强,42.39,28.8,71.2,3.26,0,27.72,-0.5731,-2.0869,0.8934,-0.1913,2026-05-25
趋势状态,弱趋势下行,3,184,强,36.96,31.52,68.48,7.61,13.04,35.87,-1.3286,-4.5175,0.9455,-0.163,2026-05-25
趋势状态,弱趋势下行,5,184,强,30.43,34.78,65.22,10.33,27.17,32.07,-2.0795,-4.4067,0.9231,-0.1633,2026-05-25
趋势状态,弱趋势下行,10,182,强,38.46,30.77,69.23,13.74,42.86,36.81,-3.1575,-8.0854,0.9653,-0.1375,2026-05-20
