ruleId,prediction,samples,purityPct,conditions,distribution
1,S5 低波动压缩态,484,95.66,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 <= 28.3284 AND 趋势动能 <= 10.0662 AND 振幅/21日ATR <= 0.619,S5 低波动压缩态:95.7% | S7 下侧趋势共振态:2.3% | S4 上侧趋势共振态:1.9% | S3 中性震荡态:0.2%
2,S3 中性震荡态,463,82.29,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 <= 39.446 AND 振幅/21日ATR <= 1.2356 AND 趋势动能 <= 4.512,S3 中性震荡态:82.3% | S7 下侧趋势共振态:5.4% | S4 上侧趋势共振态:4.8% | S5 低波动压缩态:3.7%
3,S1 放量波动扩张态,354,64.69,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 > 39.446 AND 振幅/21日ATR百分位 > 60.4833 AND 趋势动能 <= 8.6577,S1 放量波动扩张态:64.7% | S8 下侧趋势共振态:15.8% | S0 放量波动扩张态:7.9% | S2 放量波动扩张态:4.5%
4,S7 下侧趋势共振态,302,65.56,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 > 39.446 AND 振幅/21日ATR百分位 <= 60.4833 AND 3日ATR率 <= 7.8658,S7 下侧趋势共振态:65.6% | S4 上侧趋势共振态:22.5% | S8 下侧趋势共振态:3.6% | S6 上侧趋势共振态:3.6%
5,S4 上侧趋势共振态,290,71.72,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 <= 39.446 AND 振幅/21日ATR <= 1.2356 AND 趋势动能 > 4.512,S4 上侧趋势共振态:71.7% | S3 中性震荡态:17.2% | S2 放量波动扩张态:9% | S5 低波动压缩态:1.7%
6,S2 放量波动扩张态,284,80.63,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 <= 39.446 AND 振幅/21日ATR > 1.2356 AND 剩余动能率 <= 3.9483,S2 放量波动扩张态:80.6% | S1 放量波动扩张态:8.8% | S3 中性震荡态:5.6% | S4 上侧趋势共振态:2.5%
7,S6 上侧趋势共振态,222,69.37,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 > 39.446 AND 振幅/21日ATR百分位 > 60.4833 AND 趋势动能 > 8.6577,S6 上侧趋势共振态:69.4% | S4 上侧趋势共振态:10.8% | S0 放量波动扩张态:10.8% | S2 放量波动扩张态:5%
8,S7 下侧趋势共振态,164,90.85,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 > 28.3284 AND 8日ATR百分位 > 41.1452 AND 34日涨跌 <= 5.2981,S7 下侧趋势共振态:90.8% | S8 下侧趋势共振态:6.7% | S5 低波动压缩态:2.4%
9,S5 低波动压缩态,89,62.92,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 <= 28.3284 AND 趋势动能 <= 10.0662 AND 振幅/21日ATR > 0.619,S5 低波动压缩态:62.9% | S4 上侧趋势共振态:16.9% | S7 下侧趋势共振态:11.2% | S3 中性震荡态:9%
10,S5 低波动压缩态,63,41.27,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 > 28.3284 AND 8日ATR百分位 <= 41.1452,S5 低波动压缩态:41.3% | S4 上侧趋势共振态:31.8% | S7 下侧趋势共振态:27%
11,S8 下侧趋势共振态,56,82.14,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 > 39.446 AND 振幅/21日ATR百分位 <= 60.4833 AND 3日ATR率 > 7.8658,S8 下侧趋势共振态:82.1% | S7 下侧趋势共振态:10.7% | S6 上侧趋势共振态:7.1%
12,S0 放量波动扩张态,52,63.46,振幅/21日ATR百分位 > 32.774 AND 8日ATR百分位 <= 39.446 AND 振幅/21日ATR > 1.2356 AND 剩余动能率 > 3.9483,S0 放量波动扩张态:63.5% | S1 放量波动扩张态:19.2% | S2 放量波动扩张态:17.3%
13,S7 下侧趋势共振态,50,66,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 > 28.3284 AND 8日ATR百分位 > 41.1452 AND 34日涨跌 > 5.2981,S7 下侧趋势共振态:66% | S4 上侧趋势共振态:28% | S6 上侧趋势共振态:4% | S8 下侧趋势共振态:2%
14,S4 上侧趋势共振态,48,81.25,振幅/21日ATR百分位 <= 32.774 AND 3日ATR百分位 <= 28.3284 AND 趋势动能 > 10.0662,S4 上侧趋势共振态:81.3% | S5 低波动压缩态:18.8%
