routeKey,routeLabel,family,direction,scoreBucket,horizon,occurrences,avgScore,medianScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,medianRouteReturnPct,avgFutureReturnPct,avgAbsReturnPct,avgMaxUpPct,avgMaxDownPct,lastSeen
breakoutDown,向下突破,breakout,short,不适配,1,1348,11.54,12,10.01,47.18,2.0454,1.3929,0.1904,2.0539,2.1657,-2.0454,2026-05-13
breakoutDown,向下突破,breakout,short,低适配,1,897,40.55,39,11.59,48.61,2.2087,1.546,0.1546,2.037,2.2483,-2.2087,2026-05-26
breakoutDown,向下突破,breakout,short,中适配,1,428,58.35,57,14.02,46.73,2.4242,1.4291,0.0811,2.0579,2.195,-2.4241,2026-05-28
breakoutDown,向下突破,breakout,short,高适配,1,247,86.8,87,19.03,49.39,3.7051,2.2375,-0.2272,2.8016,2.9275,-3.7051,2026-05-17
breakoutDown,向下突破,breakout,short,不适配,3,1348,11.54,12,30.04,48.81,3.66,2.5518,0.5331,3.9295,4.1183,-3.66,2026-05-13
breakoutDown,向下突破,breakout,short,低适配,3,897,40.55,39,30.88,47.16,3.793,2.7117,0.5582,3.6339,4.1534,-3.793,2026-05-26
breakoutDown,向下突破,breakout,short,中适配,3,426,58.31,57,32.16,45.07,4.0856,2.7994,0.1391,3.4573,3.9178,-4.0856,2026-05-22
breakoutDown,向下突破,breakout,short,高适配,3,247,86.8,87,40.89,50.61,6.5094,4.2905,-0.6149,5.1521,4.7897,-6.5094,2026-05-17
breakoutDown,向下突破,breakout,short,不适配,5,1348,11.54,12,41.77,48.59,4.7166,3.3293,0.9691,5.1982,5.6182,-4.7166,2026-05-13
breakoutDown,向下突破,breakout,short,低适配,5,895,40.53,39,42.23,45.92,4.8841,3.5892,0.7746,4.7291,5.4538,-4.8841,2026-05-24
breakoutDown,向下突破,breakout,short,中适配,5,426,58.31,57,43.43,46.48,5.2946,3.4715,0.3014,4.7077,5.1605,-5.2946,2026-05-22
breakoutDown,向下突破,breakout,short,高适配,5,247,86.8,87,49.8,51.42,8.3499,5.4879,-0.9618,6.4454,5.9979,-8.3499,2026-05-17
breakoutDown,向下突破,breakout,short,不适配,10,1348,11.54,12,56.53,45.92,6.6765,5.1531,1.8484,7.744,8.6158,-6.6765,2026-05-13
breakoutDown,向下突破,breakout,short,低适配,10,893,40.51,39,58.23,45.24,6.9306,5.2586,1.7122,7.288,8.3546,-6.9306,2026-05-19
breakoutDown,向下突破,breakout,short,中适配,10,423,58.29,57,56.5,47.52,7.5321,4.8675,0.3281,6.9528,7.4531,-7.5321,2026-05-16
breakoutDown,向下突破,breakout,short,高适配,10,247,86.8,87,58.7,50.61,10.3012,6.4813,-1.1508,8.0135,7.5593,-10.3012,2026-05-17
breakoutUp,向上突破,breakout,long,不适配,1,1219,9.83,9,9.35,52.09,2.1593,1.4264,0.0673,2.0725,2.1593,-2.1984,2026-05-28
breakoutUp,向上突破,breakout,long,低适配,1,660,40.28,37,10.61,50.76,2.1626,1.4951,-0.0738,2.1824,2.1626,-2.4995,2026-05-12
breakoutUp,向上突破,breakout,long,中适配,1,497,60.82,63,13.08,49.7,2.0844,1.3444,0.1649,1.9382,2.0844,-1.9883,2026-05-14
breakoutUp,向上突破,breakout,long,高适配,1,544,88.36,93,19.49,56.8,2.7634,1.8914,0.4754,2.2768,2.7634,-2.5244,2026-03-03
breakoutUp,向上突破,breakout,long,不适配,3,1217,9.82,9,28.27,51.52,3.9768,2.6963,0.2348,3.7278,3.9768,-3.9407,2026-05-26
breakoutUp,向上突破,breakout,long,低适配,3,660,40.28,37,33.48,49.09,4.1498,2.7877,0.0937,4.1933,4.1498,-4.3816,2026-05-12
breakoutUp,向上突破,breakout,long,中适配,3,497,60.82,63,31.59,49.09,3.8017,2.4765,0.3341,3.5958,3.8017,-3.5935,2026-05-14
breakoutUp,向上突破,breakout,long,高适配,3,544,88.36,93,44.49,59.74,4.8917,3.6643,1.127,4.0633,4.8917,-4.0639,2026-03-03
breakoutUp,向上突破,breakout,long,不适配,5,1215,9.84,9,41.4,52.18,5.2272,3.6957,0.4028,4.7193,5.2272,-5.0445,2026-05-24
breakoutUp,向上突破,breakout,long,低适配,5,660,40.28,37,44.55,50.45,5.5308,3.6825,0.2571,5.6599,5.5308,-5.7464,2026-05-12
breakoutUp,向上突破,breakout,long,中适配,5,497,60.82,63,45.88,49.09,5.1874,3.511,0.5595,5.0612,5.1874,-4.8335,2026-05-14
breakoutUp,向上突破,breakout,long,高适配,5,544,88.36,93,55.33,57.72,6.5345,4.405,1.7524,5.2431,6.5345,-5.0061,2026-03-03
breakoutUp,向上突破,breakout,long,不适配,10,1210,9.86,9,58.1,52.23,7.8504,5.5329,0.7389,7.1493,7.8504,-7.3475,2026-05-19
breakoutUp,向上突破,breakout,long,低适配,10,660,40.28,37,61.06,52.73,8.1059,5.6898,0.7766,7.8952,8.1059,-7.7863,2026-05-12
breakoutUp,向上突破,breakout,long,中适配,10,497,60.82,63,60.36,53.52,7.8713,5.3816,1.5857,7.4226,7.8713,-6.4708,2026-05-14
breakoutUp,向上突破,breakout,long,高适配,10,544,88.36,93,67.1,58.09,9.8044,6.4125,3.0889,7.9355,9.8044,-6.7538,2026-03-03
gridNeutral,震荡网格,grid,neutral,不适配,1,1744,12.62,12,83.66,,-2.3958,-1.5265,0.2351,2.3958,2.6423,-2.623,2026-05-28
gridNeutral,震荡网格,grid,neutral,低适配,1,518,38.24,36,88.8,,-1.8458,-1.1808,-0.0182,1.8458,1.8473,-1.903,2026-05-18
gridNeutral,震荡网格,grid,neutral,中适配,1,408,60.46,60,87.01,,-1.7069,-1.2333,0.048,1.7069,1.7356,-1.806,2026-05-25
gridNeutral,震荡网格,grid,neutral,高适配,1,250,83.34,82,91.6,,-1.3514,-0.9524,-0.1854,1.3514,1.3018,-1.5755,2026-05-16
gridNeutral,震荡网格,grid,neutral,不适配,3,1742,12.61,12,83.41,,-4.3057,-2.9871,0.6557,4.3057,4.7797,-4.4155,2026-05-26
gridNeutral,震荡网格,grid,neutral,低适配,3,518,38.24,36,84.75,,-3.469,-2.4628,-0.0126,3.469,3.5158,-3.6461,2026-05-18
gridNeutral,震荡网格,grid,neutral,中适配,3,408,60.46,60,86.27,,-3.2435,-2.1913,0.0077,3.2435,3.1623,-3.3342,2026-05-25
gridNeutral,震荡网格,grid,neutral,高适配,3,250,83.34,82,87.6,,-2.7243,-1.7932,-0.0485,2.7243,2.7661,-2.9741,2026-05-16
gridNeutral,震荡网格,grid,neutral,不适配,5,1741,12.6,12,81.79,,-5.5189,-3.8733,0.9957,5.5189,6.256,-5.6167,2026-05-23
gridNeutral,震荡网格,grid,neutral,低适配,5,518,38.24,36,82.05,,-4.8582,-3.7793,0.3511,4.8582,4.9097,-4.6999,2026-05-18
gridNeutral,震荡网格,grid,neutral,中适配,5,407,60.44,60,85.5,,-4.3397,-2.9204,0.0434,4.3397,4.328,-4.4086,2026-05-24
gridNeutral,震荡网格,grid,neutral,高适配,5,250,83.34,82,82.4,,-3.784,-2.533,-0.1703,3.784,3.7515,-4.1591,2026-05-16
gridNeutral,震荡网格,grid,neutral,不适配,10,1738,12.59,12,82.51,,-7.8431,-5.6041,1.9579,7.8431,9.1455,-7.4841,2026-05-17
gridNeutral,震荡网格,grid,neutral,低适配,10,518,38.24,36,78.76,,-7.4727,-5.1249,0.527,7.4727,7.4235,-7.1559,2026-05-18
gridNeutral,震荡网格,grid,neutral,中适配,10,405,60.42,60,80,,-6.6284,-4.2829,0.4797,6.6284,6.8413,-6.3894,2026-05-19
gridNeutral,震荡网格,grid,neutral,高适配,10,250,83.34,82,74,,-6.7232,-4.9039,0.0206,6.7232,6.3343,-6.4701,2026-05-16
meanReversionLong,低吸均值回归,meanReversion,long,不适配,1,1861,11.12,9.93,7.42,52.87,0.2117,0.1263,0.2117,2.1019,2.2888,-2.1976,2026-05-15
meanReversionLong,低吸均值回归,meanReversion,long,低适配,1,705,38.79,38.06,44.54,49.93,-0.0066,-0.001,-0.0066,2.0446,2.1297,-2.3343,2026-05-26
meanReversionLong,低吸均值回归,meanReversion,long,中适配,1,241,56.51,55.49,57.26,56.85,0.2613,0.2686,0.2613,1.9991,2.3063,-2.1796,2026-05-28
meanReversionLong,低吸均值回归,meanReversion,long,高适配,1,113,83.67,84,56.64,46.9,-0.6935,-0.1195,-0.6935,2.953,2.495,-3.8085,2026-02-04
meanReversionLong,低吸均值回归,meanReversion,long,不适配,3,1861,11.12,9.93,5.86,53.04,0.6256,0.2924,0.6256,3.8869,4.2807,-3.7927,2026-05-15
meanReversionLong,低吸均值回归,meanReversion,long,低适配,3,705,38.79,38.06,43.4,49.08,0.081,-0.0661,0.081,3.6256,3.8681,-4.0718,2026-05-26
meanReversionLong,低吸均值回归,meanReversion,long,中适配,3,239,56.48,55.49,59.83,56.07,0.0968,0.3663,0.0968,3.807,3.9737,-4.0516,2026-05-21
meanReversionLong,低吸均值回归,meanReversion,long,高适配,3,113,83.67,84,66.37,46.9,-1.0422,-0.2636,-1.0422,5.3311,4.3017,-6.9668,2026-02-04
meanReversionLong,低吸均值回归,meanReversion,long,不适配,5,1861,11.12,9.93,5.48,52.82,1.0147,0.3099,1.0147,5.1699,5.7692,-4.9203,2026-05-15
meanReversionLong,低吸均值回归,meanReversion,long,低适配,5,703,38.78,38.06,43.1,50.64,0.2028,0.0551,0.2028,4.5639,5.0641,-5.1419,2026-05-24
meanReversionLong,低吸均值回归,meanReversion,long,中适配,5,239,56.48,55.49,61.09,53.97,-0.0176,0.4598,-0.0176,5.2863,5.2018,-5.5784,2026-05-21
meanReversionLong,低吸均值回归,meanReversion,long,高适配,5,113,83.67,84,76.99,50.44,-1.2061,0.1293,-1.2061,6.5854,5.2607,-8.3409,2026-02-04
meanReversionLong,低吸均值回归,meanReversion,long,不适配,10,1861,11.12,9.93,4.35,54.16,1.8666,0.8062,1.8666,7.8013,8.7232,-6.9381,2026-05-15
