kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,14.28,14,-21.0264,-1.5412,0,42.86,57.14,0,71.43,21.43,78.57,0.0452,2.4642
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100,1,-8.5775,-0.7754,21.41,0,100,100,100,100,0,1.0682,35.3432
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,60,15,-0.2151,-0.0204,8.8,20,80,60,66.67,53.33,46.67,0.08,-0.0716
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,1.54,130,102.09,5.4598,75.66,49.23,50.77,0,50.77,46.92,53.08,0.0197,0.4704
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,10.72,56,18.3141,1.3941,43.16,55.36,44.64,3.57,53.57,37.5,62.5,-0.0485,-0.5
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,28.58,14,-21.0264,-1.5412,0,35.71,64.29,14.29,78.57,7.14,92.86,0.0684,7.7612
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100,1,-8.5775,-0.7754,21.41,0,100,100,100,0,100,1.2387,38.1635
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,86.66,15,-0.2151,-0.0204,8.8,6.67,93.33,33.33,40,40,60,0.2313,1.6624
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,3.12,128,102.7538,5.4672,75.85,51.56,48.44,0,51.56,47.66,52.34,-0.0435,1.5207
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,3.58,56,18.3141,1.3941,43.16,51.79,48.21,10.71,51.79,41.07,58.93,-0.0575,-0.3252
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,0,14,-21.0264,-1.5412,0,50,50,21.43,64.29,21.43,78.57,-0.0033,10.4502
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100,1,-8.5775,-0.7754,21.41,0,100,100,100,0,100,2.0148,48.9996
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,100,15,-0.2151,-0.0204,8.8,0,100,40,40,33.33,66.67,0.3912,4.4378
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,9.52,126,103.2386,5.4944,76.26,54.76,45.24,0,46.03,52.38,47.62,-0.127,2.6366
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,10.72,56,18.3141,1.3941,43.16,44.64,55.36,10.71,48.21,39.29,60.71,0.0793,0.4737
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,28.58,14,-21.0264,-1.5412,0,64.29,35.71,50,64.29,7.14,92.86,-0.6309,20.6593
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100,1,-8.5775,-0.7754,21.41,0,100,100,100,0,100,0.5947,32.1471
233MA,ma233,大周期天气过滤,233MA贴近中轴,10,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,73.34,15,-0.2151,-0.0204,8.8,13.33,86.67,53.33,66.67,0,100,0.3755,-0.1297
