date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,76377.7,波动状态,波动压缩,39.06,1,58,样本偏少,27.59,36.21,63.79,1.72,0,31.03,-0.3518,-1.0358,0.9688,-0.1339
2026-05-17,76377.7,波动状态,波动压缩,39.06,3,56,样本偏少,14.29,42.86,57.14,14.29,17.86,48.21,0.1211,-1.3115,1.0943,-0.0445
2026-05-17,76377.7,波动状态,波动压缩,39.06,5,55,样本偏少,12.73,43.64,56.36,27.27,25.45,40,0.4507,-1.7951,1.0823,-0.0883
2026-05-17,76377.7,波动状态,波动压缩,39.06,10,55,样本偏少,1.82,50.91,49.09,30.91,34.55,45.45,3.4864,0.4089,1.1102,-0.0688
2026-05-17,76377.7,短ATR状态,短ATR降温,100,1,78,样本偏少,38.46,30.77,69.23,8.97,6.41,15.38,-1.0691,-2.9788,0.8054,-0.3054
2026-05-17,76377.7,短ATR状态,短ATR降温,100,3,76,样本偏少,18.42,40.79,59.21,19.74,35.53,22.37,-0.6259,-4.9347,0.885,-0.2867
2026-05-17,76377.7,短ATR状态,短ATR降温,100,5,74,样本偏少,10.81,44.59,55.41,29.73,37.84,25.68,0.7374,-3.9461,0.8867,-0.2871
2026-05-17,76377.7,短ATR状态,短ATR降温,100,10,71,样本偏少,32.39,33.8,66.2,22.54,49.3,33.8,-0.4028,-9.8892,0.9003,-0.2259
2026-05-17,76377.7,余动能状态,余动能不足,34.27,1,89,样本偏少,41.57,29.21,70.79,1.12,3.37,21.35,-1.3653,-1.8559,0.8376,-0.2454
2026-05-17,76377.7,余动能状态,余动能不足,34.27,3,87,样本偏少,26.44,36.78,63.22,13.79,28.74,33.33,-1.4988,-2.8932,0.9399,-0.1635
2026-05-17,76377.7,余动能状态,余动能不足,34.27,5,85,样本偏少,22.35,38.82,61.18,24.71,37.65,29.41,-1.3743,-4.4289,0.9276,-0.2244
2026-05-17,76377.7,余动能状态,余动能不足,34.27,10,83,样本偏少,18.07,40.96,59.04,22.89,50.6,32.53,-1.5449,-10.2573,0.9477,-0.1775
2026-05-17,76377.7,趋势状态,弱趋势混合,56.43,1,24,样本偏少,25,62.5,37.5,16.67,8.33,58.33,2.2818,2.355,1.1519,0.0702
2026-05-17,76377.7,趋势状态,弱趋势混合,56.43,3,22,样本偏少,18.18,40.91,59.09,22.73,22.73,36.36,-1.1824,-3.7942,0.9818,-0.0444
2026-05-17,76377.7,趋势状态,弱趋势混合,56.43,5,22,样本偏少,9.09,45.45,54.55,27.27,36.36,50,0.3559,-6.0901,1.069,0.0039
2026-05-17,76377.7,趋势状态,弱趋势混合,56.43,10,22,样本偏少,27.27,36.36,63.64,31.82,36.36,40.91,1.0314,-5.7992,0.9987,-0.049
2026-05-17,76377.7,量能状态,量能正常,99.66,1,107,样本偏少,10.28,44.86,55.14,9.35,8.41,36.45,-0.0089,-0.9516,0.9916,-0.1357
2026-05-17,76377.7,量能状态,量能正常,99.66,3,105,样本偏少,20,40,60,17.14,20.95,31.43,-0.1892,-1.6929,0.9883,-0.1613
2026-05-17,76377.7,量能状态,量能正常,99.66,5,103,样本偏少,20.39,39.81,60.19,21.36,32.04,33.01,-0.7889,-4.3473,1.0149,-0.1312
2026-05-17,76377.7,量能状态,量能正常,99.66,10,101,样本偏少,14.85,42.57,57.43,28.71,39.6,39.6,-0.5953,-5.4891,1.0096,-0.119
