date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01 16:00,71599.2,波动状态,低波动启动,70.2,1,5308,中,8.06,45.97,54.03,7.23,0,46.35,1.4162,-0.3914,1.1346,-0.0449
2026-06-01 16:00,71599.2,波动状态,低波动启动,70.2,3,5306,弱,2.9,48.55,51.45,17.72,3.24,38.56,2.7413,-0.332,1.0369,-0.1323
2026-06-01 16:00,71599.2,波动状态,低波动启动,70.2,5,5304,弱,2.38,51.19,48.81,24.06,12.44,41.63,4.2119,0.342,1.063,-0.1029
2026-06-01 16:00,71599.2,波动状态,低波动启动,70.2,10,5303,弱,5.11,52.56,47.44,33.7,23.16,35.49,7.0377,1.3843,0.9738,-0.1779
2026-06-01 16:00,71599.2,短ATR状态,短ATR升温,100,1,4881,中强,15.51,42.25,57.75,5.88,0,43.68,1.0332,-0.6987,1.0936,-0.0701
2026-06-01 16:00,71599.2,短ATR状态,短ATR升温,100,3,4880,中,12.46,43.77,56.23,15.72,3.57,38.46,2.0848,-1.2435,1.0197,-0.1318
2026-06-01 16:00,71599.2,短ATR状态,短ATR升温,100,5,4880,中,9.63,45.18,54.82,20.55,14.39,39.82,3.0714,-1.2374,1.0229,-0.125
2026-06-01 16:00,71599.2,短ATR状态,短ATR升温,100,10,4880,中强,16.11,41.95,58.05,25.08,32.09,33.26,2.3571,-3.2409,0.9307,-0.1936
2026-06-01 16:00,71599.2,波动超额状态,振幅已超ATR,39.9,1,4382,弱,3.88,48.06,51.94,7.6,0,49.54,1.7012,-0.1988,1.1698,-0.0061
2026-06-01 16:00,71599.2,波动超额状态,振幅已超ATR,39.9,3,4380,弱,7.35,46.32,53.68,17.51,2.9,37.37,2.7666,-0.7828,1.0177,-0.137
2026-06-01 16:00,71599.2,波动超额状态,振幅已超ATR,39.9,5,4378,弱,4.29,47.85,52.15,22.64,12.86,41.64,3.9499,-0.5607,1.0451,-0.1069
2026-06-01 16:00,71599.2,波动超额状态,振幅已超ATR,39.9,10,4378,弱,7.26,46.37,53.63,28.67,28.32,32.8,4.7697,-1.7736,0.9329,-0.1979
2026-06-01 16:00,71599.2,趋势状态,强趋势下行,100,1,2992,中强,22.19,38.9,61.1,5.65,0,42.01,0.673,-1.0855,1.0439,-0.0965
2026-06-01 16:00,71599.2,趋势状态,强趋势下行,100,3,2991,中强,16.95,41.52,58.48,15.15,6.19,37.04,1.3857,-1.8538,0.9867,-0.1529
2026-06-01 16:00,71599.2,趋势状态,强趋势下行,100,5,2991,中强,19.09,40.45,59.55,18.66,19.66,35.77,1.7287,-2.5523,0.9687,-0.1693
2026-06-01 16:00,71599.2,趋势状态,强趋势下行,100,10,2991,中强,21.9,39.05,60.95,23.3,35.47,33.13,1.5403,-4.8965,0.9434,-0.1918
2026-06-01 16:00,71599.2,量能状态,量能正常,87,1,7618,强,26.31,36.85,63.15,5.01,0,37.54,0.3613,-1.1916,1.0154,-0.1424
2026-06-01 16:00,71599.2,量能状态,量能正常,87,3,7617,中强,16.37,41.81,58.19,13.61,3.68,36.52,1.0887,-1.6386,1.0016,-0.1482
2026-06-01 16:00,71599.2,量能状态,量能正常,87,5,7616,中强,15.57,42.21,57.79,18.4,15.77,35.62,1.6094,-1.9554,0.9948,-0.1585
2026-06-01 16:00,71599.2,量能状态,量能正常,87,10,7616,中,12.66,43.67,56.33,25.74,29.61,34.34,3.0383,-2.7161,0.9734,-0.1781
