indicator,indicatorKey,bucket,bucketRange,horizon,occurrences,valueMin,valueMedian,valueMax,avgReturnPct,medianReturnPct,upRatePct,avgAbsReturnPct,avgMaxUpPct,avgMaxDownPct,avgExcursionPct,lastSeen
13/21日ATR比,atr13To21,极低,0-10%,1,15,0.883,0.9004,0.914,0.3035,0.241,60,1.3062,1.4286,-1.1987,2.6273,2026-05-10
13/21日ATR比,atr13To21,偏低,10-30%,1,30,0.9171,0.9338,0.9453,0.1395,-0.0557,46.67,1.6374,1.6639,-1.3389,3.0028,2026-04-12
13/21日ATR比,atr13To21,中性,30-70%,1,58,0.9455,0.9632,0.9816,-0.071,0.023,50,1.6177,1.569,-1.7197,3.2887,2026-02-24
13/21日ATR比,atr13To21,偏高,70-90%,1,30,0.9818,0.9955,1.0353,-0.2208,-0.6462,40,2.0322,1.8567,-2.2274,4.0842,2026-02-15
13/21日ATR比,atr13To21,极高,90-100%,1,15,1.0439,1.0784,1.1348,-0.872,-0.3894,46.67,2.449,2.0314,-3.7751,5.8064,2026-02-05
13/21日ATR比,atr13To21,极低,0-10%,3,15,0.883,0.9004,0.914,0.7248,0.1077,60,2.7547,2.8953,-2.1299,5.0252,2026-05-10
13/21日ATR比,atr13To21,偏低,10-30%,3,30,0.9171,0.9338,0.9453,0.5532,0.4582,50,2.5576,2.8706,-2.2166,5.0872,2026-04-12
13/21日ATR比,atr13To21,中性,30-70%,3,56,0.9455,0.9631,0.9816,-0.6092,-0.6748,39.29,2.6574,2.833,-3.2688,6.1017,2026-02-24
13/21日ATR比,atr13To21,偏高,70-90%,3,30,0.9818,0.9955,1.0353,-0.1065,0.4089,53.33,2.9261,3.2919,-3.7504,7.0422,2026-02-15
13/21日ATR比,atr13To21,极高,90-100%,3,15,1.0439,1.0784,1.1348,-2.7294,-2.0144,33.33,4.7101,2.8283,-7.5458,10.374,2026-02-05
13/21日ATR比,atr13To21,极低,0-10%,5,15,0.883,0.9004,0.914,0.685,0.8928,60,3.2187,3.8224,-2.4286,6.2509,2026-05-10
13/21日ATR比,atr13To21,偏低,10-30%,5,30,0.9171,0.9338,0.9453,0.1585,0.3609,53.33,3.3961,3.503,-3.2036,6.7066,2026-04-12
13/21日ATR比,atr13To21,中性,30-70%,5,54,0.9455,0.9632,0.9816,-0.5107,-1.1061,40.74,3.3741,3.7743,-4.1109,7.8852,2026-02-24
13/21日ATR比,atr13To21,偏高,70-90%,5,30,0.9818,0.9955,1.0353,-0.7791,-0.0361,50,3.4394,4.1848,-5.0244,9.2092,2026-02-15
13/21日ATR比,atr13To21,极高,90-100%,5,15,1.0439,1.0784,1.1348,-3.4856,-2.9211,26.67,4.1353,3.0153,-9.9698,12.9851,2026-02-05
13/21日ATR比,atr13To21,极低,0-10%,10,15,0.883,0.9004,0.914,0.2878,1.0093,60,3.4143,5.2848,-3.7249,9.0097,2026-05-10
13/21日ATR比,atr13To21,偏低,10-30%,10,28,0.9171,0.9338,0.9453,-0.4458,-2.6162,46.43,6.3167,4.9627,-4.7125,9.6751,2026-04-12
13/21日ATR比,atr13To21,中性,30-70%,10,51,0.9455,0.9644,0.9816,-0.6574,0.7171,56.86,6.3401,5.4776,-6.5492,12.0268,2026-02-24
13/21日ATR比,atr13To21,偏高,70-90%,10,30,0.9818,0.9955,1.0353,-1.2517,-0.6253,36.67,4.2638,5.5846,-7.4585,13.0432,2026-02-15
13/21日ATR比,atr13To21,极高,90-100%,10,15,1.0439,1.0784,1.1348,-4.7969,-4.4066,20,5.6431,3.0153,-10.9354,13.9507,2026-02-05
13日剩余动能ATR,remainingMomentumAtr13,极低,0-10%,1,15,-0.693,-0.5744,-0.5029,-0.332,-0.0965,46.67,1.4132,1.2401,-1.6305,2.8706,2026-04-25
13日剩余动能ATR,remainingMomentumAtr13,偏低,10-30%,1,29,-0.4837,-0.3674,-0.2617,0.2025,0.241,55.17,1.5918,1.646,-1.5797,3.2257,2026-05-19
13日剩余动能ATR,remainingMomentumAtr13,中性,30-70%,1,59,-0.2603,-0.0556,0.1341,0.1981,0.1695,54.24,1.8277,1.9288,-1.6463,3.5751,2026-02-28
13日剩余动能ATR,remainingMomentumAtr13,偏高,70-90%,1,30,0.1395,0.256,0.4668,-0.2648,-0.3876,40,1.8288,1.6017,-2.0094,3.6111,2026-05-22
13日剩余动能ATR,remainingMomentumAtr13,极高,90-100%,1,15,0.4809,0.6602,1.2914,-1.3149,-1.1593,26.67,2.0124,1.3554,-3.5772,4.9326,2026-01-28
13日剩余动能ATR,remainingMomentumAtr13,极低,0-10%,3,15,-0.693,-0.5744,-0.5029,0.8157,-0.0192,46.67,2.9467,3.3083,-2.83,6.1383,2026-04-25
13日剩余动能ATR,remainingMomentumAtr13,偏低,10-30%,3,29,-0.4837,-0.3674,-0.2617,-0.0507,0.3488,51.72,3.1237,3.0984,-3.3177,6.4161,2026-05-19
13日剩余动能ATR,remainingMomentumAtr13,中性,30-70%,3,58,-0.2603,-0.0497,0.1341,-0.0538,-0.2069,50,2.6727,2.986,-3.0319,6.018,2026-02-28
13日剩余动能ATR,remainingMomentumAtr13,偏高,70-90%,3,29,0.1395,0.2555,0.4668,-0.7885,-0.4453,41.38,2.5974,2.9719,-3.3945,6.3663,2026-05-22
13日剩余动能ATR,remainingMomentumAtr13,极高,90-100%,3,15,0.4809,0.6602,1.2914,-2.371,-2.6631,26.67,4.0111,2.0349,-6.2825,8.3174,2026-01-28
13日剩余动能ATR,remainingMomentumAtr13,极低,0-10%,5,15,-0.693,-0.5744,-0.5029,0.5215,0.5061,60,3.1666,4.2093,-3.4827,7.692,2026-04-25
13日剩余动能ATR,remainingMomentumAtr13,偏低,10-30%,5,29,-0.4837,-0.3674,-0.2617,-0.2867,-0.2852,41.38,3.1708,3.8511,-4.1681,8.0192,2026-05-19
