date,label,reason,expectedDirection,close,dayChangePct,trendScorePct,resonance,volatilityMultiple,volumeMultiple,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,horizon,futureReturnPct,maxUpPct,maxDownPct
2026-01-01,过冷,中值位置 50%，MA位置 3%,1,89370,1.5719,0.473,mixed:2/4,0.8936,1.1601,2.1227,0.7134,49.8765,-16.2423,-6.6557,2.5115,1,0.6259,1.7515,-0.2352
2026-01-01,过冷,中值位置 50%，MA位置 3%,1,89370,1.5719,0.473,mixed:2/4,0.8936,1.1601,2.1227,0.7134,49.8765,-16.2423,-6.6557,2.5115,3,5.079,5.1694,-0.2352
2026-01-01,过冷,中值位置 50%，MA位置 3%,1,89370,1.5719,0.473,mixed:2/4,0.8936,1.1601,2.1227,0.7134,49.8765,-16.2423,-6.6557,2.5115,5,2.1554,6.0521,-0.2352
2026-01-01,过冷,中值位置 50%，MA位置 3%,1,89370,1.5719,0.473,mixed:2/4,0.8936,1.1601,2.1227,0.7134,49.8765,-16.2423,-6.6557,2.5115,10,2.5243,6.0521,-0.2352
2026-01-02,弱趋势,共振 2/4，趋势动能 1.55%,0,89929.4,0.626,1.5468,mixed:2/4,0.6977,0.8972,2.5788,0.8884,52.204,-15.673,-6.5682,2.9544,1,1.5174,2.0867,-0.0816
2026-01-02,弱趋势,共振 2/4，趋势动能 1.55%,0,89929.4,0.626,1.5468,mixed:2/4,0.6977,0.8972,2.5788,0.8884,52.204,-15.673,-6.5682,2.9544,3,4.0872,5.3925,-0.0816
2026-01-02,弱趋势,共振 2/4，趋势动能 1.55%,0,89929.4,0.626,1.5468,mixed:2/4,0.6977,0.8972,2.5788,0.8884,52.204,-15.673,-6.5682,2.9544,5,0.8928,5.3925,-0.7355
2026-01-02,弱趋势,共振 2/4，趋势动能 1.55%,0,89929.4,0.626,1.5468,mixed:2/4,0.6977,0.8972,2.5788,0.8884,52.204,-15.673,-6.5682,2.9544,10,3.8728,5.3925,-0.7355
2026-01-02,过冷,中值位置 52%，MA位置 3%,1,89929.4,0.626,1.5468,mixed:2/4,0.6977,0.8972,2.5788,0.8884,52.204,-15.673,-6.5682,2.9544,1,1.5174,2.0867,-0.0816
2026-01-02,过冷,中值位置 52%，MA位置 3%,1,89929.4,0.626,1.5468,mixed:2/4,0.6977,0.8972,2.5788,0.8884,52.204,-15.673,-6.5682,2.9544,3,4.0872,5.3925,-0.0816
2026-01-02,过冷,中值位置 52%，MA位置 3%,1,89929.4,0.626,1.5468,mixed:2/4,0.6977,0.8972,2.5788,0.8884,52.204,-15.673,-6.5682,2.9544,5,0.8928,5.3925,-0.7355
2026-01-02,过冷,中值位置 52%，MA位置 3%,1,89929.4,0.626,1.5468,mixed:2/4,0.6977,0.8972,2.5788,0.8884,52.204,-15.673,-6.5682,2.9544,10,3.8728,5.3925,-0.7355
2026-01-03,强趋势↑,共振 4/4，趋势动能 3.64%,1,91294,1.5174,3.6442,up:4/4,0.7793,0.6465,3.6208,1.2749,57.3429,-14.3492,-6.1123,5.2631,1,2.8645,2.953,-0.529
2026-01-03,强趋势↑,共振 4/4，趋势动能 3.64%,1,91294,1.5174,3.6442,up:4/4,0.7793,0.6465,3.6208,1.2749,57.3429,-14.3492,-6.1123,5.2631,3,0.0025,3.8171,-0.529
2026-01-03,强趋势↑,共振 4/4，趋势动能 3.64%,1,91294,1.5174,3.6442,up:4/4,0.7793,0.6465,3.6208,1.2749,57.3429,-14.3492,-6.1123,5.2631,5,-0.1724,3.8171,-2.2192
2026-01-03,强趋势↑,共振 4/4，趋势动能 3.64%,1,91294,1.5174,3.6442,up:4/4,0.7793,0.6465,3.6208,1.2749,57.3429,-14.3492,-6.1123,5.2631,10,5.9164,6.3148,-2.2192
2026-01-03,过冷,中值位置 57%，MA位置 5%,1,91294,1.5174,3.6442,up:4/4,0.7793,0.6465,3.6208,1.2749,57.3429,-14.3492,-6.1123,5.2631,1,2.8645,2.953,-0.529
2026-01-03,过冷,中值位置 57%，MA位置 5%,1,91294,1.5174,3.6442,up:4/4,0.7793,0.6465,3.6208,1.2749,57.3429,-14.3492,-6.1123,5.2631,3,0.0025,3.8171,-0.529
2026-01-03,过冷,中值位置 57%，MA位置 5%,1,91294,1.5174,3.6442,up:4/4,0.7793,0.6465,3.6208,1.2749,57.3429,-14.3492,-6.1123,5.2631,5,-0.1724,3.8171,-2.2192
2026-01-03,过冷,中值位置 57%，MA位置 5%,1,91294,1.5174,3.6442,up:4/4,0.7793,0.6465,3.6208,1.2749,57.3429,-14.3492,-6.1123,5.2631,10,5.9164,6.3148,-2.2192
2026-01-04,强趋势↑,共振 4/4，趋势动能 6.87%,1,93909.1,2.8645,6.869,up:4/4,1.2463,1.2804,5.2841,1.8479,64.9628,-11.8638,-4.9561,11.1188,1,-0.3238,0.9261,-0.874
2026-01-04,强趋势↑,共振 4/4，趋势动能 6.87%,1,93909.1,2.8645,6.869,up:4/4,1.2463,1.2804,5.2841,1.8479,64.9628,-11.8638,-4.9561,11.1188,3,-3.3828,0.9261,-4.9421
2026-01-04,强趋势↑,共振 4/4，趋势动能 6.87%,1,93909.1,2.8645,6.869,up:4/4,1.2463,1.2804,5.2841,1.8479,64.9628,-11.8638,-4.9561,11.1188,5,-3.5114,0.9261,-4.9421
2026-01-04,强趋势↑,共振 4/4，趋势动能 6.87%,1,93909.1,2.8645,6.869,up:4/4,1.2463,1.2804,5.2841,1.8479,64.9628,-11.8638,-4.9561,11.1188,10,2.9517,4.2497,-4.9421
2026-01-04,过冷,中值位置 65%，MA位置 11%,1,93909.1,2.8645,6.869,up:4/4,1.2463,1.2804,5.2841,1.8479,64.9628,-11.8638,-4.9561,11.1188,1,-0.3238,0.9261,-0.874
2026-01-04,过冷,中值位置 65%，MA位置 11%,1,93909.1,2.8645,6.869,up:4/4,1.2463,1.2804,5.2841,1.8479,64.9628,-11.8638,-4.9561,11.1188,3,-3.3828,0.9261,-4.9421
2026-01-04,过冷,中值位置 65%，MA位置 11%,1,93909.1,2.8645,6.869,up:4/4,1.2463,1.2804,5.2841,1.8479,64.9628,-11.8638,-4.9561,11.1188,5,-3.5114,0.9261,-4.9421
