label,horizon,occurrences,avgReturnPct,medianReturnPct,winRateUpPct,directionalWinRatePct,avgMaxUpPct,avgMaxDownPct,lastSeen
背离,1,31,-0.5586,-0.6178,41.94,,1.3158,-1.934,2026-05-28
背离,3,30,-1.7227,-1.277,23.33,,2.4324,-3.959,2026-05-24
背离,5,30,-1.3744,-1.5552,33.33,,3.0402,-5.3225,2026-05-24
背离,10,28,-1.6786,-1.1606,39.29,,4.3457,-6.8902,2026-05-14
波动爆发,1,38,-0.6378,-0.6683,34.21,,1.599,-2.6626,2026-05-27
波动爆发,3,37,-1.5351,-1.0967,37.84,,2.6083,-4.7227,2026-05-22
波动爆发,5,37,-2.5397,-2.4517,32.43,,3.1966,-6.6658,2026-05-22
波动爆发,10,36,-3.3957,-2.1486,38.89,,4.2334,-9.7807,2026-05-14
放量,1,15,-0.8291,-0.6178,33.33,,1.4533,-3.2058,2026-05-14
放量,3,15,-2.7419,-2.4524,20,,2.0333,-6.167,2026-05-14
放量,5,15,-3.7988,-3.1237,33.33,,2.2542,-8.8355,2026-05-14
放量,10,15,-3.845,-1.9282,26.67,,3.0819,-10.6406,2026-05-14
过冷,1,86,0.0068,-0.021,48.84,48.84,1.9205,-2.155,2026-04-06
过冷,3,86,-0.3229,-0.0083,50,50,3.3287,-4.0334,2026-04-06
过冷,5,86,-0.8633,-0.2801,45.35,45.35,4.1769,-5.3571,2026-04-06
过冷,10,86,-1.5627,-0.4608,47.67,47.67,5.6819,-7.884,2026-04-06
强趋势↑,1,54,-0.1428,-0.0955,48.15,48.15,1.4117,-1.5253,2026-05-13
强趋势↑,3,54,-0.2539,-0.3311,42.59,42.59,2.739,-2.6355,2026-05-13
强趋势↑,5,54,-0.1658,0.0341,50,50,3.429,-3.3843,2026-05-13
强趋势↑,10,54,-0.2692,-0.0063,50,50,4.5096,-4.5019,2026-05-13
强趋势↓,1,48,-0.1595,0.1595,52.08,47.92,1.902,-2.4908,2026-05-28
强趋势↓,3,46,-0.7127,-0.131,50,50,3.1443,-4.9376,2026-05-26
强趋势↓,5,45,-1.921,-1.4369,37.78,62.22,4.0158,-6.8599,2026-05-23
强趋势↓,10,42,-2.2619,-1.4442,42.86,57.14,5.569,-9.7507,2026-05-17
弱趋势,1,31,0.0419,-0.2595,45.16,,1.8104,-1.6429,2026-05-25
弱趋势,3,31,-0.062,0.1077,51.61,,3.0077,-2.9688,2026-05-25
弱趋势,5,30,0.4761,0.2884,53.33,,3.9069,-3.5221,2026-05-24
弱趋势,10,28,-1.0923,-0.3164,50,,5.717,-6.2223,2026-05-19
震荡,1,2,-1.1637,-1.1637,0,,0.523,-1.6101,2026-05-16
震荡,3,2,-1.4592,-1.4592,0,,0.523,-2.6679,2026-05-16
震荡,5,2,-1.4182,-1.4182,0,,0.523,-2.6679,2026-05-16
震荡,10,2,-2.8382,-2.8382,0,,0.523,-4.9956,2026-05-16
