state,horizon,occurrences,avgConfidencePct,avgAtrPercentile,avgVolatilityMultiplePercentile,avgRemainingMomentumAtr,medianRemainingMomentumAtr,atrUpProbabilityPct,atrDownProbabilityPct,avgAtrChangePct,medianAtrChangePct,futureRemainingMomentumPositivePct,avgFutureVolatilityMultiple,lastSeen
波动启动,1,37,34.8,20.76,74.72,0.2687,0.2463,54.05,45.95,1.1702,0.8647,48.65,1.0812,2026-05-27
波动启动,3,36,34.31,20.85,74.48,0.2653,0.2297,41.67,58.33,2.1617,-0.984,38.89,0.9339,2026-05-26
波动启动,5,34,35.52,21.35,75.54,0.2829,0.2465,47.06,52.94,3.9095,-1.4022,50,1.0281,2026-05-23
波动启动,10,32,34.86,21.82,75.46,0.2831,0.2465,62.5,37.5,14.6319,2.3476,59.38,1.1069,2026-05-17
波动压缩,1,31,37.86,20.17,23.33,-0.3796,-0.3591,45.16,54.84,-0.7121,-0.8012,45.16,0.9241,2026-05-28
波动压缩,3,30,38.91,20.18,22.58,-0.3874,-0.3653,43.33,56.67,0.6603,-0.4307,56.67,1.123,2026-05-24
波动压缩,5,30,38.91,20.18,22.58,-0.3874,-0.3653,50,50,1.9545,-0.2923,46.67,1.0367,2026-05-24
波动压缩,10,27,40.61,21.21,20.36,-0.411,-0.3821,44.44,55.56,7.23,-1.4473,51.85,1.0742,2026-05-19
常态波动,1,17,79.56,48.29,48.4,-0.1176,-0.1064,41.18,58.82,0.0152,-1.4106,35.29,0.9631,2026-05-15
常态波动,3,17,79.56,48.29,48.4,-0.1176,-0.1064,11.76,88.24,-2.9784,-2.1878,23.53,0.7677,2026-05-15
常态波动,5,17,79.56,48.29,48.4,-0.1176,-0.1064,11.76,88.24,-4.9013,-4.1595,41.18,0.9903,2026-05-15
常态波动,10,17,79.56,48.29,48.4,-0.1176,-0.1064,11.76,88.24,-9.019,-10.0534,23.53,0.8263,2026-05-15
高波动扩张,1,34,41.28,83.45,75.44,0.3107,0.2092,44.12,55.88,0.2925,-1.1818,47.06,1.0026,2026-04-13
高波动扩张,3,34,41.28,83.45,75.44,0.3107,0.2092,38.24,61.76,0.2553,-1.633,52.94,0.9681,2026-04-13
高波动扩张,5,34,41.28,83.45,75.44,0.3107,0.2092,32.35,67.65,0.6719,-1.838,41.18,0.8868,2026-04-13
高波动扩张,10,34,41.28,83.45,75.44,0.3107,0.2092,26.47,73.53,-3.5844,-7.561,35.29,0.8283,2026-04-13
高波动冷却,1,29,45.03,84.24,22.72,-0.3819,-0.3709,41.38,58.62,-1.021,-0.6488,44.83,0.8364,2026-04-04
高波动冷却,3,29,45.03,84.24,22.72,-0.3819,-0.3709,31.03,68.97,-0.7257,-3.5239,48.28,0.9867,2026-04-04
高波动冷却,5,29,45.03,84.24,22.72,-0.3819,-0.3709,27.59,72.41,-2.1572,-2.668,48.28,0.9284,2026-04-04
高波动冷却,10,29,45.03,84.24,22.72,-0.3819,-0.3709,13.79,86.21,-5.0588,-6.6521,55.17,1.0073,2026-04-04
